sequence_id	direction_group	outcome	group
10000_28	negative	whr	Sex-combined
10003_15	negative	whr	Sex-combined
10011_65	negative	whr	Sex-combined
10012_5	negative	whr	Sex-combined
10014_31	negative	whr	Sex-combined
10023_32	negative	whr	Sex-combined
10024_44	negative	whr	Sex-combined
10036_201	positive	whr	Sex-combined
10041_3	positive	whr	Sex-combined
10044_12	negative	whr	Sex-combined
10046_55	positive	whr	Sex-combined
10047_12	negative	whr	Sex-combined
10070_22	negative	whr	Sex-combined
10073_22	positive	whr	Sex-combined
10075_75	positive	whr	Sex-combined
10081_17	negative	whr	Sex-combined
10082_251	positive	whr	Sex-combined
10088_37	negative	whr	Sex-combined
10089_7	positive	whr	Sex-combined
10339_48	positive	whr	Sex-combined
10344_334	negative	whr	Sex-combined
10346_5	negative	whr	Sex-combined
10356_21	negative	whr	Sex-combined
10372_18	negative	whr	Sex-combined
10390_21	positive	whr	Sex-combined
10418_36	negative	whr	Sex-combined
10419_1	positive	whr	Sex-combined
10426_21	negative	whr	Sex-combined
10428_1	negative	whr	Sex-combined
10430_31	negative	whr	Sex-combined
10435_2	negative	whr	Sex-combined
10438_19	negative	whr	Sex-combined
10440_26	positive	whr	Sex-combined
10442_1	negative	whr	Sex-combined
10445_20	negative	whr	Sex-combined
10449_31	negative	whr	Sex-combined
10453_7	negative	whr	Sex-combined
10464_6	negative	whr	Sex-combined
10507_166	negative	whr	Sex-combined
10521_10	negative	whr	Sex-combined
10527_22	negative	whr	Sex-combined
10530_8	negative	whr	Sex-combined
10535_25	negative	whr	Sex-combined
10539_30	negative	whr	Sex-combined
10546_2	negative	whr	Sex-combined
10550_37	negative	whr	Sex-combined
10552_88	positive	whr	Sex-combined
10558_26	positive	whr	Sex-combined
10561_5	negative	whr	Sex-combined
10571_14	negative	whr	Sex-combined
10572_65	negative	whr	Sex-combined
10574_10	positive	whr	Sex-combined
10582_36	negative	whr	Sex-combined
10584_7	positive	whr	Sex-combined
10603_1	positive	whr	Sex-combined
10606_34	negative	whr	Sex-combined
10608_9	positive	whr	Sex-combined
10612_18	positive	whr	Sex-combined
10613_33	positive	whr	Sex-combined
10643_16	negative	whr	Sex-combined
10672_75	negative	whr	Sex-combined
10677_9	negative	whr	Sex-combined
10702_1	negative	whr	Sex-combined
10703_203	negative	whr	Sex-combined
10714_7	negative	whr	Sex-combined
10734_339	negative	whr	Sex-combined
10748_216	negative	whr	Sex-combined
10752_8	negative	whr	Sex-combined
10753_31	negative	whr	Sex-combined
10754_113	positive	whr	Sex-combined
10760_107	negative	whr	Sex-combined
10762_2	positive	whr	Sex-combined
10772_21	negative	whr	Sex-combined
10814_7	negative	whr	Sex-combined
10816_150	positive	whr	Sex-combined
10817_26	negative	whr	Sex-combined
10825_12	negative	whr	Sex-combined
10833_64	positive	whr	Sex-combined
10842_7	positive	whr	Sex-combined
10847_1	negative	whr	Sex-combined
10848_137	negative	whr	Sex-combined
10852_114	positive	whr	Sex-combined
10880_38	negative	whr	Sex-combined
10882_12	negative	whr	Sex-combined
10885_36	negative	whr	Sex-combined
10889_2	negative	whr	Sex-combined
10890_135	negative	whr	Sex-combined
10892_8	negative	whr	Sex-combined
10895_28	negative	whr	Sex-combined
10900_272	positive	whr	Sex-combined
10902_53	negative	whr	Sex-combined
10910_6	negative	whr	Sex-combined
10916_44	negative	whr	Sex-combined
10924_258	positive	whr	Sex-combined
10933_107	negative	whr	Sex-combined
10939_16	negative	whr	Sex-combined
10940_25	positive	whr	Sex-combined
10945_11	negative	whr	Sex-combined
10948_14	positive	whr	Sex-combined
10953_14	negative	whr	Sex-combined
10955_4	negative	whr	Sex-combined
10959_125	negative	whr	Sex-combined
10961_15	positive	whr	Sex-combined
10974_20	negative	whr	Sex-combined
10975_59	negative	whr	Sex-combined
10977_55	positive	whr	Sex-combined
11103_24	positive	whr	Sex-combined
11109_56	positive	whr	Sex-combined
11116_16	positive	whr	Sex-combined
11118_107	negative	whr	Sex-combined
11129_66	negative	whr	Sex-combined
11137_43	negative	whr	Sex-combined
11140_56	positive	whr	Sex-combined
11142_11	negative	whr	Sex-combined
11143_32	negative	whr	Sex-combined
11158_40	negative	whr	Sex-combined
11161_5	positive	whr	Sex-combined
11164_7	negative	whr	Sex-combined
11167_6	negative	whr	Sex-combined
11178_21	positive	whr	Sex-combined
11180_17	negative	whr	Sex-combined
11185_145	negative	whr	Sex-combined
11192_168	negative	whr	Sex-combined
11196_31	negative	whr	Sex-combined
11198_37	negative	whr	Sex-combined
11202_70	positive	whr	Sex-combined
11207_3	negative	whr	Sex-combined
11208_15	positive	whr	Sex-combined
11212_7	negative	whr	Sex-combined
11214_40	negative	whr	Sex-combined
11215_6	positive	whr	Sex-combined
11219_95	negative	whr	Sex-combined
11226_16	positive	whr	Sex-combined
11228_37	negative	whr	Sex-combined
11241_8	positive	whr	Sex-combined
11243_90	negative	whr	Sex-combined
11247_20	negative	whr	Sex-combined
11248_43	positive	whr	Sex-combined
11252_30	negative	whr	Sex-combined
11254_13	negative	whr	Sex-combined
11257_1	positive	whr	Sex-combined
11258_41	positive	whr	Sex-combined
11273_176	negative	whr	Sex-combined
11275_94	negative	whr	Sex-combined
11278_4	positive	whr	Sex-combined
11281_6	negative	whr	Sex-combined
11283_13	negative	whr	Sex-combined
11286_78	positive	whr	Sex-combined
11287_14	positive	whr	Sex-combined
11292_13	negative	whr	Sex-combined
11293_14	negative	whr	Sex-combined
11300_32	positive	whr	Sex-combined
11302_237	negative	whr	Sex-combined
11303_7	positive	whr	Sex-combined
11308_8	positive	whr	Sex-combined
11312_40	negative	whr	Sex-combined
11313_100	negative	whr	Sex-combined
11315_148	negative	whr	Sex-combined
11320_29	negative	whr	Sex-combined
11327_56	negative	whr	Sex-combined
11330_15	negative	whr	Sex-combined
11348_132	positive	whr	Sex-combined
11355_10	positive	whr	Sex-combined
11358_15	positive	whr	Sex-combined
11372_2	negative	whr	Sex-combined
11377_19	positive	whr	Sex-combined
11380_84	negative	whr	Sex-combined
11383_41	negative	whr	Sex-combined
11387_3	positive	whr	Sex-combined
11396_39	negative	whr	Sex-combined
11401_181	negative	whr	Sex-combined
11405_150	negative	whr	Sex-combined
11416_23	positive	whr	Sex-combined
11421_10	negative	whr	Sex-combined
11424_4	positive	whr	Sex-combined
11429_80	negative	whr	Sex-combined
11430_49	negative	whr	Sex-combined
11432_11	negative	whr	Sex-combined
11433_11	negative	whr	Sex-combined
11439_88	negative	whr	Sex-combined
11440_58	negative	whr	Sex-combined
11441_11	positive	whr	Sex-combined
11448_34	negative	whr	Sex-combined
11456_2	negative	whr	Sex-combined
11457_53	positive	whr	Sex-combined
11459_81	negative	whr	Sex-combined
11464_9	negative	whr	Sex-combined
11465_4	negative	whr	Sex-combined
11468_15	negative	whr	Sex-combined
11510_31	positive	whr	Sex-combined
11513_92	negative	whr	Sex-combined
11530_37	positive	whr	Sex-combined
11534_6	positive	whr	Sex-combined
