sequence_id	direction_group	outcome	group
10000_28	negative	whr	Female
10001_7	positive	whr	Female
10003_15	negative	whr	Female
10011_65	negative	whr	Female
10012_5	negative	whr	Female
10014_31	negative	whr	Female
10023_32	negative	whr	Female
10024_44	negative	whr	Female
10035_6	positive	whr	Female
10036_201	positive	whr	Female
10041_3	positive	whr	Female
10044_12	negative	whr	Female
10047_12	negative	whr	Female
10070_22	negative	whr	Female
10075_75	positive	whr	Female
10081_17	negative	whr	Female
10082_251	positive	whr	Female
10085_25	positive	whr	Female
10088_37	negative	whr	Female
10089_7	positive	whr	Female
10339_48	positive	whr	Female
10344_334	negative	whr	Female
10356_21	negative	whr	Female
10370_21	positive	whr	Female
10390_21	positive	whr	Female
10418_36	negative	whr	Female
10419_1	positive	whr	Female
10426_21	negative	whr	Female
10428_1	negative	whr	Female
10438_19	negative	whr	Female
10440_26	positive	whr	Female
10442_1	negative	whr	Female
10449_31	negative	whr	Female
10453_7	negative	whr	Female
10455_196	negative	whr	Female
10464_6	negative	whr	Female
10507_166	negative	whr	Female
10521_10	negative	whr	Female
10527_22	negative	whr	Female
10530_8	negative	whr	Female
10535_25	negative	whr	Female
10539_30	negative	whr	Female
10546_2	negative	whr	Female
10550_37	negative	whr	Female
10554_23	positive	whr	Female
10558_26	positive	whr	Female
10561_5	negative	whr	Female
10571_14	negative	whr	Female
10572_65	negative	whr	Female
10574_10	positive	whr	Female
10582_36	negative	whr	Female
10584_7	positive	whr	Female
10603_1	positive	whr	Female
10606_34	negative	whr	Female
10613_33	positive	whr	Female
10615_18	negative	whr	Female
10643_16	negative	whr	Female
10647_18	negative	whr	Female
10666_7	positive	whr	Female
10675_223	negative	whr	Female
10677_9	negative	whr	Female
10693_43	negative	whr	Female
10702_1	negative	whr	Female
10703_203	negative	whr	Female
10714_7	positive	whr	Female
10734_339	negative	whr	Female
10748_216	negative	whr	Female
10752_8	negative	whr	Female
10753_31	negative	whr	Female
10754_113	positive	whr	Female
10772_21	negative	whr	Female
10781_19	positive	whr	Female
10814_7	negative	whr	Female
10816_150	positive	whr	Female
10817_26	negative	whr	Female
10832_24	negative	whr	Female
10833_64	positive	whr	Female
10842_7	positive	whr	Female
10847_1	negative	whr	Female
10851_77	negative	whr	Female
10882_12	negative	whr	Female
10889_2	negative	whr	Female
10890_135	negative	whr	Female
10892_8	negative	whr	Female
10895_28	negative	whr	Female
10902_53	negative	whr	Female
10910_6	negative	whr	Female
10916_44	positive	whr	Female
10933_107	negative	whr	Female
10939_16	negative	whr	Female
10940_25	positive	whr	Female
10945_11	negative	whr	Female
10953_14	negative	whr	Female
10955_4	negative	whr	Female
10974_20	negative	whr	Female
10975_59	negative	whr	Female
10977_55	positive	whr	Female
11098_1	negative	whr	Female
11102_22	negative	whr	Female
11103_24	positive	whr	Female
11109_56	positive	whr	Female
11110_4	negative	whr	Female
11118_107	negative	whr	Female
11129_66	negative	whr	Female
11137_43	negative	whr	Female
11140_56	positive	whr	Female
11142_11	negative	whr	Female
11143_32	negative	whr	Female
11145_72	positive	whr	Female
11158_40	negative	whr	Female
11160_56	positive	whr	Female
11161_5	positive	whr	Female
11164_7	negative	whr	Female
11167_6	negative	whr	Female
11178_21	positive	whr	Female
11180_17	negative	whr	Female
11185_145	negative	whr	Female
11196_31	negative	whr	Female
11198_37	negative	whr	Female
11202_70	positive	whr	Female
11207_3	negative	whr	Female
11208_15	positive	whr	Female
11212_7	negative	whr	Female
11214_40	negative	whr	Female
11215_6	positive	whr	Female
11219_95	negative	whr	Female
11223_1	positive	whr	Female
11226_16	positive	whr	Female
11239_49	negative	whr	Female
11241_8	positive	whr	Female
11243_90	negative	whr	Female
11247_20	negative	whr	Female
11248_43	positive	whr	Female
11252_30	negative	whr	Female
11254_13	negative	whr	Female
11257_1	positive	whr	Female
11258_41	positive	whr	Female
11266_8	positive	whr	Female
11273_176	negative	whr	Female
11275_94	negative	whr	Female
11277_23	negative	whr	Female
11278_4	positive	whr	Female
11281_6	negative	whr	Female
11283_13	negative	whr	Female
11286_78	positive	whr	Female
11287_14	positive	whr	Female
11292_13	negative	whr	Female
11293_14	negative	whr	Female
11300_32	positive	whr	Female
11302_237	negative	whr	Female
11307_33	positive	whr	Female
11308_8	positive	whr	Female
11312_40	negative	whr	Female
11313_100	negative	whr	Female
11315_148	negative	whr	Female
11320_29	negative	whr	Female
11327_56	negative	whr	Female
11330_15	negative	whr	Female
11333_82	positive	whr	Female
11348_132	positive	whr	Female
11358_15	positive	whr	Female
11372_2	negative	whr	Female
11377_19	positive	whr	Female
11380_84	negative	whr	Female
11383_41	negative	whr	Female
11390_24	positive	whr	Female
11391_69	negative	whr	Female
11396_39	negative	whr	Female
11405_150	negative	whr	Female
11416_23	positive	whr	Female
11424_4	positive	whr	Female
11425_31	negative	whr	Female
11429_80	negative	whr	Female
11432_11	negative	whr	Female
11433_11	negative	whr	Female
11439_88	negative	whr	Female
11440_58	negative	whr	Female
11448_34	negative	whr	Female
11454_87	positive	whr	Female
11456_2	negative	whr	Female
11459_81	negative	whr	Female
11464_9	negative	whr	Female
11465_4	negative	whr	Female
11510_31	positive	whr	Female
11513_92	negative	whr	Female
11539_4	negative	whr	Female
11542_11	positive	whr	Female
11543_84	negative	whr	Female
11549_6	negative	whr	Female
11560_76	negative	whr	Female
11568_2	negative	whr	Female
11570_94	negative	whr	Female
11608_5	positive	whr	Female
11643_73	negative	whr	Female
11647_6	negative	whr	Female
11649_3	positive	whr	Female
11656_110	negative	whr	Female
11659_31	negative	whr	Female
11666_72	negative	whr	Female
11672_17	negative	whr	Female
11682_7	negative	whr	Female
11696_7	negative	whr	Female
11825_27	negative	whr	Female
11838_130	negative	whr	Female
11952_1	negative	whr	Female
11967_23	negative	whr	Female
11969_5	negative	whr	Female
11988_24	negative	whr	Female
11989_35	negative	whr	Female
12001_7	negative	whr	Female
12014_19	negative	whr	Female
12030_82	negative	whr	Female
12046_51	negative	whr	Female
12329_21	negative	whr	Female
12332_7	negative	whr	Female
12333_87	positive	whr	Female
12334_25	negative	whr	Female
12338_27	negative	whr	Female
12347_29	positive	whr	Female
12350_86	negative	whr	Female
12363_70	negative	whr	Female
12376_85	positive	whr	Female
12381_26	positive	whr	Female
12382_2	positive	whr	Female
12385_4	negative	whr	Female
12389_4	negative	whr	Female
12391_27	negative	whr	Female
12392_30	positive	whr	Female
12401_3	negative	whr	Female
12403_30	negative	whr	Female
12415_122	negative	whr	Female
12417_46	positive	whr	Female
12420_10	negative	whr	Female
12425_104	negative	whr	Female
12432_23	negative	whr	Female
12436_84	positive	whr	Female
12437_18	negative	whr	Female
12445_50	negative	whr	Female
12450_42	positive	whr	Female
12451_62	negative	whr	Female
12452_32	negative	whr	Female
12455_48	positive	whr	Female
12456_5	negative	whr	Female
12457_10	positive	whr	Female
12459_13	negative	whr	Female
12463_7	negative	whr	Female
12471_47	positive	whr	Female
12473_48	negative	whr	Female
12475_48	positive	whr	Female
12480_9	negative	whr	Female
12484_67	negative	whr	Female
12486_8	negative	whr	Female
12488_9	positive	whr	Female
12490_92	negative	whr	Female
12494_99	positive	whr	Female
12498_12	positive	whr	Female
12500_88	positive	whr	Female
12501_10	positive	whr	Female
12504_26	negative	whr	Female
12509_115	positive	whr	Female
12510_3	negative	whr	Female
12511_83	negative	whr	Female
12514_16	positive	whr	Female
12516_13	negative	whr	Female
12517_52	negative	whr	Female
12521_3	negative	whr	Female
12527_50	negative	whr	Female
12528_40	negative	whr	Female
12531_5	negative	whr	Female
12533_135	negative	whr	Female
12540_25	positive	whr	Female
12546_1	negative	whr	Female
12549_33	positive	whr	Female
12551_3	positive	whr	Female
12554_10	positive	whr	Female
12560_9	positive	whr	Female
12571_14	positive	whr	Female
12572_236	positive	whr	Female
12575_30	positive	whr	Female
12580_7	positive	whr	Female
12585_39	negative	whr	Female
12587_65	positive	whr	Female
12593_33	positive	whr	Female
12594_5	positive	whr	Female
12603_87	positive	whr	Female
12604_16	negative	whr	Female
12612_37	negative	whr	Female
12618_50	positive	whr	Female
12632_14	positive	whr	Female
12633_3	negative	whr	Female
12651_21	negative	whr	Female
12655_30	negative	whr	Female
12663_1	positive	whr	Female
12667_2	negative	whr	Female
12668_7	negative	whr	Female
12676_1	negative	whr	Female
12690_33	positive	whr	Female
12693_2	negative	whr	Female
12701_1	positive	whr	Female
12702_13	negative	whr	Female
12704_26	positive	whr	Female
12706_2	negative	whr	Female
12709_63	negative	whr	Female
12713_365	negative	whr	Female
12715_30	negative	whr	Female
12716_3	negative	whr	Female
12720_71	positive	whr	Female
12724_81	positive	whr	Female
12730_3	positive	whr	Female
12731_12	positive	whr	Female
12732_13	negative	whr	Female
12738_43	negative	whr	Female
12746_4	positive	whr	Female
12748_6	negative	whr	Female
12750_9	negative	whr	Female
12756_3	negative	whr	Female
12758_47	negative	whr	Female
12760_34	negative	whr	Female
12764_3	negative	whr	Female
12800_5	positive	whr	Female
12814_17	negative	whr	Female
12817_1	negative	whr	Female
12818_159	negative	whr	Female
12820_1	negative	whr	Female
12826_5	positive	whr	Female
12827_37	negative	whr	Female
12845_18	negative	whr	Female
12855_16	positive	whr	Female
12862_14	negative	whr	Female
12864_9	negative	whr	Female
12869_68	positive	whr	Female
12881_17	positive	whr	Female
12891_1	negative	whr	Female
12892_10	positive	whr	Female
12894_3	negative	whr	Female
12923_51	negative	whr	Female
12925_105	negative	whr	Female
12933_17	negative	whr	Female
12939_1	negative	whr	Female
12945_33	negative	whr	Female
12956_40	positive	whr	Female
12968_2	negative	whr	Female
12986_12	negative	whr	Female
12991_49	negative	whr	Female
12993_21	positive	whr	Female
13007_66	negative	whr	Female
13011_20	negative	whr	Female
13013_41	negative	whr	Female
13022_20	positive	whr	Female
13025_4	negative	whr	Female
13032_1	negative	whr	Female
13055_53	negative	whr	Female
13056_18	negative	whr	Female
13059_33	negative	whr	Female
13066_42	positive	whr	Female
13067_5	positive	whr	Female
13073_14	positive	whr	Female
13083_18	negative	whr	Female
13093_6	negative	whr	Female
13094_75	positive	whr	Female
13095_51	negative	whr	Female
13097_11	negative	whr	Female
13098_93	positive	whr	Female
13105_7	negative	whr	Female
13109_82	negative	whr	Female
13111_79	negative	whr	Female
13113_7	positive	whr	Female
13114_50	negative	whr	Female
13119_26	positive	whr	Female
13122_19	positive	whr	Female
13124_20	positive	whr	Female
13125_45	negative	whr	Female
13131_5	negative	whr	Female
13132_14	negative	whr	Female
13133_73	positive	whr	Female
13231_90	positive	whr	Female
13374_4	positive	whr	Female
13377_3	negative	whr	Female
13378_80	negative	whr	Female
13386_248	negative	whr	Female
13387_55	negative	whr	Female
13392_13	negative	whr	Female
13397_88	negative	whr	Female
13405_61	negative	whr	Female
13423_94	positive	whr	Female
13427_66	negative	whr	Female
13429_3	negative	whr	Female
13439_6	negative	whr	Female
13441_30	positive	whr	Female
13447_42	negative	whr	Female
13451_2	negative	whr	Female
13453_2	negative	whr	Female
13463_1	negative	whr	Female
13465_5	positive	whr	Female
13470_43	negative	whr	Female
13479_8	negative	whr	Female
13485_20	negative	whr	Female
13490_1	negative	whr	Female
