id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
WHR_combined	hSsvz7	Stratified_rectal_Meta_125K_Results.tsv.annotated.txt	WHR_combined	Maximum likelihood	352.437493725232	273	0.000831995646275323
WHR_combined	hSsvz7	Stratified_rectal_Meta_125K_Results.tsv.annotated.txt	WHR_combined	MR Egger	352.631906687301	272	0.000705197825996762
WHR_combined	hSsvz7	Stratified_rectal_Meta_125K_Results.tsv.annotated.txt	WHR_combined	Inverse variance weighted	352.636082554841	273	0.000811812842110993
WHR_combined	hSsvz7	Stratified_rectal_Meta_125K_Results.tsv.annotated.txt	WHR_combined	Unweighted regression	0.109093643984411	273	1
WHR_combined	mcXK0v	Stratified_proximal_Meta_125K_Results.tsv.annotated.txt	WHR_combined	Maximum likelihood	401.514868939498	273	6.3600817157147e-07
WHR_combined	mcXK0v	Stratified_proximal_Meta_125K_Results.tsv.annotated.txt	WHR_combined	MR Egger	396.280592044242	272	1.24064139814554e-06
WHR_combined	mcXK0v	Stratified_proximal_Meta_125K_Results.tsv.annotated.txt	WHR_combined	Inverse variance weighted	401.694872258555	273	6.17133768142325e-07
WHR_combined	mcXK0v	Stratified_proximal_Meta_125K_Results.tsv.annotated.txt	WHR_combined	Unweighted regression	0.1441708039118	273	1
WHR_combined	xCB1mD	MarginalMeta_HRC_EUR_only_Results.tsv.annotated.txt	WHR_combined	Maximum likelihood	487.758662434771	273	2.50036001289927e-14
WHR_combined	xCB1mD	MarginalMeta_HRC_EUR_only_Results.tsv.annotated.txt	WHR_combined	MR Egger	488.018513559252	272	1.75134047371526e-14
WHR_combined	xCB1mD	MarginalMeta_HRC_EUR_only_Results.tsv.annotated.txt	WHR_combined	Inverse variance weighted	488.315419579748	273	2.20618749770615e-14
WHR_combined	xCB1mD	MarginalMeta_HRC_EUR_only_Results.tsv.annotated.txt	WHR_combined	Unweighted regression	0.0693168558449622	273	1
