ID	total_effect	direct_effect	indirect_effect	proportion_mediated
BMI_10015_119_proximal_Female	0.222515210653219	0.196901611096974	0.025613599556245	11.5109432209391
BMI_10063_10_proximal_Female	0.222515210653219	0.209711346707418	0.012803863945801	5.7541522254653
BMI_10063_10_rectal_Female	0.0706371037472393	0.0170295108218474	0.0536075929253919	75.8915500233644
BMI_10078_5_colon_Male	0.257736559506456	0.264860473739109	-0.00712391423265296	-2.76402938189858
BMI_10342_55_colon_Male	0.257736559506456	0.265162642281028	-0.00742608277457196	-2.88126868333786
BMI_10425_3_rectal_Female	0.0706371037472393	-0.00470707079401246	0.0753441745412518	106.663736965853
BMI_10435_2_colon_Male	0.257736559506456	0.251738529688227	0.005998029818229	2.32719402699979
BMI_10490_3_overall_Female	0.123365619269516	0.0878796705789816	0.0354859486905344	28.7648608264256
BMI_10490_3_overall_Sex-combined	0.150258166028166	0.149688678351194	0.000569487676971986	0.379006141247082
BMI_10490_3_proximal_Sex-combined	0.203892850660761	0.218601420550101	-0.01470856988934	-7.21387230678936
BMI_10563_13_proximal_Female	0.222515210653219	0.198517192713585	0.023998017939634	10.7848887584741
BMI_10618_190_proximal_Female	0.222515210653219	0.200869730885056	0.021645479768163	9.7276405080894
BMI_10618_190_rectal_Female	0.0706371037472393	0.0131780678866939	0.0574590358605454	81.3439861098369
BMI_10695_12_distal_Male	0.208735777569677	0.206076435019804	0.00265934254987302	1.27402335183546
BMI_10842_7_rectal_Female	0.0706371037472393	0.0124218224668185	0.0582152812804208	82.4145926038141
BMI_11112_18_proximal_Female	0.222515210653219	0.165245297839531	0.057269912813688	25.7375271764863
BMI_11126_102_colon_Sex-combined	0.190393396869719	0.188574900719739	0.00181849614998	0.95512563979535
BMI_11126_102_distal_Female	0.123174149031173	0.0778451339289063	0.0453290151022667	36.8007536149446
BMI_11146_4_proximal_Female	0.222515210653219	0.191539996323442	0.030975214329777	13.9204930030831
BMI_11149_3_rectal_Female	0.0706371037472393	0.0101138352035167	0.0605232685437226	85.6819792049982
BMI_11155_16_proximal_Female	0.222515210653219	0.214708796508505	0.007806414144714	3.50826090575893
BMI_11168_3_proximal_Female	0.222515210653219	0.203152139347982	0.019363071305237	8.7019090732694
BMI_11205_10_proximal_Female	0.222515210653219	0.203857998124393	0.018657212528826	8.38469085958465
BMI_11270_17_proximal_Male	0.238945525423205	0.264573800514422	-0.025628275091217	-10.7255723018147
BMI_11284_24_proximal_Female	0.222515210653219	0.203805898066323	0.018709312586896	8.40810501537071
BMI_11289_31_rectal_Female	0.0706371037472393	0.00513772230210588	0.0654993814451334	92.726595472416
BMI_11350_30_colon_Female	0.174372139235744	0.165957373858339	0.00841476537740499	4.82575107140744
BMI_11350_30_distal_Female	0.123174149031173	0.110562650376263	0.01261149865491	10.2387544416631
BMI_11352_42_colon_Male	0.257736559506456	0.257041824950067	0.000694734556389021	0.269552196133672
BMI_11486_26_proximal_Female	0.222515210653219	0.181055675779077	0.041459534874142	18.6322250746063
BMI_11573_3_colon_Male	0.257736559506456	0.219253642506529	0.038482916999927	14.931105262528
BMI_11573_3_overall_Male	0.216163911399654	0.194607096123201	0.021556815276453	9.97243949597013
BMI_11573_3_proximal_Sex-combined	0.203892850660761	0.225898174337266	-0.022005323676505	-10.7925920919698
BMI_11591_43_proximal_Female	0.222515210653219	0.210018501860591	0.012496708792628	5.61611440222107
BMI_11592_1_proximal_Female	0.222515210653219	0.203881491849439	0.01863371880378	8.37413260382451
BMI_11593_21_proximal_Female	0.222515210653219	0.201471057604333	0.021044153048886	9.45739978274225
BMI_11667_29_distal_Male	0.208735777569677	0.217288448161615	-0.00855267059193798	-4.09736686806509
BMI_11667_29_rectal_Female	0.0706371037472393	0.000321619188507563	0.0703154845587317	99.5446880301627
BMI_11671_19_colon_Male	0.257736559506456	0.274907355967482	-0.017170796461026	-6.66215010160244
BMI_11671_19_overall_Sex-combined	0.150258166028166	0.146176859510348	0.00408130651781799	2.71619614807021
BMI_12361_102_colon_Female	0.174372139235744	0.164352262834583	0.010019876401161	5.74625995017158
BMI_12366_16_proximal_Female	0.222515210653219	0.195323715399027	0.027191495254192	12.2200613496795
BMI_12400_25_distal_Male	0.208735777569677	0.209602921321715	-0.000867143752038002	-0.415426508159841
BMI_12444_39_proximal_Female	0.222515210653219	0.175413214698032	0.047101995955187	21.1679892879744
BMI_12513_8_proximal_Female	0.222515210653219	0.192202049260883	0.030313161392336	13.6229614610831
BMI_12513_8_rectal_Female	0.0706371037472393	-0.00209351075809434	0.0727306145053336	102.963755090505
BMI_12636_113_rectal_Female	0.0706371037472393	0.0131653501911783	0.057471753556061	81.3619903807383
BMI_12647_52_proximal_Female	0.222515210653219	0.19325426273493	0.029260947918289	13.1500888556742
BMI_12661_44_colon_Female	0.174372139235744	0.137467195812372	0.036904943423372	21.1644724811674
BMI_12661_44_overall_Female	0.123365619269516	0.0819628362850618	0.0414027829844542	33.5610385045787
BMI_12661_44_proximal_Sex-combined	0.203892850660761	0.21673867044473	-0.012845819783969	-6.30027965293497
BMI_12664_19_distal_Male	0.208735777569677	0.200326926720858	0.00840885084881901	4.02846648845912
BMI_12664_19_proximal_Female	0.222515210653219	0.183486576473129	0.03902863418009	17.5397601204506
BMI_12705_9_distal_Female	0.123174149031173	0.097326847047905	0.025847301983268	20.9843560410769
BMI_12705_9_rectal_Female	0.0706371037472393	0.00535858211001467	0.0652785216372246	92.4139272057511
BMI_12712_9_proximal_Female	0.222515210653219	0.198615891298268	0.023899319354951	10.7405328762882
