sequence_id	direction_group	exposure	group
3806_55	negative	BMI	Male
8942_2	positive	BMI	Male
9003_99	positive	BMI	Male
9380_2	negative	BMI	Male
9487_60	positive	BMI	Male
10000_28	positive	BMI	Male
10001_7	positive	BMI	Male
10003_15	positive	BMI	Male
10006_25	positive	BMI	Male
10011_65	positive	BMI	Male
10012_5	positive	BMI	Male
10014_31	positive	BMI	Male
10015_119	positive	BMI	Male
10022_207	positive	BMI	Male
10023_32	positive	BMI	Male
10024_44	positive	BMI	Male
10035_6	positive	BMI	Male
10036_201	positive	BMI	Male
10037_98	positive	BMI	Male
10040_63	positive	BMI	Male
10041_3	positive	BMI	Male
10042_8	positive	BMI	Male
10043_31	positive	BMI	Male
10044_12	positive	BMI	Male
10046_55	positive	BMI	Male
10047_12	positive	BMI	Male
10048_7	positive	BMI	Male
10049_112	positive	BMI	Male
10053_5	negative	BMI	Male
10054_3	positive	BMI	Male
10056_5	positive	BMI	Male
10058_1	positive	BMI	Male
10063_10	positive	BMI	Male
10064_12	positive	BMI	Male
10070_22	positive	BMI	Male
10073_22	positive	BMI	Male
10074_128	positive	BMI	Male
10076_1	positive	BMI	Male
10078_5	positive	BMI	Male
10080_9	positive	BMI	Male
10081_17	positive	BMI	Male
10082_251	positive	BMI	Male
10085_25	positive	BMI	Male
10086_39	positive	BMI	Male
10087_10	positive	BMI	Male
10336_3	positive	BMI	Male
10342_55	positive	BMI	Male
10344_334	positive	BMI	Male
10346_5	positive	BMI	Male
10356_21	positive	BMI	Male
10361_25	positive	BMI	Male
10362_35	positive	BMI	Male
10363_13	positive	BMI	Male
10370_21	positive	BMI	Male
10390_21	positive	BMI	Male
10391_1	positive	BMI	Male
10396_6	positive	BMI	Male
10418_36	positive	BMI	Male
10424_31	positive	BMI	Male
10425_3	positive	BMI	Male
10426_21	positive	BMI	Male
10428_1	negative	BMI	Male
10430_31	positive	BMI	Male
10432_3	positive	BMI	Male
10435_2	positive	BMI	Male
10438_19	positive	BMI	Male
10440_26	positive	BMI	Male
10442_1	negative	BMI	Male
10445_20	negative	BMI	Male
10447_18	positive	BMI	Male
10449_31	positive	BMI	Male
10451_11	positive	BMI	Male
10453_7	positive	BMI	Male
10454_99	positive	BMI	Male
10462_14	positive	BMI	Male
10464_6	negative	BMI	Male
10485_56	positive	BMI	Male
10490_3	positive	BMI	Male
10496_11	positive	BMI	Male
10499_1	positive	BMI	Male
10506_53	positive	BMI	Male
10507_166	positive	BMI	Male
10510_62	positive	BMI	Male
10511_10	positive	BMI	Male
10512_13	positive	BMI	Male
10521_10	negative	BMI	Male
10527_22	positive	BMI	Male
10530_8	positive	BMI	Male
10534_40	positive	BMI	Male
10535_25	positive	BMI	Male
10539_30	positive	BMI	Male
10546_2	positive	BMI	Male
10550_37	positive	BMI	Male
10551_7	positive	BMI	Male
10553_8	positive	BMI	Male
10554_23	positive	BMI	Male
10557_6	positive	BMI	Male
10560_1	positive	BMI	Male
10561_5	positive	BMI	Male
10562_42	positive	BMI	Male
10563_13	positive	BMI	Male
10565_19	negative	BMI	Male
10569_28	positive	BMI	Male
10571_14	positive	BMI	Male
10572_65	positive	BMI	Male
10574_10	positive	BMI	Male
10575_31	positive	BMI	Male
10580_14	positive	BMI	Male
10582_36	positive	BMI	Male
10584_7	positive	BMI	Male
10588_39	positive	BMI	Male
10589_7	positive	BMI	Male
10600_24	positive	BMI	Male
10603_1	negative	BMI	Male
10605_22	positive	BMI	Male
10606_34	positive	BMI	Male
10608_9	positive	BMI	Male
10612_18	positive	BMI	Male
10613_33	positive	BMI	Male
10616_67	positive	BMI	Male
10618_190	positive	BMI	Male
10620_21	negative	BMI	Male
10621_26	positive	BMI	Male
10623_19	positive	BMI	Male
10624_45	positive	BMI	Male
10627_87	positive	BMI	Male
10630_5	positive	BMI	Male
10638_1	positive	BMI	Male
10643_16	positive	BMI	Male
10647_18	positive	BMI	Male
10663_42	positive	BMI	Male
10666_7	positive	BMI	Male
10667_78	positive	BMI	Male
10668_5	positive	BMI	Male
10672_75	positive	BMI	Male
10675_223	positive	BMI	Male
10677_9	positive	BMI	Male
10695_12	positive	BMI	Male
10699_52	positive	BMI	Male
10700_10	positive	BMI	Male
10702_1	positive	BMI	Male
10703_203	positive	BMI	Male
10704_91	positive	BMI	Male
10705_14	positive	BMI	Male
10708_3	positive	BMI	Male
10710_23	positive	BMI	Male
10713_151	positive	BMI	Male
10714_7	negative	BMI	Male
10716_35	positive	BMI	Male
10731_10	positive	BMI	Male
10734_339	positive	BMI	Male
10737_96	positive	BMI	Male
10748_216	positive	BMI	Male
10752_8	positive	BMI	Male
10754_113	positive	BMI	Male
10756_34	positive	BMI	Male
10758_2	positive	BMI	Male
10760_107	positive	BMI	Male
10761_5	positive	BMI	Male
10762_2	positive	BMI	Male
10767_52	positive	BMI	Male
10772_21	positive	BMI	Male
10781_19	positive	BMI	Male
10798_4	positive	BMI	Male
10800_15	positive	BMI	Male
10809_14	positive	BMI	Male
10814_7	positive	BMI	Male
10815_2	positive	BMI	Male
10816_150	positive	BMI	Male
10817_26	positive	BMI	Male
10830_5	positive	BMI	Male
10832_24	negative	BMI	Male
10835_25	positive	BMI	Male
10842_7	positive	BMI	Male
10847_1	positive	BMI	Male
10848_137	positive	BMI	Male
10851_77	negative	BMI	Male
10852_114	positive	BMI	Male
10866_60	positive	BMI	Male
10876_300	positive	BMI	Male
10880_38	positive	BMI	Male
10882_12	positive	BMI	Male
10885_36	positive	BMI	Male
10889_2	positive	BMI	Male
10890_135	positive	BMI	Male
10892_8	positive	BMI	Male
10895_28	positive	BMI	Male
10900_272	positive	BMI	Male
10903_50	positive	BMI	Male
10907_116	negative	BMI	Male
10908_2	negative	BMI	Male
10910_6	positive	BMI	Male
10916_44	negative	BMI	Male
10917_40	positive	BMI	Male
10924_258	positive	BMI	Male
10933_107	positive	BMI	Male
10938_13	positive	BMI	Male
10939_16	positive	BMI	Male
10940_25	positive	BMI	Male
10945_11	positive	BMI	Male
10948_14	positive	BMI	Male
10949_59	positive	BMI	Male
10953_14	positive	BMI	Male
10955_4	positive	BMI	Male
10956_82	positive	BMI	Male
10959_125	positive	BMI	Male
10961_15	positive	BMI	Male
10974_20	negative	BMI	Male
10975_59	positive	BMI	Male
10978_39	negative	BMI	Male
10981_56	positive	BMI	Male
10990_21	positive	BMI	Male
11067_13	positive	BMI	Male
11071_1	positive	BMI	Male
11094_104	positive	BMI	Male
11098_1	positive	BMI	Male
11101_18	positive	BMI	Male
11102_22	positive	BMI	Male
11103_24	positive	BMI	Male
11104_13	positive	BMI	Male
11107_25	positive	BMI	Male
11109_56	positive	BMI	Male
11110_4	positive	BMI	Male
11112_18	positive	BMI	Male
11116_16	positive	BMI	Male
11117_2	positive	BMI	Male
11118_107	positive	BMI	Male
11120_49	positive	BMI	Male
11122_97	positive	BMI	Male
11126_102	positive	BMI	Male
11128_29	positive	BMI	Male
11129_66	positive	BMI	Male
11130_158	positive	BMI	Male
11134_30	positive	BMI	Male
11135_5	positive	BMI	Male
11137_43	positive	BMI	Male
11138_16	positive	BMI	Male
11140_56	negative	BMI	Male
11143_32	positive	BMI	Male
11144_10	positive	BMI	Male
11145_72	positive	BMI	Male
11146_4	positive	BMI	Male
11149_3	positive	BMI	Male
11152_46	negative	BMI	Male
11154_3	positive	BMI	Male
11155_16	positive	BMI	Male
11158_40	positive	BMI	Male
11160_56	positive	BMI	Male
11161_5	positive	BMI	Male
11162_37	positive	BMI	Male
11163_7	positive	BMI	Male
11164_7	positive	BMI	Male
11167_6	positive	BMI	Male
11168_3	positive	BMI	Male
11171_25	positive	BMI	Male
11173_29	positive	BMI	Male
11174_8	positive	BMI	Male
11175_45	positive	BMI	Male
11177_16	positive	BMI	Male
11178_21	positive	BMI	Male
11179_7	positive	BMI	Male
11180_17	positive	BMI	Male
11185_145	positive	BMI	Male
11186_12	positive	BMI	Male
11187_11	positive	BMI	Male
11190_129	positive	BMI	Male
11192_168	negative	BMI	Male
11193_27	positive	BMI	Male
11196_31	positive	BMI	Male
11198_37	positive	BMI	Male
11201_19	positive	BMI	Male
11202_70	positive	BMI	Male
11204_80	positive	BMI	Male
11205_10	positive	BMI	Male
11207_3	positive	BMI	Male
11208_15	negative	BMI	Male
11212_7	positive	BMI	Male
11214_40	positive	BMI	Male
11215_6	positive	BMI	Male
11218_84	positive	BMI	Male
11219_95	positive	BMI	Male
11220_53	positive	BMI	Male
11223_1	positive	BMI	Male
11226_16	positive	BMI	Male
11227_31	positive	BMI	Male
11228_37	positive	BMI	Male
11229_16	positive	BMI	Male
11231_12	positive	BMI	Male
11237_49	positive	BMI	Male
11239_49	positive	BMI	Male
11241_8	positive	BMI	Male
11242_33	positive	BMI	Male
11243_90	positive	BMI	Male
11247_20	positive	BMI	Male
11248_43	positive	BMI	Male
11252_30	positive	BMI	Male
11254_13	positive	BMI	Male
11257_1	positive	BMI	Male
11258_41	positive	BMI	Male
11260_47	positive	BMI	Male
11262_39	positive	BMI	Male
11263_57	positive	BMI	Male
11264_33	positive	BMI	Male
11265_8	positive	BMI	Male
11266_8	negative	BMI	Male
11270_17	positive	BMI	Male
11273_176	positive	BMI	Male
11275_94	positive	BMI	Male
11277_23	positive	BMI	Male
11278_4	negative	BMI	Male
11279_42	positive	BMI	Male
11280_6	positive	BMI	Male
11281_6	positive	BMI	Male
11283_13	positive	BMI	Male
11284_24	positive	BMI	Male
11286_78	positive	BMI	Male
11287_14	positive	BMI	Male
11288_26	positive	BMI	Male
11289_31	positive	BMI	Male
11292_13	positive	BMI	Male
11297_54	positive	BMI	Male
11300_32	positive	BMI	Male
11302_237	positive	BMI	Male
11303_7	positive	BMI	Male
11307_33	positive	BMI	Male
11308_8	positive	BMI	Male
11311_79	positive	BMI	Male
11312_40	positive	BMI	Male
11313_100	positive	BMI	Male
11315_148	positive	BMI	Male
11320_29	positive	BMI	Male
11324_3	positive	BMI	Male
11325_8	positive	BMI	Male
11327_56	positive	BMI	Male
11328_9	positive	BMI	Male
11330_15	positive	BMI	Male
11333_82	positive	BMI	Male
11334_7	positive	BMI	Male
11336_9	positive	BMI	Male
11338_49	positive	BMI	Male
11342_59	positive	BMI	Male
11347_9	positive	BMI	Male
11348_132	positive	BMI	Male
11350_30	positive	BMI	Male
11351_233	negative	BMI	Male
11352_42	positive	BMI	Male
11356_19	positive	BMI	Male
11361_73	positive	BMI	Male
11363_58	positive	BMI	Male
11364_18	positive	BMI	Male
11365_17	positive	BMI	Male
11368_32	positive	BMI	Male
11370_20	positive	BMI	Male
11371_1	positive	BMI	Male
11372_2	positive	BMI	Male
11375_49	positive	BMI	Male
11377_19	negative	BMI	Male
11378_37	negative	BMI	Male
11380_84	positive	BMI	Male
11381_56	positive	BMI	Male
11383_41	positive	BMI	Male
11387_3	positive	BMI	Male
11388_75	positive	BMI	Male
11390_24	positive	BMI	Male
11391_69	positive	BMI	Male
11396_39	positive	BMI	Male
11401_181	positive	BMI	Male
11402_17	positive	BMI	Male
11405_150	positive	BMI	Male
11406_82	positive	BMI	Male
11407_57	positive	BMI	Male
11416_23	positive	BMI	Male
11422_2	positive	BMI	Male
11424_4	positive	BMI	Male
11425_31	positive	BMI	Male
11428_31	positive	BMI	Male
11429_80	positive	BMI	Male
11430_49	positive	BMI	Male
11431_235	positive	BMI	Male
11432_11	positive	BMI	Male
11433_11	positive	BMI	Male
11436_6	positive	BMI	Male
11438_6	positive	BMI	Male
11439_88	positive	BMI	Male
11440_58	positive	BMI	Male
11441_11	positive	BMI	Male
11442_1	positive	BMI	Male
11444_49	positive	BMI	Male
11448_34	positive	BMI	Male
11449_22	positive	BMI	Male
11454_87	positive	BMI	Male
11456_2	positive	BMI	Male
11457_53	positive	BMI	Male
11459_81	positive	BMI	Male
11462_8	positive	BMI	Male
11464_9	positive	BMI	Male
11465_4	positive	BMI	Male
11480_1	positive	BMI	Male
11486_26	positive	BMI	Male
11490_42	positive	BMI	Male
11510_31	positive	BMI	Male
11513_92	positive	BMI	Male
11514_196	positive	BMI	Male
11516_7	positive	BMI	Male
11530_37	positive	BMI	Male
11531_24	positive	BMI	Male
11534_6	positive	BMI	Male
11536_9	positive	BMI	Male
11537_12	positive	BMI	Male
11538_216	positive	BMI	Male
11539_4	positive	BMI	Male
11540_37	positive	BMI	Male
11542_11	positive	BMI	Male
11543_84	positive	BMI	Male
11544_39	positive	BMI	Male
11547_84	positive	BMI	Male
11549_6	positive	BMI	Male
11551_16	positive	BMI	Male
11556_19	positive	BMI	Male
11557_3	positive	BMI	Male
11560_76	positive	BMI	Male
11562_9	positive	BMI	Male
11563_51	positive	BMI	Male
11565_58	positive	BMI	Male
11566_48	positive	BMI	Male
11567_23	positive	BMI	Male
11570_94	positive	BMI	Male
11571_75	positive	BMI	Male
11573_3	positive	BMI	Male
