sequence_id	direction_group	exposure	group
11582_63	positive	BMI	Male
11587_5	positive	BMI	Male
11590_5	positive	BMI	Male
11591_43	positive	BMI	Male
11592_1	positive	BMI	Male
11593_21	positive	BMI	Male
11596_47	positive	BMI	Male
11601_26	positive	BMI	Male
11606_22	positive	BMI	Male
11607_15	positive	BMI	Male
11608_5	positive	BMI	Male
11614_29	positive	BMI	Male
11616_9	positive	BMI	Male
11617_1	positive	BMI	Male
11618_83	positive	BMI	Male
11626_7	positive	BMI	Male
11633_89	positive	BMI	Male
11636_33	positive	BMI	Male
11638_42	positive	BMI	Male
11643_73	positive	BMI	Male
11645_9	positive	BMI	Male
11646_4	positive	BMI	Male
11647_6	positive	BMI	Male
11649_3	positive	BMI	Male
11653_69	positive	BMI	Male
11654_77	positive	BMI	Male
11656_110	positive	BMI	Male
11657_86	positive	BMI	Male
11659_31	positive	BMI	Male
11661_11	positive	BMI	Male
11664_32	positive	BMI	Male
11666_72	positive	BMI	Male
11667_29	positive	BMI	Male
11669_39	positive	BMI	Male
11671_19	positive	BMI	Male
11672_17	positive	BMI	Male
11677_17	positive	BMI	Male
11678_105	positive	BMI	Male
11681_8	positive	BMI	Male
11682_7	positive	BMI	Male
11683_19	positive	BMI	Male
11690_47	positive	BMI	Male
11692_21	positive	BMI	Male
11696_7	positive	BMI	Male
11699_16	positive	BMI	Male
11708_2	negative	BMI	Male
11715_1	positive	BMI	Male
11716_28	positive	BMI	Male
11816_84	positive	BMI	Male
11825_27	positive	BMI	Male
11827_7	positive	BMI	Male
11837_7	positive	BMI	Male
11838_130	positive	BMI	Male
11872_9	positive	BMI	Male
11910_27	positive	BMI	Male
11911_13	positive	BMI	Male
11934_9	positive	BMI	Male
11952_1	positive	BMI	Male
11955_1	positive	BMI	Male
11967_23	positive	BMI	Male
11969_5	positive	BMI	Male
11988_24	positive	BMI	Male
11989_35	positive	BMI	Male
12001_7	positive	BMI	Male
12008_3	positive	BMI	Male
12014_19	positive	BMI	Male
12016_60	positive	BMI	Male
12018_84	positive	BMI	Male
12022_12	positive	BMI	Male
12030_82	positive	BMI	Male
12033_3	positive	BMI	Male
12034_28	positive	BMI	Male
12041_33	positive	BMI	Male
12046_51	positive	BMI	Male
12329_21	positive	BMI	Male
12332_7	positive	BMI	Male
12333_87	positive	BMI	Male
12338_27	negative	BMI	Male
12340_17	negative	BMI	Male
12341_8	positive	BMI	Male
12343_14	positive	BMI	Male
12345_4	positive	BMI	Male
12347_29	positive	BMI	Male
12348_46	positive	BMI	Male
12350_86	positive	BMI	Male
12352_70	positive	BMI	Male
12355_223	positive	BMI	Male
12356_65	positive	BMI	Male
12357_41	positive	BMI	Male
12361_102	positive	BMI	Male
12363_70	positive	BMI	Male
12365_108	positive	BMI	Male
12366_16	positive	BMI	Male
12367_52	positive	BMI	Male
12368_18	positive	BMI	Male
12370_30	negative	BMI	Male
12373_73	positive	BMI	Male
12378_71	positive	BMI	Male
12381_26	positive	BMI	Male
12382_2	positive	BMI	Male
12384_92	positive	BMI	Male
12385_4	positive	BMI	Male
12386_11	positive	BMI	Male
12387_7	positive	BMI	Male
12389_4	positive	BMI	Male
12391_27	positive	BMI	Male
12392_30	positive	BMI	Male
12394_53	positive	BMI	Male
12395_86	positive	BMI	Male
12396_19	positive	BMI	Male
12398_15	positive	BMI	Male
12399_194	positive	BMI	Male
12400_25	positive	BMI	Male
12401_3	positive	BMI	Male
12403_30	positive	BMI	Male
12406_119	positive	BMI	Male
12409_90	positive	BMI	Male
12415_122	positive	BMI	Male
12417_46	positive	BMI	Male
12420_10	positive	BMI	Male
12423_38	positive	BMI	Male
12424_107	positive	BMI	Male
12425_104	positive	BMI	Male
12426_19	positive	BMI	Male
12427_8	positive	BMI	Male
12428_2	positive	BMI	Male
12430_78	positive	BMI	Male
12431_13	positive	BMI	Male
12432_23	positive	BMI	Male
12433_8	negative	BMI	Male
12434_25	negative	BMI	Male
12436_84	positive	BMI	Male
12437_18	positive	BMI	Male
12438_127	positive	BMI	Male
12439_67	positive	BMI	Male
12442_4	positive	BMI	Male
12444_39	positive	BMI	Male
12445_50	positive	BMI	Male
12450_42	negative	BMI	Male
12451_62	positive	BMI	Male
12452_32	positive	BMI	Male
12453_161	positive	BMI	Male
12454_105	positive	BMI	Male
12455_48	positive	BMI	Male
12456_5	positive	BMI	Male
12457_10	positive	BMI	Male
12458_79	positive	BMI	Male
12459_13	positive	BMI	Male
12461_8	positive	BMI	Male
12462_20	positive	BMI	Male
12463_7	positive	BMI	Male
12466_7	positive	BMI	Male
12471_47	positive	BMI	Male
12473_48	positive	BMI	Male
12475_48	negative	BMI	Male
12476_50	positive	BMI	Male
12478_15	positive	BMI	Male
12479_50	positive	BMI	Male
12480_9	positive	BMI	Male
12482_5	positive	BMI	Male
12483_62	positive	BMI	Male
12484_67	positive	BMI	Male
12486_8	positive	BMI	Male
12488_9	positive	BMI	Male
12490_92	positive	BMI	Male
12493_42	positive	BMI	Male
12494_99	positive	BMI	Male
12497_29	positive	BMI	Male
12498_12	positive	BMI	Male
12499_108	positive	BMI	Male
12500_88	positive	BMI	Male
12501_10	positive	BMI	Male
12503_5	positive	BMI	Male
12504_26	positive	BMI	Male
12507_16	positive	BMI	Male
12509_115	positive	BMI	Male
12510_3	positive	BMI	Male
12511_83	positive	BMI	Male
12513_8	positive	BMI	Male
12514_16	positive	BMI	Male
12515_45	positive	BMI	Male
12516_13	positive	BMI	Male
12517_52	positive	BMI	Male
12518_289	positive	BMI	Male
12521_3	positive	BMI	Male
12522_6	positive	BMI	Male
12524_18	positive	BMI	Male
12527_50	positive	BMI	Male
12528_40	positive	BMI	Male
12529_32	positive	BMI	Male
12530_14	positive	BMI	Male
12531_5	positive	BMI	Male
12532_28	positive	BMI	Male
12533_135	positive	BMI	Male
12534_10	positive	BMI	Male
12535_2	positive	BMI	Male
12536_46	positive	BMI	Male
12540_25	positive	BMI	Male
12543_76	positive	BMI	Male
12546_1	positive	BMI	Male
12548_75	positive	BMI	Male
12549_33	negative	BMI	Male
12551_3	positive	BMI	Male
12553_5	positive	BMI	Male
12556_7	positive	BMI	Male
12557_18	positive	BMI	Male
12562_1	positive	BMI	Male
12563_2	positive	BMI	Male
12568_14	positive	BMI	Male
12571_14	negative	BMI	Male
12572_236	positive	BMI	Male
12573_80	positive	BMI	Male
12574_36	positive	BMI	Male
12576_21	negative	BMI	Male
12577_100	positive	BMI	Male
12578_13	positive	BMI	Male
12580_7	positive	BMI	Male
12581_39	positive	BMI	Male
12585_39	positive	BMI	Male
12593_33	positive	BMI	Male
12594_5	positive	BMI	Male
12595_11	positive	BMI	Male
12597_68	positive	BMI	Male
12603_87	positive	BMI	Male
12604_16	positive	BMI	Male
12605_1	positive	BMI	Male
12612_37	positive	BMI	Male
12616_45	positive	BMI	Male
12618_50	positive	BMI	Male
12619_14	positive	BMI	Male
12620_3	positive	BMI	Male
12621_55	negative	BMI	Male
12622_96	positive	BMI	Male
12623_84	positive	BMI	Male
12625_138	positive	BMI	Male
12626_6	positive	BMI	Male
12627_97	positive	BMI	Male
12630_8	negative	BMI	Male
12632_14	positive	BMI	Male
12633_3	positive	BMI	Male
12634_79	positive	BMI	Male
12636_113	positive	BMI	Male
12637_7	positive	BMI	Male
12644_63	positive	BMI	Male
12647_52	positive	BMI	Male
12650_43	positive	BMI	Male
12651_21	positive	BMI	Male
12653_13	positive	BMI	Male
12655_30	positive	BMI	Male
12656_1	positive	BMI	Male
12657_2	positive	BMI	Male
12658_72	positive	BMI	Male
12659_13	positive	BMI	Male
12661_44	positive	BMI	Male
12662_82	positive	BMI	Male
12663_1	positive	BMI	Male
12664_19	positive	BMI	Male
12665_16	positive	BMI	Male
12667_2	positive	BMI	Male
12668_7	positive	BMI	Male
12669_30	positive	BMI	Male
12670_15	positive	BMI	Male
12671_35	positive	BMI	Male
12675_14	negative	BMI	Male
12676_1	positive	BMI	Male
12677_164	positive	BMI	Male
12678_66	positive	BMI	Male
12681_63	positive	BMI	Male
12682_5	negative	BMI	Male
12683_156	positive	BMI	Male
12684_5	positive	BMI	Male
12685_57	positive	BMI	Male
12686_15	negative	BMI	Male
12687_2	positive	BMI	Male
12688_115	negative	BMI	Male
12689_56	positive	BMI	Male
12690_33	positive	BMI	Male
12691_44	positive	BMI	Male
12692_56	positive	BMI	Male
12693_2	positive	BMI	Male
12694_28	positive	BMI	Male
12695_62	positive	BMI	Male
12696_166	positive	BMI	Male
12698_72	positive	BMI	Male
12700_9	positive	BMI	Male
12702_13	positive	BMI	Male
12703_6	negative	BMI	Male
12704_26	positive	BMI	Male
12705_9	positive	BMI	Male
12707_26	positive	BMI	Male
12708_91	positive	BMI	Male
12709_63	positive	BMI	Male
12711_19	positive	BMI	Male
12712_9	positive	BMI	Male
12713_365	positive	BMI	Male
12714_38	positive	BMI	Male
12716_3	positive	BMI	Male
12717_65	positive	BMI	Male
12718_43	positive	BMI	Male
12720_71	positive	BMI	Male
12721_4	positive	BMI	Male
12724_81	positive	BMI	Male
12726_3	positive	BMI	Male
12727_7	negative	BMI	Male
12729_12	positive	BMI	Male
12730_3	positive	BMI	Male
12731_12	positive	BMI	Male
12732_13	positive	BMI	Male
12735_39	positive	BMI	Male
12737_12	positive	BMI	Male
12738_43	positive	BMI	Male
12740_55	positive	BMI	Male
12743_18	positive	BMI	Male
12746_4	positive	BMI	Male
12747_89	positive	BMI	Male
12748_6	positive	BMI	Male
12750_9	positive	BMI	Male
12751_26	positive	BMI	Male
12753_6	positive	BMI	Male
12754_14	positive	BMI	Male
12756_3	positive	BMI	Male
12758_47	negative	BMI	Male
12759_47	positive	BMI	Male
12760_34	positive	BMI	Male
12761_12	positive	BMI	Male
12764_3	positive	BMI	Male
12766_33	positive	BMI	Male
12768_3	positive	BMI	Male
12771_19	positive	BMI	Male
12772_8	positive	BMI	Male
12774_12	positive	BMI	Male
12775_6	positive	BMI	Male
12777_11	positive	BMI	Male
12781_2	positive	BMI	Male
12783_29	positive	BMI	Male
12784_10	positive	BMI	Male
12785_49	positive	BMI	Male
12787_47	positive	BMI	Male
12788_6	positive	BMI	Male
12790_10	positive	BMI	Male
12793_4	positive	BMI	Male
12794_6	positive	BMI	Male
12795_2	positive	BMI	Male
12798_46	positive	BMI	Male
12799_65	positive	BMI	Male
12800_5	positive	BMI	Male
12801_33	positive	BMI	Male
12803_9	positive	BMI	Male
12804_5	positive	BMI	Male
12807_89	positive	BMI	Male
12811_55	positive	BMI	Male
12812_25	positive	BMI	Male
12813_18	positive	BMI	Male
12814_17	positive	BMI	Male
12815_9	positive	BMI	Male
12817_1	positive	BMI	Male
12818_159	positive	BMI	Male
12820_1	positive	BMI	Male
12821_6	positive	BMI	Male
12822_34	positive	BMI	Male
12825_18	positive	BMI	Male
12827_37	positive	BMI	Male
12830_4	positive	BMI	Male
12831_21	positive	BMI	Male
12832_10	positive	BMI	Male
12834_3	positive	BMI	Male
12835_101	positive	BMI	Male
12838_28	positive	BMI	Male
12842_43	positive	BMI	Male
12843_6	positive	BMI	Male
12844_10	positive	BMI	Male
12845_18	positive	BMI	Male
12846_3	positive	BMI	Male
12847_27	positive	BMI	Male
12848_9	positive	BMI	Male
12849_25	positive	BMI	Male
12851_5	positive	BMI	Male
12853_112	positive	BMI	Male
12854_3	positive	BMI	Male
12855_16	positive	BMI	Male
12856_14	positive	BMI	Male
12859_33	positive	BMI	Male
12860_7	positive	BMI	Male
12861_13	positive	BMI	Male
12862_14	positive	BMI	Male
12864_9	positive	BMI	Male
12867_40	positive	BMI	Male
12869_68	positive	BMI	Male
12871_10	positive	BMI	Male
12872_35	positive	BMI	Male
12873_11	positive	BMI	Male
12875_28	positive	BMI	Male
12876_39	positive	BMI	Male
12878_60	positive	BMI	Male
12879_5	positive	BMI	Male
12880_1	positive	BMI	Male
12881_17	positive	BMI	Male
12882_7	positive	BMI	Male
12885_42	positive	BMI	Male
12888_18	positive	BMI	Male
12891_1	positive	BMI	Male
12892_10	positive	BMI	Male
12893_159	positive	BMI	Male
12894_3	positive	BMI	Male
12895_28	positive	BMI	Male
12904_180	positive	BMI	Male
12923_51	positive	BMI	Male
12925_105	positive	BMI	Male
12931_16	positive	BMI	Male
12933_17	positive	BMI	Male
12934_1	positive	BMI	Male
12936_38	positive	BMI	Male
12939_1	positive	BMI	Male
12940_35	positive	BMI	Male
12945_33	positive	BMI	Male
12954_71	positive	BMI	Male
12957_62	positive	BMI	Male
12960_9	positive	BMI	Male
12963_1	positive	BMI	Male
12968_2	positive	BMI	Male
12970_35	positive	BMI	Male
12975_11	positive	BMI	Male
12976_49	positive	BMI	Male
12980_31	positive	BMI	Male
12986_12	positive	BMI	Male
12987_12	positive	BMI	Male
12988_49	positive	BMI	Male
12990_39	positive	BMI	Male
12991_49	positive	BMI	Male
13007_66	positive	BMI	Male
13011_20	positive	BMI	Male
13013_41	positive	BMI	Male
13022_20	positive	BMI	Male
13025_4	positive	BMI	Male
13027_20	positive	BMI	Male
13032_1	positive	BMI	Male
13039_1	positive	BMI	Male
13041_47	positive	BMI	Male
13042_7	positive	BMI	Male
13043_157	positive	BMI	Male
13044_5	positive	BMI	Male
13053_6	positive	BMI	Male
13055_53	positive	BMI	Male
13056_18	positive	BMI	Male
13059_33	positive	BMI	Male
13062_4	positive	BMI	Male
13066_42	positive	BMI	Male
13067_5	positive	BMI	Male
13068_139	positive	BMI	Male
13073_14	positive	BMI	Male
13076_4	positive	BMI	Male
13078_3	positive	BMI	Male
13082_9	negative	BMI	Male
13083_18	positive	BMI	Male
13085_18	positive	BMI	Male
13088_397	positive	BMI	Male
13089_6	positive	BMI	Male
13090_17	negative	BMI	Male
13093_6	positive	BMI	Male
13094_75	positive	BMI	Male
13095_51	negative	BMI	Male
13097_11	positive	BMI	Male
13098_93	negative	BMI	Male
13104_32	positive	BMI	Male
13105_7	positive	BMI	Male
13107_9	positive	BMI	Male
13109_82	negative	BMI	Male
13111_79	positive	BMI	Male
13112_179	positive	BMI	Male
13114_50	positive	BMI	Male
13118_5	positive	BMI	Male
13119_26	positive	BMI	Male
13122_19	positive	BMI	Male
13123_3	negative	BMI	Male
13124_20	negative	BMI	Male
13125_45	positive	BMI	Male
13126_52	positive	BMI	Male
13129_40	positive	BMI	Male
13130_150	positive	BMI	Male
13131_5	positive	BMI	Male
13132_14	positive	BMI	Male
13133_73	negative	BMI	Male
13228_75	positive	BMI	Male
13229_20	positive	BMI	Male
13230_174	positive	BMI	Male
13231_90	positive	BMI	Male
13236_25	positive	BMI	Male
13240_170	positive	BMI	Male
13242_134	positive	BMI	Male
13268_45	positive	BMI	Male
13374_4	positive	BMI	Male
13375_48	positive	BMI	Male
13377_3	positive	BMI	Male
13378_80	positive	BMI	Male
13381_49	positive	BMI	Male
13384_110	positive	BMI	Male
13386_248	positive	BMI	Male
13387_55	positive	BMI	Male
13392_13	negative	BMI	Male
13393_46	positive	BMI	Male
13397_88	positive	BMI	Male
13399_33	positive	BMI	Male
