sequence_id	direction_group	exposure	group
3310_62	negative	whradjbmi	Sex-combined
13620_10	positive	whradjbmi	Sex-combined
4960_72	positive	whradjbmi	Sex-combined
19168_71	positive	whradjbmi	Sex-combined
11406_82	positive	whradjbmi	Sex-combined
6497_10	positive	whradjbmi	Sex-combined
13536_56	positive	whradjbmi	Sex-combined
9834_62	positive	whradjbmi	Sex-combined
13614_6	positive	whradjbmi	Sex-combined
19602_36	positive	whradjbmi	Sex-combined
19379_154	positive	whradjbmi	Sex-combined
9753_17	positive	whradjbmi	Sex-combined
12522_6	positive	whradjbmi	Sex-combined
18307_71	positive	whradjbmi	Sex-combined
19132_1	positive	whradjbmi	Sex-combined
14631_22	positive	whradjbmi	Sex-combined
16318_12	negative	whradjbmi	Sex-combined
7045_4	positive	whradjbmi	Sex-combined
5280_68	positive	whradjbmi	Sex-combined
7866_11	positive	whradjbmi	Sex-combined
2468_62	positive	whradjbmi	Sex-combined
18434_141	positive	whradjbmi	Sex-combined
9778_45	positive	whradjbmi	Sex-combined
9531_24	positive	whradjbmi	Sex-combined
8404_102	positive	whradjbmi	Sex-combined
6543_182	positive	whradjbmi	Sex-combined
12455_48	positive	whradjbmi	Sex-combined
7824_88	positive	whradjbmi	Sex-combined
3421_54	positive	whradjbmi	Sex-combined
8459_10	positive	whradjbmi	Sex-combined
14206_28	positive	whradjbmi	Sex-combined
7867_154	positive	whradjbmi	Sex-combined
3078_1	positive	whradjbmi	Sex-combined
13556_28	positive	whradjbmi	Sex-combined
13393_46	positive	whradjbmi	Sex-combined
9482_110	positive	whradjbmi	Sex-combined
12365_108	positive	whradjbmi	Sex-combined
13439_6	positive	whradjbmi	Sex-combined
2939_10	positive	whradjbmi	Sex-combined
5018_68	positive	whradjbmi	Sex-combined
11356_19	positive	whradjbmi	Sex-combined
5629_58	positive	whradjbmi	Sex-combined
12779_30	positive	whradjbmi	Sex-combined
4220_39	positive	whradjbmi	Sex-combined
17512_2	positive	whradjbmi	Sex-combined
11264_33	positive	whradjbmi	Sex-combined
6469_62	positive	whradjbmi	Sex-combined
12527_50	positive	whradjbmi	Sex-combined
10064_12	positive	whradjbmi	Sex-combined
3437_80	positive	whradjbmi	Sex-combined
3212_30	positive	whradjbmi	Sex-combined
4557_61	positive	whradjbmi	Sex-combined
11591_43	positive	whradjbmi	Sex-combined
9253_52	positive	whradjbmi	Sex-combined
5006_71	positive	whradjbmi	Sex-combined
11377_19	positive	whradjbmi	Sex-combined
15383_200	positive	whradjbmi	Sex-combined
5069_9	negative	whradjbmi	Sex-combined
11375_49	positive	whradjbmi	Sex-combined
9380_2	positive	whradjbmi	Sex-combined
10758_2	negative	whradjbmi	Sex-combined
5611_56	positive	whradjbmi	Sex-combined
4237_70	positive	whradjbmi	Sex-combined
8869_5	positive	whradjbmi	Sex-combined
15553_22	positive	whradjbmi	Sex-combined
12641_3	positive	whradjbmi	Sex-combined
14593_152	positive	whradjbmi	Sex-combined
19231_22	positive	whradjbmi	Sex-combined
16754_40	positive	whradjbmi	Sex-combined
19560_23	positive	whradjbmi	Sex-combined
8913_22	positive	whradjbmi	Sex-combined
9739_4	positive	whradjbmi	Sex-combined
13242_134	positive	whradjbmi	Sex-combined
19249_18	positive	whradjbmi	Sex-combined
6948_82	positive	whradjbmi	Sex-combined
13517_3	positive	whradjbmi	Sex-combined
19130_81	positive	whradjbmi	Sex-combined
10086_39	positive	whradjbmi	Sex-combined
9315_16	negative	whradjbmi	Sex-combined
6350_43	positive	whradjbmi	Sex-combined
10043_31	positive	whradjbmi	Sex-combined
16317_20	positive	whradjbmi	Sex-combined
3046_31	negative	whradjbmi	Sex-combined
18416_3	positive	whradjbmi	Sex-combined
3363_31	positive	whradjbmi	Sex-combined
19388_2	positive	whradjbmi	Sex-combined
3620_67	positive	whradjbmi	Sex-combined
18189_12	positive	whradjbmi	Sex-combined
7790_21	positive	whradjbmi	Sex-combined
9839_148	positive	whradjbmi	Sex-combined
16302_11	positive	whradjbmi	Sex-combined
14121_24	positive	whradjbmi	Sex-combined
14012_17	positive	whradjbmi	Sex-combined
19289_29	positive	whradjbmi	Sex-combined
15312_14	positive	whradjbmi	Sex-combined
8980_19	positive	whradjbmi	Sex-combined
9125_23	positive	whradjbmi	Sex-combined
13388_57	positive	whradjbmi	Sex-combined
7976_19	positive	whradjbmi	Sex-combined
6234_74	negative	whradjbmi	Sex-combined
7245_2	positive	whradjbmi	Sex-combined
2683_1	positive	whradjbmi	Sex-combined
