adiposity	sequence_id	protein	gene	cancer	group
BMI	13561_5	5HT6R	HTR6	overall	Sex-combined
BMI	13561_5	5HT6R	HTR6	colon	Sex-combined
BMI	13561_5	5HT6R	HTR6	proximal	Sex-combined
BMI	13587_10	RGAP1	RACGAP1	rectal	Sex-combined
BMI	13729_26	SFXN5	SFXN5	overall	Sex-combined
BMI	13950_9	C43BP	COL4A3BP	distal	Sex-combined
BMI	13992_12	NSF	NSF	colon	Sex-combined
BMI	13992_12	NSF	NSF	distal	Sex-combined
BMI	14115_34	Adrenomedullin	ADM	overall	Sex-combined
BMI	14115_34	Adrenomedullin	ADM	overall-HRC-EUR	Sex-combined
BMI	14115_34	Adrenomedullin	ADM	proximal	Sex-combined
BMI	14615_46	4_KRA24	KRTAP2	rectal	Sex-combined
BMI	15321_8	CPLX2	CPLX2	distal	Sex-combined
BMI	15372_43	BRD2	BRD2	overall-HRC-EUR	Sex-combined
BMI	15372_43	BRD2	BRD2	distal	Sex-combined
BMI	15372_43	BRD2	BRD2	rectal	Sex-combined
BMI	15386_7	FABPA	FABP4	rectal	Sex-combined
BMI	15441_6	SAP3	GM2A	distal	Sex-combined
BMI	15506_34	LRP12	LRP12	overall-HRC-EUR	Sex-combined
BMI	15567_2	CD3_zeta	CD247	rectal	Sex-combined
BMI	15574_37	Cyclin_A	CCNA2	distal	Sex-combined
BMI	15591_28	Glutathione_peroxidase	GPX1	distal	Sex-combined
BMI	15666_21	BMP_2	BMP2	rectal	Sex-combined
BMI	16536_3	HMGA1	HMGA1	proximal	Sex-combined
BMI	17163_117	Annexin_III	ANXA3	overall	Sex-combined
BMI	17329_2	BDH2	BDH2	distal	Sex-combined
BMI	17396_23	ADH1A	ADH1A	overall	Sex-combined
BMI	17396_23	ADH1A	ADH1A	overall-HRC-EUR	Sex-combined
BMI	17396_23	ADH1A	ADH1A	colon	Sex-combined
BMI	17441_4	Alkaline_phosphatase__intestine	ALPI	colon	Sex-combined
BMI	17462_19	IRF1	IRF1	overall	Sex-combined
BMI	17462_19	IRF1	IRF1	overall-HRC-EUR	Sex-combined
BMI	17462_19	IRF1	IRF1	distal	Sex-combined
BMI	17706_4	PPR1A	PPP1R1A	proximal	Sex-combined
BMI	17736_105	APTX	APTX	overall-HRC-EUR	Sex-combined
BMI	17736_105	APTX	APTX	distal	Sex-combined
BMI	17805_35	SPF30	SMNDC1	distal	Sex-combined
BMI	17835_28	ANX13	ANXA13	overall	Sex-combined
BMI	18177_49	ULA1	NAE1	rectal	Sex-combined
BMI	18267_74	CAR17	CARD17	overall	Sex-combined
BMI	18339_207	PSB3	PSMB3	proximal	Sex-combined
BMI	18382_109	Catechol_O_methyltransferase	COMT	distal	Sex-combined
BMI	18387_7	suppression_of_tumorigenicity_13	ST13	colon	Sex-combined
BMI	18387_7	suppression_of_tumorigenicity_13	ST13	proximal	Sex-combined
BMI	18389_11	IFNA1	IFNA1	distal	Sex-combined
BMI	18389_11	IFNA1	IFNA1	rectal	Sex-combined
BMI	18395_5	ADPRH	ADPRH	overall	Sex-combined
BMI	18395_5	ADPRH	ADPRH	overall-HRC-EUR	Sex-combined
BMI	18395_5	ADPRH	ADPRH	proximal	Sex-combined
BMI	18398_1	AK1D1	AKR1D1	distal	Sex-combined
BMI	18398_1	AK1D1	AKR1D1	proximal	Sex-combined
BMI	18876_77	CHST4	CHST4	rectal	Sex-combined
BMI	18878_15	GREM1	GREM1	overall	Sex-combined
BMI	18878_15	GREM1	GREM1	overall-HRC-EUR	Sex-combined
BMI	18878_15	GREM1	GREM1	colon	Sex-combined
BMI	18878_15	GREM1	GREM1	distal	Sex-combined
BMI	18878_15	GREM1	GREM1	proximal	Sex-combined
BMI	18878_15	GREM1	GREM1	rectal	Sex-combined
BMI	18888_37	FBP12	FABP12	overall-HRC-EUR	Sex-combined
BMI	18896_23	H6ST3	HS6ST3	colon	Sex-combined
BMI	18900_37	H_ras__WT_	HRAS	overall	Sex-combined
BMI	18900_37	H_ras__WT_	HRAS	overall-HRC-EUR	Sex-combined
BMI	19123_6	IKBD	NFKBID	colon	Sex-combined
BMI	19153_53	MPPD2	MPPED2	overall	Sex-combined
BMI	19153_53	MPPD2	MPPED2	overall-HRC-EUR	Sex-combined
BMI	19225_11	BLNK	BLNK	overall-HRC-EUR	Sex-combined
BMI	19225_11	BLNK	BLNK	distal	Sex-combined
BMI	19225_11	BLNK	BLNK	rectal	Sex-combined
BMI	19260_4	GIPC1	GIPC1	overall	Sex-combined
BMI	19260_4	GIPC1	GIPC1	overall-HRC-EUR	Sex-combined
BMI	19260_4	GIPC1	GIPC1	proximal	Sex-combined
BMI	19280_29	UB2D3	UBE2D3	colon	Sex-combined
BMI	19311_15	CRBS	CRYGS	colon	Sex-combined
BMI	19311_15	CRBS	CRYGS	distal	Sex-combined
BMI	19376_74	NNMT	NNMT	proximal	Sex-combined
BMI	2447_7	GIIE	PLA2G2E	overall-HRC-EUR	Sex-combined
BMI	2447_7	GIIE	PLA2G2E	distal	Sex-combined
BMI	2447_7	GIIE	PLA2G2E	rectal	Sex-combined
BMI	2514_65	Ephrin_B3	EFNB3	overall	Sex-combined
BMI	2514_65	Ephrin_B3	EFNB3	overall-HRC-EUR	Sex-combined
BMI	2514_65	Ephrin_B3	EFNB3	colon	Sex-combined
BMI	2514_65	Ephrin_B3	EFNB3	distal	Sex-combined
BMI	2597_8	VEGF	VEGFA	distal	Sex-combined
BMI	2683_1	iC3b	C3	rectal	Sex-combined
BMI	2731_29	NADPH_P450_Oxidoreductase	POR	rectal	Sex-combined
BMI	2968_61	TNFSF15	TNFSF15	distal	Sex-combined
BMI	3005_5	PTP_1B	PTPN1	distal	Sex-combined
BMI	3005_5	PTP_1B	PTPN1	proximal	Sex-combined
BMI	3078_1	PlGF	PGF	distal	Sex-combined
BMI	3312_64	FCGR1	FCGR1A	overall	Sex-combined
BMI	3312_64	FCGR1	FCGR1A	overall-HRC-EUR	Sex-combined
BMI	3312_64	FCGR1	FCGR1A	colon	Sex-combined
BMI	3313_21	FCN2	FCN2	overall	Sex-combined
BMI	3313_21	FCN2	FCN2	overall-HRC-EUR	Sex-combined
BMI	3313_21	FCN2	FCN2	colon	Sex-combined
BMI	3374_49	HCK	HCK	rectal	Sex-combined
BMI	3394_81	PLK_1	PLK1	rectal	Sex-combined
BMI	3603_60	CLC7A	CLEC7A	overall	Sex-combined
BMI	3603_60	CLC7A	CLEC7A	overall-HRC-EUR	Sex-combined
BMI	3603_60	CLC7A	CLEC7A	distal	Sex-combined
BMI	3605_77	MASP3	MASP1	rectal	Sex-combined
BMI	3685_53	MFRP	MFRP	overall	Sex-combined
BMI	3685_53	MFRP	MFRP	overall-HRC-EUR	Sex-combined
BMI	3685_53	MFRP	MFRP	colon	Sex-combined
BMI	3685_53	MFRP	MFRP	distal	Sex-combined
BMI	3730_81	TNR4	TNFRSF4	rectal	Sex-combined
BMI	3758_68	Activated_Protein_C	PROC	overall-HRC-EUR	Sex-combined
BMI	3835_11	TLR2	TLR2	overall	Sex-combined
BMI	3835_11	TLR2	TLR2	overall-HRC-EUR	Sex-combined
BMI	3835_11	TLR2	TLR2	distal	Sex-combined
BMI	3889_64	Lamin_B1	LMNB1	distal	Sex-combined
BMI	3889_64	Lamin_B1	LMNB1	rectal	Sex-combined
BMI	4159_130	Factor_H	CFH	distal	Sex-combined
BMI	4717_55	IL_3	IL3	distal	Sex-combined
BMI	4717_55	IL_3	IL3	rectal	Sex-combined
BMI	4960_72	annexin_I	ANXA1	proximal	Sex-combined
BMI	5031_10	SPTA2	SPTAN1	overall-HRC-EUR	Sex-combined
BMI	5031_10	SPTA2	SPTAN1	distal	Sex-combined
BMI	5031_10	SPTA2	SPTAN1	rectal	Sex-combined
BMI	5098_79	KLRF1	KLRF1	overall-HRC-EUR	Sex-combined
BMI	5098_79	KLRF1	KLRF1	distal	Sex-combined
BMI	5098_79	KLRF1	KLRF1	rectal	Sex-combined
BMI	5255_22	PDE4D	PDE4D	rectal	Sex-combined
BMI	5339_49	calgranulin_B	S100A9	overall	Sex-combined
BMI	5339_49	calgranulin_B	S100A9	overall-HRC-EUR	Sex-combined
BMI	5339_49	calgranulin_B	S100A9	rectal	Sex-combined
BMI	5340_24	Caspase_10	CASP10	colon	Sex-combined
BMI	5352_11	HVEM	TNFRSF14	overall-HRC-EUR	Sex-combined
BMI	5352_11	HVEM	TNFRSF14	distal	Sex-combined
BMI	5352_11	HVEM	TNFRSF14	rectal	Sex-combined
BMI	5355_69	LIGHT	TNFSF14	proximal	Sex-combined
BMI	5355_69	LIGHT	TNFSF14	rectal	Sex-combined
BMI	5443_62	ANP	NPPA	proximal	Sex-combined
BMI	5468_67	IL_17_RC	IL17RC	rectal	Sex-combined
BMI	5484_63	RS3A	RPS3A	distal	Sex-combined
BMI	5490_53	Testican_1	SPOCK1	colon	Sex-combined
BMI	5534_49	TRAIL_R2	TNFRSF10B	proximal	Sex-combined
BMI	5534_49	TRAIL_R2	TNFRSF10B	rectal	Sex-combined
BMI	5590_11	ZPLD1	ZPLD1	overall	Sex-combined
BMI	5599_88	PCYXL	PCYOX1L	overall	Sex-combined
BMI	5599_88	PCYXL	PCYOX1L	overall-HRC-EUR	Sex-combined
BMI	5611_56	D108B	DEFB108B	overall	Sex-combined
BMI	5611_56	D108B	DEFB108B	rectal	Sex-combined
BMI	5822_22	GDNF	GDNF	proximal	Sex-combined
BMI	5879_51	Dynactin_subunit_2	DCTN2	overall	Sex-combined
BMI	5879_51	Dynactin_subunit_2	DCTN2	distal	Sex-combined
BMI	6240_70	RSPO1	RSPO1	distal	Sex-combined
