sequence_id	protein	gene	adiposity	group	outcome
15405_23	IFNA4	IFNA4	BMI	Female	rectal
15567_2	CD3_zeta	CD247	BMI	Female	proximal
15574_37	Cyclin_A	CCNA2	BMI	Female	distal
15666_21	BMP_2	BMP2	BMI	Female	proximal
15692_300	NODAL	NODAL	BMI	Female	proximal
16293_1	Growth_hormone_releasing_factor	GHRH	BMI	Female	rectal
16932_5	SULT_1E	SULT1E1	BMI	Female	proximal
16932_5	SULT_1E	SULT1E1	BMI	Female	rectal
17204_17	PNMT	PNMT	BMI	Female	distal
17204_17	PNMT	PNMT	BMI	Female	proximal
17474_106	YETS4	YEATS4	BMI	Female	proximal
17509_6	HPPD	HPD	BMI	Female	rectal
17694_32	PSME2	PSME2	BMI	Female	proximal
17785_11	RCL	RCL	BMI	Female	overall
17797_1	CUL1	CUL1	BMI	Female	proximal
17797_1	CUL1	CUL1	BMI	Female	rectal
17805_35	SPF30	SMNDC1	BMI	Female	distal
17850_42	KLF4	KLF4	BMI	Female	proximal
17850_42	KLF4	KLF4	BMI	Female	rectal
18170_46	P5CR1	PYCR1	BMI	Female	rectal
18177_49	ULA1	NAE1	BMI	Female	distal
18177_49	ULA1	NAE1	BMI	Female	rectal
18228_30	NOP16	NOP16	BMI	Female	distal
18348_89	HNRPD	HNRNPD	BMI	Female	distal
18389_11	IFNA1	IFNA1	BMI	Female	proximal
18395_5	ADPRH	ADPRH	BMI	Female	proximal
18398_1	AK1D1	AKR1D1	BMI	Female	distal
18398_1	AK1D1	AKR1D1	BMI	Female	rectal
18413_24	ARL4D	ARL4D	BMI	Female	overall
18876_77	CHST4	CHST4	BMI	Female	proximal
18878_15	GREM1	GREM1	BMI	Female	overall
18878_15	GREM1	GREM1	BMI	Female	colon
18878_15	GREM1	GREM1	BMI	Female	distal
18878_15	GREM1	GREM1	BMI	Female	proximal
18878_15	GREM1	GREM1	BMI	Female	rectal
18900_37	H_ras__WT_	HRAS	BMI	Female	colon
18904_23	KCC4	CAMK4	BMI	Female	proximal
18904_23	KCC4	CAMK4	BMI	Female	rectal
18910_45	LIN7A	LIN7A	BMI	Female	distal
18913_3	p34_protein_kinase	CDC2	BMI	Female	overall
18913_3	p34_protein_kinase	CDC2	BMI	Female	proximal
19123_6	IKBD	NFKBID	BMI	Female	rectal
19166_15	RS19	RPS19	BMI	Female	proximal
19170_25	DPOE3	POLE3	BMI	Female	overall
19170_25	DPOE3	POLE3	BMI	Female	colon
19170_25	DPOE3	POLE3	BMI	Female	rectal
19176_27	FA49B	FAM49B	BMI	Female	distal
19190_4	UB2L6	UBE2L6	BMI	Female	overall
19190_4	UB2L6	UBE2L6	BMI	Female	proximal
19195_85	RS5	RPS5	BMI	Female	proximal
19197_95	THIL	ACAT1	BMI	Female	colon
19197_95	THIL	ACAT1	BMI	Female	proximal
19215_7	NDRG1	NDRG1	BMI	Female	proximal
19225_11	BLNK	BLNK	BMI	Female	proximal
19243_2	PFD2	PFDN2	BMI	Female	proximal
19280_29	UB2D3	UBE2D3	BMI	Female	overall
19311_15	CRBS	CRYGS	BMI	Female	proximal
19347_37	Carbonic_Anhydrase_XII	CA12	BMI	Female	distal
19360_22	LRRT1	LRRTM1	BMI	Female	distal
19376_74	NNMT	NNMT	BMI	Female	overall
19376_74	NNMT	NNMT	BMI	Female	colon
19376_74	NNMT	NNMT	BMI	Female	proximal
19376_74	NNMT	NNMT	BMI	Female	rectal
19467_3	RBSK	RBKS	BMI	Female	proximal
19467_3	RBSK	RBKS	BMI	Female	rectal
19563_3	SEZ6L	SEZ6L	BMI	Female	proximal
2447_7	GIIE	PLA2G2E	BMI	Female	proximal
2614_28	Ephrin_A4	EFNA4	BMI	Female	proximal
2618_10	ERBB4	ERBB4	BMI	Female	proximal
2637_77	Macrophage_mannose_receptor	MRC1	BMI	Female	overall
2645_54	PKC_Z	PRKCZ	BMI	Female	distal
2732_58	NANOG	NANOG	BMI	Female	distal
2732_58	NANOG	NANOG	BMI	Female	proximal
2833_20	Kallikrein_4	KLK4	BMI	Female	distal
2968_61	TNFSF15	TNFSF15	BMI	Female	overall
2968_61	TNFSF15	TNFSF15	BMI	Female	distal
3040_59	MIP_1a	CCL3	BMI	Female	overall
3040_59	MIP_1a	CCL3	BMI	Female	proximal
3078_1	PlGF	PGF	BMI	Female	colon
3078_1	PlGF	PGF	BMI	Female	distal
3081_70	ULBP_1	ULBP1	BMI	Female	distal
3202_28	KREM2	KREMEN2	BMI	Female	proximal
3202_28	KREM2	KREMEN2	BMI	Female	rectal
3209_69	MEPE	MEPE	BMI	Female	distal
3356_50	Carbonic_anhydrase_VII	CA7	BMI	Female	distal
3374_49	HCK	HCK	BMI	Female	overall
3432_21	EPHA3	EPHA3	BMI	Female	proximal
3447_64	IL_8	CXCL8	BMI	Female	proximal
3461_58	PGCB	BCAN	BMI	Female	distal
3603_60	CLC7A	CLEC7A	BMI	Female	overall
3603_60	CLC7A	CLEC7A	BMI	Female	distal
3627_71	MMEL2	MMEL1	BMI	Female	proximal
3730_81	TNR4	TNFRSF4	BMI	Female	rectal
3864_5	RS7	RPS7	BMI	Female	proximal
3889_64	Lamin_B1	LMNB1	BMI	Female	proximal
4122_12	discoidin_domain_receptor_1	DDR1	BMI	Female	colon
4122_12	discoidin_domain_receptor_1	DDR1	BMI	Female	distal
4122_12	discoidin_domain_receptor_1	DDR1	BMI	Female	proximal
4144_13	MCP_4	CCL13	BMI	Female	distal
4163_5	Histone_H2A_z	H2AFZ	BMI	Female	overall
4261_55	paraoxonase_1	PON1	BMI	Female	overall
4261_55	paraoxonase_1	PON1	BMI	Female	rectal
4397_26	IFN_lambda_2	IFNL2	BMI	Female	distal
4560_34	LCK	LCK	BMI	Female	distal
4567_82	SH21A	SH2D1A	BMI	Female	overall
4708_3	17_beta_HSD_1	HSD17B1	BMI	Female	proximal
4717_55	IL_3	IL3	BMI	Female	proximal
4987_17	FCAR	FCAR	BMI	Female	distal
4995_16	HPG_	HPGD	BMI	Female	rectal
5006_71	MK13	MAPK13	BMI	Female	rectal
5031_10	SPTA2	SPTAN1	BMI	Female	proximal
5033_27	Tropomyosin_1_alpha_chain	TPM1	BMI	Female	overall
5035_7	TS	TYMS	BMI	Female	proximal
5098_79	KLRF1	KLRF1	BMI	Female	proximal
5117_14	ROBO3	ROBO3	BMI	Female	distal
5236_2	NR1D1	NR1D1	BMI	Female	distal
5339_49	calgranulin_B	S100A9	BMI	Female	rectal
5352_11	HVEM	TNFRSF14	BMI	Female	proximal
5355_69	LIGHT	TNFSF14	BMI	Female	proximal
5355_69	LIGHT	TNFSF14	BMI	Female	rectal
5484_63	RS3A	RPS3A	BMI	Female	proximal
5490_53	Testican_1	SPOCK1	BMI	Female	overall
5490_53	Testican_1	SPOCK1	BMI	Female	colon
5490_53	Testican_1	SPOCK1	BMI	Female	proximal
5534_49	TRAIL_R2	TNFRSF10B	BMI	Female	rectal
5599_88	PCYXL	PCYOX1L	BMI	Female	overall
5599_88	PCYXL	PCYOX1L	BMI	Female	colon
5610_32	CJ038	FAM171A1	BMI	Female	proximal
5611_56	D108B	DEFB108B	BMI	Female	colon
5611_56	D108B	DEFB108B	BMI	Female	distal
5611_56	D108B	DEFB108B	BMI	Female	proximal
5615_62	F172A	FAM172A	BMI	Female	proximal
5657_28	SIA4A	ST3GAL1	BMI	Female	colon
5657_28	SIA4A	ST3GAL1	BMI	Female	proximal
5679_16	HBD_3	DEFB103A	BMI	Female	colon
5679_16	HBD_3	DEFB103A	BMI	Female	proximal
5752_63	SUSD3	SUSD3	BMI	Female	distal
5764_4	GALT2	GALNT2	BMI	Female	proximal
5822_22	GDNF	GDNF	BMI	Female	proximal
