sequence_id	protein	gene	adiposity	group
8942_2	RM21	MRPL21	WHR	Sex-combined
9003_99	MARCO	MARCO	WHR	Sex-combined
9487_60	Growth_hormone_releasing_factor	GHRH	WHR	Sex-combined
10003_15	ZNF41	ZNF41	WHR	Sex-combined
10014_31	SLUG	SNAI2	WHR	Sex-combined
10036_201	ZHX3	ZHX3	WHR	Sex-combined
10041_3	HNF4A	HNF4A	WHR	Sex-combined
10049_112	TERF1	TERF1	WHR	Sex-combined
10064_12	RBBP9	RBBP9	WHR	Sex-combined
10078_5	BAG3	BAG3	WHR	Sex-combined
10085_25	STAR	STAR	WHR	Sex-combined
10086_39	CBS	CBS	WHR	Sex-combined
10087_10	Alpha_crystallin_A_chain	CRYAA	WHR	Sex-combined
10435_2	ASPG	AGA	WHR	Sex-combined
10451_11	NUCB1	NUCB1	WHR	Sex-combined
10462_14	INSL5	INSL5	WHR	Sex-combined
10464_6	ANTR1	ANTXR1	WHR	Sex-combined
10521_10	MXRA8	MXRA8	WHR	Sex-combined
10557_6	TEX29	TEX29	WHR	Sex-combined
10565_19	SLIK3	SLITRK3	WHR	Sex-combined
10618_190	megalin	LRP2	WHR	Sex-combined
10624_45	ISK13	SPINK13	WHR	Sex-combined
10638_1	TINF2	TINF2	WHR	Sex-combined
10643_16	NOE3	OLFM3	WHR	Sex-combined
10666_7	GNPTG	GNPTG	WHR	Sex-combined
10713_151	CLM7	CD300LB	WHR	Sex-combined
10731_10	HS3S5	HS3ST5	WHR	Sex-combined
10754_113	Prokineticin_2	PROK2	WHR	Sex-combined
10760_107	GRIA4	GRIA4	WHR	Sex-combined
10781_19	CLC4G	CLEC4G	WHR	Sex-combined
10866_60	P4R3A	SMEK1	WHR	Sex-combined
10892_8	OSMR	OSMR	WHR	Sex-combined
10990_21	LRRK2	LRRK2	WHR	Sex-combined
11107_25	TEN3	TENM3	WHR	Sex-combined
11117_2	SPT20	SPATA20	WHR	Sex-combined
11126_102	TRIO	TRIO	WHR	Sex-combined
11129_66	BMP15	BMP15	WHR	Sex-combined
11149_3	TLR1	TLR1	WHR	Sex-combined
11158_40	BICR1	CCDC64	WHR	Sex-combined
11160_56	RN122	RNF122	WHR	Sex-combined
11175_45	PCAT2	LPCAT2	WHR	Sex-combined
11190_129	YMEL1	YME1L1	WHR	Sex-combined
11192_168	TINAL	TINAGL1	WHR	Sex-combined
11214_40	DNJB9	DNAJB9	WHR	Sex-combined
11218_84	TPMT	TPMT	WHR	Sex-combined
11220_53	CJ105	C10orf105	WHR	Sex-combined
11239_49	TMPS6	TMPRSS6	WHR	Sex-combined
11241_8	ARLY	ASL	WHR	Sex-combined
11254_13	PPN	PAPLN	WHR	Sex-combined
