sequence_id	protein	gene	adiposity	group
8942_2	RM21	MRPL21	BMI	Sex-combined
9003_99	MARCO	MARCO	BMI	Sex-combined
9487_60	Growth_hormone_releasing_factor	GHRH	BMI	Sex-combined
10003_15	ZNF41	ZNF41	BMI	Sex-combined
10006_25	ELK1	ELK1	BMI	Sex-combined
10011_65	OCRL	OCRL	BMI	Sex-combined
10012_5	SPDEF	SPDEF	BMI	Sex-combined
10014_31	SLUG	SNAI2	BMI	Sex-combined
10023_32	VDR	VDR	BMI	Sex-combined
10024_44	HOGA1	HOGA1	BMI	Sex-combined
10035_6	DUS4	DUSP4	BMI	Sex-combined
10036_201	ZHX3	ZHX3	BMI	Sex-combined
10041_3	HNF4A	HNF4A	BMI	Sex-combined
10044_12	WN10A	WNT10A	BMI	Sex-combined
10047_12	NCF_2	NCF2	BMI	Sex-combined
10048_7	PEBB	CBFB	BMI	Sex-combined
10049_112	TERF1	TERF1	BMI	Sex-combined
10054_3	GAN	GAN	BMI	Sex-combined
10063_10	FANCL	FANCL	BMI	Sex-combined
10064_12	RBBP9	RBBP9	BMI	Sex-combined
10078_5	BAG3	BAG3	BMI	Sex-combined
10081_17	SATB2	SATB2	BMI	Sex-combined
10342_55	PIAS4	PIAS4	BMI	Sex-combined
10344_334	IL_10_Ra	IL10RA	BMI	Sex-combined
10361_25	OAS1	OAS1	BMI	Sex-combined
10362_35	c_Myc	MYC	BMI	Sex-combined
10390_21	ZNRF3	ZNRF3	BMI	Sex-combined
10396_6	Mcl_1	MCL1	BMI	Sex-combined
10424_31	NPDC1	NPDC1	BMI	Sex-combined
10425_3	B4GT5	B4GALT5	BMI	Sex-combined
10426_21	GOSR2	GOSR2	BMI	Sex-combined
10432_3	K1644	KIAA1644	BMI	Sex-combined
10435_2	ASPG	AGA	BMI	Sex-combined
10438_19	CSF2R	CSF2RA	BMI	Sex-combined
10440_26	ACAM	CLMP	BMI	Sex-combined
10442_1	TM190	TMEM190	BMI	Sex-combined
10445_20	ApoM	APOM	BMI	Sex-combined
10449_31	TMM46	SHISA2	BMI	Sex-combined
10451_11	NUCB1	NUCB1	BMI	Sex-combined
10462_14	INSL5	INSL5	BMI	Sex-combined
10464_6	ANTR1	ANTXR1	BMI	Sex-combined
