sequence_id	protein	gene	adiposity	group	outcome
10362_35	c_Myc	MYC	BMI	Sex-combined	distal
10462_14	INSL5	INSL5	BMI	Sex-combined	overall
10462_14	INSL5	INSL5	BMI	Sex-combined	rectal
10490_3	RPN1	RPN1	BMI	Sex-combined	overall
10490_3	RPN1	RPN1	BMI	Sex-combined	proximal
10530_8	PSB6	PSMB6	BMI	Sex-combined	overall
10562_42	NETO2	NETO2	BMI	Sex-combined	overall
10563_13	LYSM3	LYSMD3	BMI	Sex-combined	distal
10563_13	LYSM3	LYSMD3	BMI	Sex-combined	rectal
11126_102	TRIO	TRIO	BMI	Sex-combined	colon
11144_10	DB116	DEFB116	BMI	Sex-combined	overall
11146_4	TBX22	TBX22	BMI	Sex-combined	distal
11146_4	TBX22	TBX22	BMI	Sex-combined	rectal
11149_3	TLR1	TLR1	BMI	Sex-combined	overall
11168_3	MEG10	MEGF10	BMI	Sex-combined	distal
11168_3	MEG10	MEGF10	BMI	Sex-combined	rectal
11284_24	LAIR1	LAIR1	BMI	Sex-combined	distal
11284_24	LAIR1	LAIR1	BMI	Sex-combined	rectal
11289_31	KC1D	CSNK1D	BMI	Sex-combined	rectal
11330_15	CSK2B	CSNK2B	BMI	Sex-combined	overall
11330_15	CSK2B	CSNK2B	BMI	Sex-combined	colon
11330_15	CSK2B	CSNK2B	BMI	Sex-combined	rectal
11348_132	P4HA2	P4HA2	BMI	Sex-combined	distal
11486_26	ZN174	ZNF174	BMI	Sex-combined	distal
11567_23	ZNF10	ZNF10	BMI	Sex-combined	overall
11567_23	ZNF10	ZNF10	BMI	Sex-combined	colon
11567_23	ZNF10	ZNF10	BMI	Sex-combined	proximal
11567_23	ZNF10	ZNF10	BMI	Sex-combined	rectal
11573_3	SRSF6	SRSF6	BMI	Sex-combined	proximal
11591_43	PRC1	PRC1	BMI	Sex-combined	distal
11591_43	PRC1	PRC1	BMI	Sex-combined	rectal
11593_21	MIG	CXCL9	BMI	Sex-combined	distal
11593_21	MIG	CXCL9	BMI	Sex-combined	rectal
11617_1	LFA_1_alpha_L_chain	ITGAL	BMI	Sex-combined	overall
11617_1	LFA_1_alpha_L_chain	ITGAL	BMI	Sex-combined	proximal
11667_29	TENC1	TNS2	BMI	Sex-combined	colon
11671_19	BRPF1	BRPF1	BMI	Sex-combined	overall
12577_100	FLAP_endonuclease_1	FEN1	BMI	Sex-combined	colon
12647_52	SETD2	SETD2	BMI	Sex-combined	overall
12647_52	SETD2	SETD2	BMI	Sex-combined	distal
12661_44	GBRL1	GABARAPL1	BMI	Sex-combined	distal
12661_44	GBRL1	GABARAPL1	BMI	Sex-combined	proximal
12661_44	GBRL1	GABARAPL1	BMI	Sex-combined	rectal
12684_5	ADSV	SCIN	BMI	Sex-combined	rectal
12743_18	BAG5	BAG5	BMI	Sex-combined	colon
12743_18	BAG5	BAG5	BMI	Sex-combined	proximal
12750_9	LFA_1_beta_2	ITGB2	BMI	Sex-combined	overall
12750_9	LFA_1_beta_2	ITGB2	BMI	Sex-combined	distal
12795_2	ZN566	ZNF566	BMI	Sex-combined	distal
12795_2	ZN566	ZNF566	BMI	Sex-combined	rectal
12842_43	STX10	STX10	BMI	Sex-combined	proximal
12867_40	DYLT3	DYNLT3	BMI	Sex-combined	proximal
12892_10	SYTL1	SYTL1	BMI	Sex-combined	overall
12904_180	cubilin	CUBN	BMI	Sex-combined	rectal
12940_35	AL3B1	ALDH3B1	BMI	Sex-combined	rectal
13027_20	CBX7	CBX7	BMI	Sex-combined	rectal
13130_150	HXK2	HK2	BMI	Sex-combined	overall
13436_54	MAZ	MAZ	BMI	Sex-combined	colon
13436_54	MAZ	MAZ	BMI	Sex-combined	rectal
13468_5	NEUL4	NEURL4	BMI	Sex-combined	proximal
13481_24	TCEA2	TCEA2	BMI	Sex-combined	proximal
13492_44	HSPA9B	HSPA9	BMI	Sex-combined	proximal
13509_5	SCAM5	SCAMP5	BMI	Sex-combined	overall
13530_5	UR2R	UTS2R	BMI	Sex-combined	overall
13532_25	NEPR1	CNEP1R1	BMI	Sex-combined	distal
13532_25	NEPR1	CNEP1R1	BMI	Sex-combined	rectal
13561_5	5HT6R	HTR6	BMI	Sex-combined	overall
13561_5	5HT6R	HTR6	BMI	Sex-combined	colon
13561_5	5HT6R	HTR6	BMI	Sex-combined	proximal
13587_10	RGAP1	RACGAP1	BMI	Sex-combined	rectal
13729_26	SFXN5	SFXN5	BMI	Sex-combined	overall
13950_9	C43BP	COL4A3BP	BMI	Sex-combined	distal
13992_12	NSF	NSF	BMI	Sex-combined	colon
13992_12	NSF	NSF	BMI	Sex-combined	distal
14115_34	Adrenomedullin	ADM	BMI	Sex-combined	overall
14115_34	Adrenomedullin	ADM	BMI	Sex-combined	proximal
14615_46	4_KRA24	KRTAP2	BMI	Sex-combined	rectal
15321_8	CPLX2	CPLX2	BMI	Sex-combined	distal
15372_43	BRD2	BRD2	BMI	Sex-combined	distal
15372_43	BRD2	BRD2	BMI	Sex-combined	rectal
15386_7	FABPA	FABP4	BMI	Sex-combined	rectal
15441_6	SAP3	GM2A	BMI	Sex-combined	distal
15567_2	CD3_zeta	CD247	BMI	Sex-combined	rectal
15574_37	Cyclin_A	CCNA2	BMI	Sex-combined	distal
15591_28	Glutathione_peroxidase	GPX1	BMI	Sex-combined	distal
15666_21	BMP_2	BMP2	BMI	Sex-combined	rectal
16536_3	HMGA1	HMGA1	BMI	Sex-combined	proximal
17163_117	Annexin_III	ANXA3	BMI	Sex-combined	overall
17329_2	BDH2	BDH2	BMI	Sex-combined	distal
17396_23	ADH1A	ADH1A	BMI	Sex-combined	overall
17396_23	ADH1A	ADH1A	BMI	Sex-combined	colon
17441_4	Alkaline_phosphatase__intestine	ALPI	BMI	Sex-combined	colon
17462_19	IRF1	IRF1	BMI	Sex-combined	overall
17462_19	IRF1	IRF1	BMI	Sex-combined	distal
17706_4	PPR1A	PPP1R1A	BMI	Sex-combined	proximal
