sequence_id	protein	gene	adiposity	group
8942_2	RM21	MRPL21	WHR	Female
9003_99	MARCO	MARCO	WHR	Female
10014_31	SLUG	SNAI2	WHR	Female
10041_3	HNF4A	HNF4A	WHR	Female
10049_112	TERF1	TERF1	WHR	Female
10085_25	STAR	STAR	WHR	Female
10086_39	CBS	CBS	WHR	Female
10087_10	Alpha_crystallin_A_chain	CRYAA	WHR	Female
10435_2	ASPG	AGA	WHR	Female
10451_11	NUCB1	NUCB1	WHR	Female
10462_14	INSL5	INSL5	WHR	Female
10464_6	ANTR1	ANTXR1	WHR	Female
10521_10	MXRA8	MXRA8	WHR	Female
10531_18	RASN	NRAS	WHR	Female
10557_6	TEX29	TEX29	WHR	Female
10565_19	SLIK3	SLITRK3	WHR	Female
10624_45	ISK13	SPINK13	WHR	Female
10638_1	TINF2	TINF2	WHR	Female
10666_7	GNPTG	GNPTG	WHR	Female
10713_151	CLM7	CD300LB	WHR	Female
10731_10	HS3S5	HS3ST5	WHR	Female
10754_113	Prokineticin_2	PROK2	WHR	Female
10781_19	CLC4G	CLEC4G	WHR	Female
10866_60	P4R3A	SMEK1	WHR	Female
10892_8	OSMR	OSMR	WHR	Female
10949_59	RLA2	RPLP2	WHR	Female
10990_21	LRRK2	LRRK2	WHR	Female
11107_25	TEN3	TENM3	WHR	Female
11126_102	TRIO	TRIO	WHR	Female
11146_4	TBX22	TBX22	WHR	Female
11149_3	TLR1	TLR1	WHR	Female
11160_56	RN122	RNF122	WHR	Female
11192_168	TINAL	TINAGL1	WHR	Female
11214_40	DNJB9	DNAJB9	WHR	Female
11218_84	TPMT	TPMT	WHR	Female
11220_53	CJ105	C10orf105	WHR	Female
11239_49	TMPS6	TMPRSS6	WHR	Female
11241_8	ARLY	ASL	WHR	Female
11258_41	MAdCAM_1	MADCAM1	WHR	Female
11262_39	TRABD	TRABD	WHR	Female
11263_57	CASQ1	CASQ1	WHR	Female
11265_8	Retinal_dehydrogenase_1	ALDH1A1	WHR	Female
11279_42	GABR1	GABBR1	WHR	Female
11284_24	LAIR1	LAIR1	WHR	Female
11286_78	SELS	VIMP	WHR	Female
11313_100	PHS	PCBD1	WHR	Female
11315_148	PPM1D	PPM1D	WHR	Female
11320_29	CHFR	CHFR	WHR	Female
11328_9	USB1	USB1	WHR	Female
11330_15	CSK2B	CSNK2B	WHR	Female
11334_7	LIRB3	LILRB3	WHR	Female
11348_132	P4HA2	P4HA2	WHR	Female
11356_19	DGC14	DGCR14	WHR	Female
11424_4	FAAA	FAH	WHR	Female
11425_31	RUFY1	RUFY1	WHR	Female
11440_58	SOCS_3	SOCS3	WHR	Female
11441_11	PYGL	PYGL	WHR	Female
11457_53	GALE	GALE	WHR	Female
11530_37	HEM3	HMBS	WHR	Female
11534_6	LRIT3	LRIT3	WHR	Female
11536_9	MYSM1	MYSM1	WHR	Female
11547_84	MUSK	MUSK	WHR	Female
11556_19	ARFG1	ARFGAP1	WHR	Female
11567_23	ZNF10	ZNF10	WHR	Female
11571_75	NKG2E	KLRC3	WHR	Female
