sequence_id	protein	gene	adiposity	group
8942_2	RM21	MRPL21	BMI	Female
9003_99	MARCO	MARCO	BMI	Female
9487_60	Growth_hormone_releasing_factor	GHRH	BMI	Female
10006_25	ELK1	ELK1	BMI	Female
10011_65	OCRL	OCRL	BMI	Female
10012_5	SPDEF	SPDEF	BMI	Female
10014_31	SLUG	SNAI2	BMI	Female
10015_119	KCAB2	KCNAB2	BMI	Female
10023_32	VDR	VDR	BMI	Female
10024_44	HOGA1	HOGA1	BMI	Female
10035_6	DUS4	DUSP4	BMI	Female
10036_201	ZHX3	ZHX3	BMI	Female
10037_98	SIG12	SIGLEC12	BMI	Female
10041_3	HNF4A	HNF4A	BMI	Female
10043_31	BRD4	BRD4	BMI	Female
10044_12	WN10A	WNT10A	BMI	Female
10047_12	NCF_2	NCF2	BMI	Female
10048_7	PEBB	CBFB	BMI	Female
10049_112	TERF1	TERF1	BMI	Female
10054_3	GAN	GAN	BMI	Female
10058_1	RD23A	RAD23A	BMI	Female
10063_10	FANCL	FANCL	BMI	Female
10064_12	RBBP9	RBBP9	BMI	Female
10073_22	TYDP1	TDP1	BMI	Female
10078_5	BAG3	BAG3	BMI	Female
10080_9	EI2BA	EIF2B1	BMI	Female
10081_17	SATB2	SATB2	BMI	Female
10085_25	STAR	STAR	BMI	Female
10086_39	CBS	CBS	BMI	Female
10342_55	PIAS4	PIAS4	BMI	Female
10344_334	IL_10_Ra	IL10RA	BMI	Female
10356_21	c_Jun	JUN	BMI	Female
10361_25	OAS1	OAS1	BMI	Female
10362_35	c_Myc	MYC	BMI	Female
10390_21	ZNRF3	ZNRF3	BMI	Female
10396_6	Mcl_1	MCL1	BMI	Female
10424_31	NPDC1	NPDC1	BMI	Female
10425_3	B4GT5	B4GALT5	BMI	Female
10426_21	GOSR2	GOSR2	BMI	Female
10432_3	K1644	KIAA1644	BMI	Female
10435_2	ASPG	AGA	BMI	Female
10438_19	CSF2R	CSF2RA	BMI	Female
10440_26	ACAM	CLMP	BMI	Female
10449_31	TMM46	SHISA2	BMI	Female
10451_11	NUCB1	NUCB1	BMI	Female
10453_7	CEA20	CEACAM20	BMI	Female
10462_14	INSL5	INSL5	BMI	Female
10464_6	ANTR1	ANTXR1	BMI	Female
10490_3	RPN1	RPN1	BMI	Female
10510_62	SCIMP	SCIMP	BMI	Female
10512_13	IL3RB	CSF2RB	BMI	Female
10521_10	MXRA8	MXRA8	BMI	Female
10527_22	DHX9	DHX9	BMI	Female
10531_18	RASN	NRAS	BMI	Female
10534_40	PARP	PARP1	BMI	Female
10539_30	C99L2	CD99L2	BMI	Female
10550_37	BMP_RIB	BMPR1B	BMI	Female
10557_6	TEX29	TEX29	BMI	Female
10561_5	PGRP_I_alpha	PGLYRP3	BMI	Female
10562_42	NETO2	NETO2	BMI	Female
10563_13	LYSM3	LYSMD3	BMI	Female
10565_19	SLIK3	SLITRK3	BMI	Female
10569_28	Urinary_protein_1	SCGB1A1	BMI	Female
10572_65	CST8	CST8	BMI	Female
10575_31	PUF60	PUF60	BMI	Female
10584_7	NDUS4	NDUFS4	BMI	Female
10612_18	PLOD3	PLOD3	BMI	Female
10616_67	PDXL2	PODXL2	BMI	Female
10618_190	megalin	LRP2	BMI	Female
10621_26	PRR16	PRR16	BMI	Female
10623_19	MUC1	MUC1	BMI	Female
10624_45	ISK13	SPINK13	BMI	Female
10638_1	TINF2	TINF2	BMI	Female
10643_16	NOE3	OLFM3	BMI	Female
10647_18	ASCC1	ASCC1	BMI	Female
10666_7	GNPTG	GNPTG	BMI	Female
10667_78	CA185	C1orf185	BMI	Female
10675_223	TMX2	TMX2	BMI	Female
10695_12	WF10B	WFDC10B	BMI	Female
10702_1	COSA1	COL28A1	BMI	Female
10703_203	SDS3	SUDS3	BMI	Female
10705_14	SIA7C	ST6GALNAC3	BMI	Female
10710_23	ZPBP2	ZPBP2	BMI	Female
10713_151	CLM7	CD300LB	BMI	Female
10731_10	HS3S5	HS3ST5	BMI	Female
10737_96	Serpin_B1	SERPINB1	BMI	Female
10754_113	Prokineticin_2	PROK2	BMI	Female
10760_107	GRIA4	GRIA4	BMI	Female
10761_5	TMED2	TMED2	BMI	Female
10762_2	KLRG2	KLRG2	BMI	Female
10767_52	GPR64	GPR64	BMI	Female
10772_21	CGAT2	CSGALNACT2	BMI	Female
10781_19	CLC4G	CLEC4G	BMI	Female
10798_4	CLM2	CD300E	BMI	Female
10815_2	HABP4	HABP4	BMI	Female
10816_150	PILRA_isoform_FDF03_M14	PILRA	BMI	Female
10830_5	K0494	EFCAB14	BMI	Female
10842_7	GCNT4	GCNT4	BMI	Female
10847_1	SIG15	SIGLEC15	BMI	Female
10848_137	BTNL3	BTNL3	BMI	Female
10866_60	P4R3A	SMEK1	BMI	Female
10882_12	Desmocollin_1	DSC1	BMI	Female
10885_36	CF089	C6orf89	BMI	Female
10890_135	LCTL	LCTL	BMI	Female
10892_8	OSMR	OSMR	BMI	Female
10900_272	STMN2	STMN2	BMI	Female
10907_116	NTRI	NTM	BMI	Female
10910_6	CEAM4	CEACAM4	BMI	Female
10917_40	GBGT2	GNGT2	BMI	Female
10933_107	CABP8	CALN1	BMI	Female
10938_13	sLFA_3	CD58	BMI	Female
10939_16	PKHA4	PLEKHA4	BMI	Female
10940_25	SRCA	SRL	BMI	Female
10949_59	RLA2	RPLP2	BMI	Female
10990_21	LRRK2	LRRK2	BMI	Female
11071_1	IL_5	IL5	BMI	Female
11094_104	LPPL	CLC	BMI	Female
11098_1	PDXK	PDXK	BMI	Female
11107_25	TEN3	TENM3	BMI	Female
11112_18	KISHA	TMEM167A	BMI	Female
11116_16	CK087	C11orf87	BMI	Female
11117_2	SPT20	SPATA20	BMI	Female
11120_49	NAT14	NAT14	BMI	Female
11126_102	TRIO	TRIO	BMI	Female
11128_29	T132C	TMEM132C	BMI	Female
11129_66	BMP15	BMP15	BMI	Female
11137_43	IL3RB	CSF2RB	BMI	Female
11138_16	RUNX3	RUNX3	BMI	Female
11143_32	NOE3	OLFM3	BMI	Female
11144_10	DB116	DEFB116	BMI	Female
11145_72	K154L	KIAA1549L	BMI	Female
11146_4	TBX22	TBX22	BMI	Female
11149_3	TLR1	TLR1	BMI	Female
11155_16	CO6A5	COL6A5	BMI	Female
11160_56	RN122	RNF122	BMI	Female
11162_37	EQTN	EQTN	BMI	Female
11163_7	F162B	FAM162B	BMI	Female
11164_7	TEN2	TENM2	BMI	Female
11167_6	MTMR1	MTMR1	BMI	Female
11168_3	MEG10	MEGF10	BMI	Female
11173_29	MILR1	MILR1	BMI	Female
11174_8	THS7A	THSD7A	BMI	Female
11175_45	PCAT2	LPCAT2	BMI	Female
11185_145	GCH1	GCH1	BMI	Female
11190_129	YMEL1	YME1L1	BMI	Female
11192_168	TINAL	TINAGL1	BMI	Female
11196_31	Collagen_alpha_3_VI_	COL6A3	BMI	Female
11198_37	CR3L1	CREB3L1	BMI	Female
11201_19	TRUA	PUS1	BMI	Female
11202_70	TBX5	TBX5	BMI	Female
11204_80	CXAR	CXADR	BMI	Female
11205_10	Integrin_beta_7	ITGB7	BMI	Female
11208_15	NAGPA	NAGPA	BMI	Female
11212_7	TXND5	TXNDC5	BMI	Female
11214_40	DNJB9	DNAJB9	BMI	Female
11218_84	TPMT	TPMT	BMI	Female
11220_53	CJ105	C10orf105	BMI	Female
