sequence_id	protein	gene	adiposity	group
12751_26	ZHX1	ZHX1	BMI	Male
12758_47	GRID2	GRID2	BMI	Male
12759_47	DRBP76	ILF3	BMI	Male
12771_19	ZN180	ZNF180	BMI	Male
12775_6	HMGB3	HMGB3	BMI	Male
12795_2	ZN566	ZNF566	BMI	Male
12801_33	IRF2	IRF2	BMI	Male
12803_9	ZN329	ZNF329	BMI	Male
12807_89	RHG30	ARHGAP30	BMI	Male
12811_55	ZN415	ZNF415	BMI	Male
12817_1	GEM	GEM	BMI	Male
12830_4	SAP18	SAP18	BMI	Male
12844_10	BAG4	BAG4	BMI	Male
12848_9	ARHG2	ARHGEF2	BMI	Male
12860_7	cAMP_regulated_phosphoprotein_21	ARPP21	BMI	Male
12875_28	UBTD2	UBTD2	BMI	Male
12880_1	SV2A	SV2A	BMI	Male
12882_7	PAR11	PARP11	BMI	Male
12892_10	SYTL1	SYTL1	BMI	Male
12894_3	PAXI1	PAXIP1	BMI	Male
12895_28	DGKB	DGKB	BMI	Male
12904_180	cubilin	CUBN	BMI	Male
12934_1	HERC5	HERC5	BMI	Male
12940_35	AL3B1	ALDH3B1	BMI	Male
12960_9	HXK4	GCK	BMI	Male
12970_35	STAU2	STAU2	BMI	Male
12976_49	Vinexin_b	SORBS3	BMI	Male
12987_12	SRSF7	SRSF7	BMI	Male
12988_49	EWS	EWSR1	BMI	Male
12990_39	MAP3K3	MAP3K3	BMI	Male
13013_41	PRKN2	PARK2	BMI	Male
13025_4	FRS2	FRS2	BMI	Male
13027_20	CBX7	CBX7	BMI	Male
13043_157	ATAD2	ATAD2	BMI	Male
13053_6	S6A14	SLC6A14	BMI	Male
13059_33	RIFK	RFK	BMI	Male
13085_18	GLP1R	GLP1R	BMI	Male
13093_6	SECTM1	SECTM1	BMI	Male
13130_150	HXK2	HK2	BMI	Male
13229_20	MDM4	MDM4	BMI	Male
13236_25	WNT3A	WNT3A	BMI	Male
13397_88	HBD_2	DEFB4A	BMI	Male
13416_8	T132D	TMEM132D	BMI	Male
13422_66	ENOX2	ENOX2	BMI	Male
13430_50	UT1	SLC14A1	BMI	Male
13431_74	F159A	FAM159A	BMI	Male
13436_54	MAZ	MAZ	BMI	Male
13441_30	DIXC1	DIXDC1	BMI	Male
13451_2	FNDC4	FNDC4	BMI	Male
13452_113	SIM13	SMIM13	BMI	Male
13457_33	ELF5	ELF5	BMI	Male
13460_4	CHAD	CHAD	BMI	Male
13463_1	PXDN	PXDN	BMI	Male
13470_43	PTH1R	PTH1R	BMI	Male
13479_8	F1712	FAM171A2	BMI	Male
13481_24	TCEA2	TCEA2	BMI	Male
