exposure	direction_group	outcome	group
AARSD1	negative	rectal	Sex-combined
ABHD14B	negative	rectal	Sex-combined
ACAN	negative	rectal	Sex-combined
ACE2	negative	rectal	Sex-combined
ACP5	positive	rectal	Sex-combined
ACP6	NA	rectal	Sex-combined
ACVRL1	negative	rectal	Sex-combined
ADAM15	positive	rectal	Sex-combined
ADAMTS13	negative	rectal	Sex-combined
ADAMTS8	positive	rectal	Sex-combined
ADGRG1	negative	rectal	Sex-combined
AFP	positive	rectal	Sex-combined
AGR3	NA	rectal	Sex-combined
AGRP	positive	rectal	Sex-combined
AKR1B1	positive	rectal	Sex-combined
AKT1S1	NA	rectal	Sex-combined
ALCAM	positive	rectal	Sex-combined
AMBP	negative	rectal	Sex-combined
ANG	negative	rectal	Sex-combined
ANGPT1	negative	rectal	Sex-combined
ANGPTL1	negative	rectal	Sex-combined
ANGPTL2	negative	rectal	Sex-combined
ANGPTL7	negative	rectal	Sex-combined
ANPEP	negative	rectal	Sex-combined
ANXA11	NA	rectal	Sex-combined
ANXA3	positive	rectal	Sex-combined
ANXA4	NA	rectal	Sex-combined
AOC3	negative	rectal	Sex-combined
APLP1	positive	rectal	Sex-combined
APOM	negative	rectal	Sex-combined
APP	negative	rectal	Sex-combined
ARG1	negative	rectal	Sex-combined
ARHGAP1	NA	rectal	Sex-combined
ARHGAP25	NA	rectal	Sex-combined
ARSA	negative	rectal	Sex-combined
ART3	negative	rectal	Sex-combined
ASAH2	negative	rectal	Sex-combined
ASGR1	negative	rectal	Sex-combined
ATG4A	negative	rectal	Sex-combined
ATP5IF1	positive	rectal	Sex-combined
ATXN10	negative	rectal	Sex-combined
AXL	negative	rectal	Sex-combined
B4GAT1	negative	rectal	Sex-combined
BACH1	NA	rectal	Sex-combined
BAG3	negative	rectal	Sex-combined
BANK1	NA	rectal	Sex-combined
BAX	NA	rectal	Sex-combined
BCAN	negative	rectal	Sex-combined
BGN	positive	rectal	Sex-combined
BID	NA	rectal	Sex-combined
BIN2	NA	rectal	Sex-combined
BLMH	negative	rectal	Sex-combined
BLVRB	NA	rectal	Sex-combined
BMP6	negative	rectal	Sex-combined
BOC	positive	rectal	Sex-combined
BRK1	positive	rectal	Sex-combined
BSG	negative	rectal	Sex-combined
BST1	negative	rectal	Sex-combined
BST2	negative	rectal	Sex-combined
BTC	negative	rectal	Sex-combined
BTN2A1	positive	rectal	Sex-combined
C1QTNF1	positive	rectal	Sex-combined
C2	NA	rectal	Sex-combined
C4BPB	negative	rectal	Sex-combined
CA1	negative	rectal	Sex-combined
CA11	NA	rectal	Sex-combined
CA13	negative	rectal	Sex-combined
CA14	NA	rectal	Sex-combined
CA2	NA	rectal	Sex-combined
CA4	negative	rectal	Sex-combined
CA5A	negative	rectal	Sex-combined
CALB1	negative	rectal	Sex-combined
CALCOCO1	negative	rectal	Sex-combined
CAMKK1	negative	rectal	Sex-combined
CAPG	NA	rectal	Sex-combined
CASP10	positive	rectal	Sex-combined
CASP2	NA	rectal	Sex-combined
CASP3	NA	rectal	Sex-combined
CASP8	negative	rectal	Sex-combined
CBLIF	positive	rectal	Sex-combined
CBLN4	positive	rectal	Sex-combined
CC2D1A	NA	rectal	Sex-combined
CCDC80	negative	rectal	Sex-combined
CCL11	negative	rectal	Sex-combined
CCL13	negative	rectal	Sex-combined
CCL15	negative	rectal	Sex-combined
CCL16	positive	rectal	Sex-combined
CCL18	negative	rectal	Sex-combined
CCL24	negative	rectal	Sex-combined
CCL25	negative	rectal	Sex-combined
CCL26	negative	rectal	Sex-combined
CCL28	negative	rectal	Sex-combined
CCL3	negative	rectal	Sex-combined
CCL5	negative	rectal	Sex-combined
CCL8	negative	rectal	Sex-combined
CCN1	negative	rectal	Sex-combined
CCN4	positive	rectal	Sex-combined
CD14	negative	rectal	Sex-combined
CD163	negative	rectal	Sex-combined
CD177	negative	rectal	Sex-combined
CD1C	negative	rectal	Sex-combined
CD207	negative	rectal	Sex-combined
CD209	positive	rectal	Sex-combined
CD22	positive	rectal	Sex-combined
CD274	negative	rectal	Sex-combined
CD28	negative	rectal	Sex-combined
CD300C	positive	rectal	Sex-combined
CD300E	negative	rectal	Sex-combined
CD300LG	positive	rectal	Sex-combined
CD34	negative	rectal	Sex-combined
CD38	NA	rectal	Sex-combined
CD40LG	negative	rectal	Sex-combined
CD5	negative	rectal	Sex-combined
CD55	negative	rectal	Sex-combined
CD63	negative	rectal	Sex-combined
CD69	negative	rectal	Sex-combined
CD99L2	negative	rectal	Sex-combined
CDC27	NA	rectal	Sex-combined
CDC37	NA	rectal	Sex-combined
CDCP1	negative	rectal	Sex-combined
CDH1	negative	rectal	Sex-combined
CDH15	NA	rectal	Sex-combined
CDH17	negative	rectal	Sex-combined
CDHR1	positive	rectal	Sex-combined
CDKN1A	negative	rectal	Sex-combined
CDKN2D	positive	rectal	Sex-combined
CDON	negative	rectal	Sex-combined
CDSN	negative	rectal	Sex-combined
CEACAM21	NA	rectal	Sex-combined
CEACAM3	NA	rectal	Sex-combined
CERT	positive	rectal	Sex-combined
CES1	negative	rectal	Sex-combined
CES2	NA	rectal	Sex-combined
CES3	negative	rectal	Sex-combined
CETN2	positive	rectal	Sex-combined
CGREF1	negative	rectal	Sex-combined
CHAC2	NA	rectal	Sex-combined
CHGB	positive	rectal	Sex-combined
CHI3L1	negative	rectal	Sex-combined
CHIT1	negative	rectal	Sex-combined
CHMP1A	negative	rectal	Sex-combined
CHRDL1	negative	rectal	Sex-combined
CHRDL2	negative	rectal	Sex-combined
CKAP4	negative	rectal	Sex-combined
CKMT1A_CKMT1B	negative	rectal	Sex-combined
CLEC10A	positive	rectal	Sex-combined
CLEC1A	negative	rectal	Sex-combined
CLEC1B	negative	rectal	Sex-combined
CLEC5A	positive	rectal	Sex-combined
CLIP2	NA	rectal	Sex-combined
CLSTN2	positive	rectal	Sex-combined
CLUL1	negative	rectal	Sex-combined
CNPY4	NA	rectal	Sex-combined
CNST	negative	rectal	Sex-combined
CNTN2	positive	rectal	Sex-combined
CNTN3	negative	rectal	Sex-combined
CNTN5	negative	rectal	Sex-combined
CNTNAP2	negative	rectal	Sex-combined
COL18A1	positive	rectal	Sex-combined
COL9A1	negative	rectal	Sex-combined
COLEC12	negative	rectal	Sex-combined
COMP	negative	rectal	Sex-combined
COMT	NA	rectal	Sex-combined
CORO1A	positive	rectal	Sex-combined
COX5B	negative	rectal	Sex-combined
CPA2	negative	rectal	Sex-combined
CPB1	positive	rectal	Sex-combined
CPM	positive	rectal	Sex-combined
CPVL	positive	rectal	Sex-combined
CPXM1	negative	rectal	Sex-combined
CRADD	negative	rectal	Sex-combined
CREG1	negative	rectal	Sex-combined
CRELD2	positive	rectal	Sex-combined
CRHBP	negative	rectal	Sex-combined
CRIM1	negative	rectal	Sex-combined
CRIP2	negative	rectal	Sex-combined
CRISP2	positive	rectal	Sex-combined
CRNN	positive	rectal	Sex-combined
CRTAC1	NA	rectal	Sex-combined
CST5	positive	rectal	Sex-combined
CST6	negative	rectal	Sex-combined
CTF1	NA	rectal	Sex-combined
CTRB1	positive	rectal	Sex-combined
CTSB	positive	rectal	Sex-combined
CTSC	positive	rectal	Sex-combined
CTSD	positive	rectal	Sex-combined
CTSL	negative	rectal	Sex-combined
CTSO	negative	rectal	Sex-combined
CTSZ	negative	rectal	Sex-combined
CXADR	negative	rectal	Sex-combined
CXCL1	negative	rectal	Sex-combined
CXCL10	negative	rectal	Sex-combined
CXCL11	negative	rectal	Sex-combined
CXCL13	positive	rectal	Sex-combined
CXCL14	NA	rectal	Sex-combined
CXCL3	negative	rectal	Sex-combined
CXCL8	positive	rectal	Sex-combined
DAB2	NA	rectal	Sex-combined
DAG1	negative	rectal	Sex-combined
DAPP1	NA	rectal	Sex-combined
DCBLD2	negative	rectal	Sex-combined
DDAH1	negative	rectal	Sex-combined
DDC	positive	rectal	Sex-combined
DFFA	NA	rectal	Sex-combined
DKK1	negative	rectal	Sex-combined
DKK3	negative	rectal	Sex-combined
DKK4	positive	rectal	Sex-combined
DKKL1	positive	rectal	Sex-combined
DLK1	negative	rectal	Sex-combined
DNAJB1	positive	rectal	Sex-combined
DNMBP	positive	rectal	Sex-combined
DOK2	negative	rectal	Sex-combined
DPP4	negative	rectal	Sex-combined
DPT	NA	rectal	Sex-combined
DPY30	NA	rectal	Sex-combined
DRG2	negative	rectal	Sex-combined
DSC2	negative	rectal	Sex-combined
DSG3	negative	rectal	Sex-combined
DSG4	negative	rectal	Sex-combined
DTX3	positive	rectal	Sex-combined
DUSP3	NA	rectal	Sex-combined
EBI3_IL27	negative	rectal	Sex-combined
EDAR	positive	rectal	Sex-combined
EDIL3	NA	rectal	Sex-combined
EFEMP1	negative	rectal	Sex-combined
EFNA1	positive	rectal	Sex-combined
EGF	negative	rectal	Sex-combined
EGLN1	negative	rectal	Sex-combined
ELOA	NA	rectal	Sex-combined
ENG	negative	rectal	Sex-combined
ENO2	negative	rectal	Sex-combined
ENPP2	negative	rectal	Sex-combined
ENTPD2	NA	rectal	Sex-combined
ENTPD5	negative	rectal	Sex-combined
ENTPD6	positive	rectal	Sex-combined
EPCAM	negative	rectal	Sex-combined
EPHA1	negative	rectal	Sex-combined
EPHA2	negative	rectal	Sex-combined
EPHB6	positive	rectal	Sex-combined
ERBB2	negative	rectal	Sex-combined
ERBB3	negative	rectal	Sex-combined
ERBIN	NA	rectal	Sex-combined
EREG	negative	rectal	Sex-combined
ESAM	negative	rectal	Sex-combined
F3	negative	rectal	Sex-combined
F9	NA	rectal	Sex-combined
FABP1	NA	rectal	Sex-combined
FABP2	positive	rectal	Sex-combined
FABP5	NA	rectal	Sex-combined
FABP6	NA	rectal	Sex-combined
FADD	negative	rectal	Sex-combined
FAM3B	positive	rectal	Sex-combined
FAS	negative	rectal	Sex-combined
FASLG	negative	rectal	Sex-combined
FCAR	positive	rectal	Sex-combined
FCRL5	negative	rectal	Sex-combined
FCRL6	positive	rectal	Sex-combined
FCRLB	negative	rectal	Sex-combined
FETUB	positive	rectal	Sex-combined
FGF19	negative	rectal	Sex-combined
FGF2	negative	rectal	Sex-combined
FGF21	negative	rectal	Sex-combined
FGF23	positive	rectal	Sex-combined
FGF5	NA	rectal	Sex-combined
FHIT	NA	rectal	Sex-combined
FIS1	positive	rectal	Sex-combined
FKBP1B	negative	rectal	Sex-combined
FKBP5	negative	rectal	Sex-combined
FLRT2	positive	rectal	Sex-combined
FLT1	negative	rectal	Sex-combined
FOLR1	positive	rectal	Sex-combined
FOXO1	positive	rectal	Sex-combined
FRZB	NA	rectal	Sex-combined
FSTL3	NA	rectal	Sex-combined
FUS	NA	rectal	Sex-combined
FUT3_FUT5	negative	rectal	Sex-combined
FUT8	negative	rectal	Sex-combined
FXN	negative	rectal	Sex-combined
FXYD5	NA	rectal	Sex-combined
FYB1	NA	rectal	Sex-combined
GAL	positive	rectal	Sex-combined
GALNT2	positive	rectal	Sex-combined
GALNT7	positive	rectal	Sex-combined
GAS6	negative	rectal	Sex-combined
GFRA1	positive	rectal	Sex-combined
GFRA2	negative	rectal	Sex-combined
GFRA3	positive	rectal	Sex-combined
GGH	negative	rectal	Sex-combined
GGT5	negative	rectal	Sex-combined
GHRL	negative	rectal	Sex-combined
GKN1	negative	rectal	Sex-combined
GLOD4	NA	rectal	Sex-combined
GLRX	NA	rectal	Sex-combined
GNE	positive	rectal	Sex-combined
GOLM2	positive	rectal	Sex-combined
GOPC	NA	rectal	Sex-combined
GP1BA	negative	rectal	Sex-combined
GP6	negative	rectal	Sex-combined
GPA33	negative	rectal	Sex-combined
GPC5	negative	rectal	Sex-combined
GRAP2	positive	rectal	Sex-combined
GRN	positive	rectal	Sex-combined
GSTA1	negative	rectal	Sex-combined
GSTA3	negative	rectal	Sex-combined
GUCA2A	negative	rectal	Sex-combined
GZMH	positive	rectal	Sex-combined
HARS1	NA	rectal	Sex-combined
HAVCR1	negative	rectal	Sex-combined
HBEGF	negative	rectal	Sex-combined
HBQ1	NA	rectal	Sex-combined
HCLS1	positive	rectal	Sex-combined
HDGF	NA	rectal	Sex-combined
HGF	positive	rectal	Sex-combined
HLA-DRA	positive	rectal	Sex-combined
HNMT	positive	rectal	Sex-combined
HS3ST3B1	negative	rectal	Sex-combined
HS6ST1	positive	rectal	Sex-combined
HSD11B1	negative	rectal	Sex-combined
HSPA1A	NA	rectal	Sex-combined
HSPB6	positive	rectal	Sex-combined
HYAL1	negative	rectal	Sex-combined
ICA1	NA	rectal	Sex-combined
ICAM2	negative	rectal	Sex-combined
ICAM3	negative	rectal	Sex-combined
ICAM4	negative	rectal	Sex-combined
ICAM5	positive	rectal	Sex-combined
ICOSLG	positive	rectal	Sex-combined
IFNG	NA	rectal	Sex-combined
IFNGR1	negative	rectal	Sex-combined
IFNGR2	negative	rectal	Sex-combined
IFNLR1	NA	rectal	Sex-combined
IGF2R	positive	rectal	Sex-combined
IGFBP1	NA	rectal	Sex-combined
IGFBP3	negative	rectal	Sex-combined
IGFBP4	negative	rectal	Sex-combined
IGFBP6	negative	rectal	Sex-combined
IGFBPL1	NA	rectal	Sex-combined
IGSF3	positive	rectal	Sex-combined
IL13RA1	NA	rectal	Sex-combined
IL15	positive	rectal	Sex-combined
IL17C	NA	rectal	Sex-combined
IL17D	NA	rectal	Sex-combined
IL17RB	positive	rectal	Sex-combined
IL18BP	negative	rectal	Sex-combined
IL18R1	negative	rectal	Sex-combined
IL1B	NA	rectal	Sex-combined
IL1R1	negative	rectal	Sex-combined
IL1R2	positive	rectal	Sex-combined
IL1RAP	negative	rectal	Sex-combined
IL1RN	NA	rectal	Sex-combined
IL22RA1	NA	rectal	Sex-combined
IL2RA	negative	rectal	Sex-combined
IL32	positive	rectal	Sex-combined
IL4R	positive	rectal	Sex-combined
IL5RA	negative	rectal	Sex-combined
IL6	negative	rectal	Sex-combined
IL7	negative	rectal	Sex-combined
IL7R	negative	rectal	Sex-combined
INHBC	negative	rectal	Sex-combined
INPP1	NA	rectal	Sex-combined
IPCEF1	NA	rectal	Sex-combined
IRAG2	NA	rectal	Sex-combined
ISM1	NA	rectal	Sex-combined
ITGA5	negative	rectal	Sex-combined
ITGB1	negative	rectal	Sex-combined
ITGB2	negative	rectal	Sex-combined
ITGB5	negative	rectal	Sex-combined
ITGB6	negative	rectal	Sex-combined
JCHAIN	positive	rectal	Sex-combined
KAZALD1	negative	rectal	Sex-combined
KDR	positive	rectal	Sex-combined
KEL	positive	rectal	Sex-combined
KIFBP	NA	rectal	Sex-combined
KIR3DL1	NA	rectal	Sex-combined
KLB	negative	rectal	Sex-combined
KLK1	positive	rectal	Sex-combined
KLK12	negative	rectal	Sex-combined
KLK13	positive	rectal	Sex-combined
KLK4	negative	rectal	Sex-combined
KLK6	NA	rectal	Sex-combined
KLK8	negative	rectal	Sex-combined
KLRB1	negative	rectal	Sex-combined
KRT18	negative	rectal	Sex-combined
KRT19	negative	rectal	Sex-combined
KRT5	negative	rectal	Sex-combined
KYAT1	negative	rectal	Sex-combined
L1CAM	negative	rectal	Sex-combined
LACTB2	negative	rectal	Sex-combined
LAMP2	NA	rectal	Sex-combined
LAT	negative	rectal	Sex-combined
LBP	NA	rectal	Sex-combined
LEFTY2	negative	rectal	Sex-combined
LEPR	negative	rectal	Sex-combined
LGALS1	NA	rectal	Sex-combined
LGALS3	positive	rectal	Sex-combined
LGALS7_LGALS7B	negative	rectal	Sex-combined
LGALS8	positive	rectal	Sex-combined
LGMN	negative	rectal	Sex-combined
LIFR	positive	rectal	Sex-combined
LILRA5	negative	rectal	Sex-combined
LILRB1	positive	rectal	Sex-combined
LILRB2	positive	rectal	Sex-combined
LILRB4	NA	rectal	Sex-combined
LILRB5	NA	rectal	Sex-combined
LPO	positive	rectal	Sex-combined
LRP1	positive	rectal	Sex-combined
LRP11	positive	rectal	Sex-combined
LRPAP1	positive	rectal	Sex-combined
LRRC25	negative	rectal	Sex-combined
LSP1	NA	rectal	Sex-combined
LTA	negative	rectal	Sex-combined
LTBP3	negative	rectal	Sex-combined
LY6D	positive	rectal	Sex-combined
LY9	negative	rectal	Sex-combined
LY96	negative	rectal	Sex-combined
LYPD3	positive	rectal	Sex-combined
LYPD8	positive	rectal	Sex-combined
MANF	negative	rectal	Sex-combined
MAP2K6	NA	rectal	Sex-combined
MAP4K5	NA	rectal	Sex-combined
MARCO	negative	rectal	Sex-combined
MDGA1	positive	rectal	Sex-combined
MEGF9	positive	rectal	Sex-combined
MERTK	negative	rectal	Sex-combined
MESD	negative	rectal	Sex-combined
METAP1D	negative	rectal	Sex-combined
MFGE8	positive	rectal	Sex-combined
MGMT	positive	rectal	Sex-combined
MIA	positive	rectal	Sex-combined
MIF	positive	rectal	Sex-combined
MILR1	positive	rectal	Sex-combined
MITD1	NA	rectal	Sex-combined
MMP1	negative	rectal	Sex-combined
MMP10	NA	rectal	Sex-combined
MMP12	NA	rectal	Sex-combined
MMP3	negative	rectal	Sex-combined
MMP7	negative	rectal	Sex-combined
MMP8	NA	rectal	Sex-combined
MMP9	positive	rectal	Sex-combined
MPHOSPH8	NA	rectal	Sex-combined
MPI	negative	rectal	Sex-combined
MPIG6B	negative	rectal	Sex-combined
MPO	positive	rectal	Sex-combined
MSLN	positive	rectal	Sex-combined
MSMB	negative	rectal	Sex-combined
MSRA	NA	rectal	Sex-combined
MSTN	positive	rectal	Sex-combined
MUC16	NA	rectal	Sex-combined
MYOC	positive	rectal	Sex-combined
MZT1	NA	rectal	Sex-combined
NAAA	positive	rectal	Sex-combined
NADK	negative	rectal	Sex-combined
NBN	positive	rectal	Sex-combined
NCAM1	positive	rectal	Sex-combined
NCAM2	positive	rectal	Sex-combined
NCAN	positive	rectal	Sex-combined
NCF2	positive	rectal	Sex-combined
NCR1	negative	rectal	Sex-combined
NECTIN2	positive	rectal	Sex-combined
NEFL	NA	rectal	Sex-combined
NELL1	positive	rectal	Sex-combined
NFASC	positive	rectal	Sex-combined
NFKBIE	NA	rectal	Sex-combined
NID1	negative	rectal	Sex-combined
NID2	positive	rectal	Sex-combined
NME3	negative	rectal	Sex-combined
NOMO1	negative	rectal	Sex-combined
NOS3	NA	rectal	Sex-combined
NOTCH1	negative	rectal	Sex-combined
NPDC1	negative	rectal	Sex-combined
NPPB	NA	rectal	Sex-combined
NPPC	NA	rectal	Sex-combined
NPTX1	positive	rectal	Sex-combined
NPTXR	negative	rectal	Sex-combined
NRP2	positive	rectal	Sex-combined
NSFL1C	NA	rectal	Sex-combined
NT5C3A	positive	rectal	Sex-combined
NTF3	negative	rectal	Sex-combined
NUB1	positive	rectal	Sex-combined
NUDC	NA	rectal	Sex-combined
NUDT2	NA	rectal	Sex-combined
NUDT5	NA	rectal	Sex-combined
OBP2B	positive	rectal	Sex-combined
ODAM	NA	rectal	Sex-combined
OGFR	NA	rectal	Sex-combined
OGN	positive	rectal	Sex-combined
OPTC	negative	rectal	Sex-combined
OSMR	positive	rectal	Sex-combined
OXT	negative	rectal	Sex-combined
PAEP	negative	rectal	Sex-combined
PAG1	negative	rectal	Sex-combined
PAM	negative	rectal	Sex-combined
PAPPA	positive	rectal	Sex-combined
PARK7	negative	rectal	Sex-combined
PARP1	NA	rectal	Sex-combined
PCDH1	negative	rectal	Sex-combined
PCSK9	negative	rectal	Sex-combined
PDCD1	negative	rectal	Sex-combined
PDCD5	NA	rectal	Sex-combined
PDGFA	negative	rectal	Sex-combined
PDGFRA	negative	rectal	Sex-combined
PDLIM7	negative	rectal	Sex-combined
PEBP1	NA	rectal	Sex-combined
PFKFB2	positive	rectal	Sex-combined
PGF	NA	rectal	Sex-combined
PGLYRP1	positive	rectal	Sex-combined
PI3	positive	rectal	Sex-combined
PIGR	positive	rectal	Sex-combined
PILRA	positive	rectal	Sex-combined
PILRB	positive	rectal	Sex-combined
PKLR	positive	rectal	Sex-combined
PLA2G10	negative	rectal	Sex-combined
PLA2G15	negative	rectal	Sex-combined
PLA2G1B	positive	rectal	Sex-combined
PLA2G2A	negative	rectal	Sex-combined
PLA2G4A	NA	rectal	Sex-combined
PLA2G7	positive	rectal	Sex-combined
PLIN3	NA	rectal	Sex-combined
PLPBP	NA	rectal	Sex-combined
PLXDC1	positive	rectal	Sex-combined
PLXNA4	positive	rectal	Sex-combined
PLXNB2	positive	rectal	Sex-combined
PLXNB3	negative	rectal	Sex-combined
PM20D1	positive	rectal	Sex-combined
PMVK	negative	rectal	Sex-combined
PNPT1	NA	rectal	Sex-combined
PODXL2	positive	rectal	Sex-combined
PON3	positive	rectal	Sex-combined
PPCDC	NA	rectal	Sex-combined
PPIB	negative	rectal	Sex-combined
PPP1R9B	NA	rectal	Sex-combined
PRCP	negative	rectal	Sex-combined
PRDX1	NA	rectal	Sex-combined
PRDX5	NA	rectal	Sex-combined
PRKAR1A	positive	rectal	Sex-combined
PRL	positive	rectal	Sex-combined
PROC	negative	rectal	Sex-combined
PROK1	NA	rectal	Sex-combined
PRSS2	positive	rectal	Sex-combined
PRSS27	positive	rectal	Sex-combined
PRTFDC1	negative	rectal	Sex-combined
PRTG	positive	rectal	Sex-combined
PRTN3	positive	rectal	Sex-combined
PSG1	negative	rectal	Sex-combined
PSME1	NA	rectal	Sex-combined
PSRC1	NA	rectal	Sex-combined
PTGDS	NA	rectal	Sex-combined
PTN	negative	rectal	Sex-combined
PTPN1	NA	rectal	Sex-combined
PTPN6	NA	rectal	Sex-combined
PTPRM	negative	rectal	Sex-combined
PTPRS	positive	rectal	Sex-combined
PVALB	positive	rectal	Sex-combined
PVR	NA	rectal	Sex-combined
QPCT	positive	rectal	Sex-combined
RAB6A	NA	rectal	Sex-combined
RABGAP1L	NA	rectal	Sex-combined
RAD23B	NA	rectal	Sex-combined
RBP5	negative	rectal	Sex-combined
