exposure	direction_group	outcome	group
DOK2	positive	distal	Female
DPP4	positive	distal	Female
DPP6	positive	distal	Female
DPP7	negative	distal	Female
DPT	NA	distal	Female
DPY30	NA	distal	Female
DRAXIN	positive	distal	Female
DRG2	negative	distal	Female
DSG3	negative	distal	Female
DSG4	negative	distal	Female
DTX3	positive	distal	Female
DUSP3	NA	distal	Female
EBAG9	positive	distal	Female
EBI3_IL27	positive	distal	Female
EDIL3	NA	distal	Female
EFEMP1	negative	distal	Female
EFNA1	positive	distal	Female
EGF	positive	distal	Female
EGFR	negative	distal	Female
EGLN1	negative	distal	Female
EIF4B	positive	distal	Female
EIF4G1	positive	distal	Female
ELOA	NA	distal	Female
ENPP7	negative	distal	Female
ENTPD2	NA	distal	Female
ENTPD5	negative	distal	Female
ENTPD6	positive	distal	Female
EPCAM	negative	distal	Female
EPHB6	positive	distal	Female
EPO	positive	distal	Female
EPS8L2	positive	distal	Female
ERBIN	NA	distal	Female
ERP44	positive	distal	Female
F11R	positive	distal	Female
F3	negative	distal	Female
F7	positive	distal	Female
F9	NA	distal	Female
FABP1	NA	distal	Female
FABP5	NA	distal	Female
FABP6	NA	distal	Female
FABP9	negative	distal	Female
FADD	negative	distal	Female
FAM3B	positive	distal	Female
FAP	positive	distal	Female
FBP1	negative	distal	Female
FCAR	positive	distal	Female
FCGR3B	negative	distal	Female
FCRL1	positive	distal	Female
FCRL2	positive	distal	Female
FCRL3	positive	distal	Female
FCRL5	negative	distal	Female
FCRLB	negative	distal	Female
FETUB	positive	distal	Female
FGF19	negative	distal	Female
FGF2	positive	distal	Female
FGF21	negative	distal	Female
FGF23	positive	distal	Female
FGF5	NA	distal	Female
FHIT	NA	distal	Female
FIS1	positive	distal	Female
FKBP5	negative	distal	Female
FLI1	positive	distal	Female
FLRT2	positive	distal	Female
FLT3	negative	distal	Female
FLT3LG	positive	distal	Female
FLT4	negative	distal	Female
FOLR1	positive	distal	Female
FOLR2	positive	distal	Female
FOXO1	negative	distal	Female
FRZB	NA	distal	Female
FSTL3	NA	distal	Female
FUCA1	positive	distal	Female
FUS	NA	distal	Female
FUT3_FUT5	negative	distal	Female
FUT8	negative	distal	Female
FXN	positive	distal	Female
FXYD5	NA	distal	Female
FYB1	NA	distal	Female
GAL	positive	distal	Female
GALNT2	positive	distal	Female
GALNT7	positive	distal	Female
GAS6	negative	distal	Female
GFRA1	positive	distal	Female
GFRA2	negative	distal	Female
GFRA3	positive	distal	Female
GGH	negative	distal	Female
GGT5	negative	distal	Female
GHRL	negative	distal	Female
GKN1	negative	distal	Female
GLOD4	NA	distal	Female
GLRX	NA	distal	Female
GNE	positive	distal	Female
GOPC	NA	distal	Female
GPA33	negative	distal	Female
GPC1	negative	distal	Female
GPNMB	negative	distal	Female
GRAP2	positive	distal	Female
GRPEL1	positive	distal	Female
GUCA2A	positive	distal	Female
GYS1	positive	distal	Female
GZMH	positive	distal	Female
HARS1	NA	distal	Female
HAVCR1	negative	distal	Female
HAVCR2	negative	distal	Female
HBQ1	NA	distal	Female
HCLS1	positive	distal	Female
HDGF	NA	distal	Female
HEXIM1	positive	distal	Female
HGF	positive	distal	Female
HLA-DRA	positive	distal	Female
HMOX1	positive	distal	Female
HMOX2	negative	distal	Female
HS6ST1	positive	distal	Female
HSPB1	positive	distal	Female
HYAL1	negative	distal	Female
HYOU1	positive	distal	Female
ICA1	NA	distal	Female
ICAM1	positive	distal	Female
ICAM2	negative	distal	Female
ICAM3	negative	distal	Female
ICAM4	negative	distal	Female
ICAM5	positive	distal	Female
ICOSLG	negative	distal	Female
IDS	negative	distal	Female
IDUA	negative	distal	Female
IFNG	NA	distal	Female
IFNGR1	negative	distal	Female
IFNL1	negative	distal	Female
IFNLR1	NA	distal	Female
IGF2R	positive	distal	Female
IGFBP1	NA	distal	Female
IGFBP2	positive	distal	Female
IGFBP3	negative	distal	Female
IGFBP4	negative	distal	Female
IGFBP6	negative	distal	Female
IGFBP7	negative	distal	Female
IGFBPL1	NA	distal	Female
IGSF3	positive	distal	Female
IL10RB	positive	distal	Female
IL13RA1	NA	distal	Female
IL15	positive	distal	Female
IL17C	NA	distal	Female
IL17D	NA	distal	Female
IL17RB	negative	distal	Female
IL18BP	negative	distal	Female
IL18R1	negative	distal	Female
IL18RAP	positive	distal	Female
IL1B	NA	distal	Female
IL1R1	negative	distal	Female
IL1RAP	positive	distal	Female
IL1RL1	negative	distal	Female
IL1RL2	negative	distal	Female
IL1RN	NA	distal	Female
IL22RA1	NA	distal	Female
IL2RA	negative	distal	Female
IL32	negative	distal	Female
IL4R	positive	distal	Female
IL6	negative	distal	Female
IL6ST	negative	distal	Female
IL7	positive	distal	Female
IL7R	negative	distal	Female
IPCEF1	NA	distal	Female
IRAG2	NA	distal	Female
ISM1	NA	distal	Female
ITGA11	negative	distal	Female
ITGA5	negative	distal	Female
ITGA6	negative	distal	Female
ITGB1	negative	distal	Female
ITGB2	negative	distal	Female
ITGB6	negative	distal	Female
ITGB7	negative	distal	Female
JCHAIN	positive	distal	Female
KAZALD1	negative	distal	Female
KEL	negative	distal	Female
KIFBP	NA	distal	Female
KIR3DL1	NA	distal	Female
KLB	negative	distal	Female
KLK1	positive	distal	Female
KLK12	negative	distal	Female
KLK13	positive	distal	Female
KLK6	NA	distal	Female
KLK8	positive	distal	Female
KLRB1	negative	distal	Female
KRT18	negative	distal	Female
KRT5	negative	distal	Female
L1CAM	negative	distal	Female
LAMA4	positive	distal	Female
LAMP2	NA	distal	Female
LAT	positive	distal	Female
LBP	NA	distal	Female
LBR	positive	distal	Female
LDLR	positive	distal	Female
LEFTY2	negative	distal	Female
LEPR	negative	distal	Female
LGALS1	NA	distal	Female
LGALS3	positive	distal	Female
LGALS7_LGALS7B	negative	distal	Female
LGMN	negative	distal	Female
LILRA2	negative	distal	Female
LILRA5	negative	distal	Female
LILRB1	negative	distal	Female
LILRB2	negative	distal	Female
LILRB4	NA	distal	Female
LILRB5	NA	distal	Female
LPO	positive	distal	Female
LRIG1	positive	distal	Female
LRP1	positive	distal	Female
LRP11	positive	distal	Female
LRPAP1	positive	distal	Female
LRRN1	negative	distal	Female
LSP1	NA	distal	Female
LTA	negative	distal	Female
LTBP2	negative	distal	Female
LTBP3	negative	distal	Female
LY9	negative	distal	Female
LY96	negative	distal	Female
LYPD8	positive	distal	Female
MANF	positive	distal	Female
MAP2K6	NA	distal	Female
MAP4K5	NA	distal	Female
MARCO	negative	distal	Female
MASP1	positive	distal	Female
MATN2	negative	distal	Female
MATN3	positive	distal	Female
MAVS	positive	distal	Female
MAX	positive	distal	Female
MB	positive	distal	Female
MCFD2	negative	distal	Female
MEGF10	positive	distal	Female
MEGF9	negative	distal	Female
MERTK	negative	distal	Female
MESD	positive	distal	Female
METAP1D	NA	distal	Female
METAP2	positive	distal	Female
