exposure	direction_group	outcome	group
AARSD1	negative	proximal	Sex-combined
ABHD14B	negative	proximal	Sex-combined
ACAN	negative	proximal	Sex-combined
ACE2	negative	proximal	Sex-combined
ACP5	positive	proximal	Sex-combined
ACP6	NA	proximal	Sex-combined
ACY1	negative	proximal	Sex-combined
ADA2	negative	proximal	Sex-combined
ADAM15	positive	proximal	Sex-combined
ADAM22	negative	proximal	Sex-combined
ADAMTS13	negative	proximal	Sex-combined
ADAMTS15	positive	proximal	Sex-combined
ADAMTS8	negative	proximal	Sex-combined
ADGRE5	negative	proximal	Sex-combined
AFP	positive	proximal	Sex-combined
AGER	positive	proximal	Sex-combined
AGR3	NA	proximal	Sex-combined
AGRN	positive	proximal	Sex-combined
AHSP	positive	proximal	Sex-combined
AKT1S1	NA	proximal	Sex-combined
ALCAM	positive	proximal	Sex-combined
ALDH1A1	negative	proximal	Sex-combined
AMBP	negative	proximal	Sex-combined
AMN	negative	proximal	Sex-combined
AMY2A	positive	proximal	Sex-combined
AMY2B	positive	proximal	Sex-combined
ANG	negative	proximal	Sex-combined
ANGPT1	negative	proximal	Sex-combined
ANGPTL2	negative	proximal	Sex-combined
ANGPTL3	negative	proximal	Sex-combined
ANGPTL7	negative	proximal	Sex-combined
ANPEP	negative	proximal	Sex-combined
ANXA11	NA	proximal	Sex-combined
ANXA4	NA	proximal	Sex-combined
AOC3	negative	proximal	Sex-combined
APLP1	positive	proximal	Sex-combined
APOM	negative	proximal	Sex-combined
APP	negative	proximal	Sex-combined
ARG1	negative	proximal	Sex-combined
ARHGAP1	NA	proximal	Sex-combined
ARHGAP25	NA	proximal	Sex-combined
ARSA	positive	proximal	Sex-combined
ARSB	negative	proximal	Sex-combined
ART3	negative	proximal	Sex-combined
ASAH2	negative	proximal	Sex-combined
ASGR1	negative	proximal	Sex-combined
ATG4A	negative	proximal	Sex-combined
ATOX1	negative	proximal	Sex-combined
ATXN10	negative	proximal	Sex-combined
AXIN1	negative	proximal	Sex-combined
B4GAT1	negative	proximal	Sex-combined
BACH1	NA	proximal	Sex-combined
BAG3	negative	proximal	Sex-combined
BANK1	NA	proximal	Sex-combined
BAX	NA	proximal	Sex-combined
BCAN	negative	proximal	Sex-combined
BGN	positive	proximal	Sex-combined
BID	NA	proximal	Sex-combined
BIN2	NA	proximal	Sex-combined
BLMH	negative	proximal	Sex-combined
BLVRB	NA	proximal	Sex-combined
BMP4	negative	proximal	Sex-combined
BMP6	negative	proximal	Sex-combined
BOC	positive	proximal	Sex-combined
BRK1	positive	proximal	Sex-combined
BST1	negative	proximal	Sex-combined
BST2	negative	proximal	Sex-combined
BTC	negative	proximal	Sex-combined
BTN2A1	positive	proximal	Sex-combined
C1QTNF1	positive	proximal	Sex-combined
C2	NA	proximal	Sex-combined
CA11	NA	proximal	Sex-combined
CA13	negative	proximal	Sex-combined
CA14	NA	proximal	Sex-combined
CA2	NA	proximal	Sex-combined
CA4	negative	proximal	Sex-combined
CA5A	negative	proximal	Sex-combined
CALB1	negative	proximal	Sex-combined
CALCOCO1	negative	proximal	Sex-combined
CAMKK1	positive	proximal	Sex-combined
CANT1	negative	proximal	Sex-combined
