exposure	direction_group	outcome	group
CRACR2A	negative	rectal	Male
CRADD	negative	rectal	Male
CREG1	negative	rectal	Male
CRELD2	positive	rectal	Male
CRH	positive	rectal	Male
CRHBP	negative	rectal	Male
CRIP2	negative	rectal	Male
CRISP2	positive	rectal	Male
CRNN	positive	rectal	Male
CRTAC1	NA	rectal	Male
CRTAM	negative	rectal	Male
CST5	positive	rectal	Male
CST6	negative	rectal	Male
CTF1	NA	rectal	Male
CTRB1	positive	rectal	Male
CTSB	positive	rectal	Male
CTSC	positive	rectal	Male
CTSD	positive	rectal	Male
CTSL	negative	rectal	Male
CTSZ	negative	rectal	Male
CXADR	negative	rectal	Male
CXCL1	negative	rectal	Male
CXCL12	negative	rectal	Male
CXCL13	positive	rectal	Male
CXCL14	NA	rectal	Male
CXCL3	negative	rectal	Male
DAB2	NA	rectal	Male
DAG1	negative	rectal	Male
DAPP1	NA	rectal	Male
DARS1	negative	rectal	Male
DBI	positive	rectal	Male
DDAH1	negative	rectal	Male
DDC	negative	rectal	Male
DDR1	positive	rectal	Male
DECR1	negative	rectal	Male
DEFA1_DEFA1B	positive	rectal	Male
DFFA	NA	rectal	Male
DIABLO	negative	rectal	Male
DKK1	negative	rectal	Male
DKK3	negative	rectal	Male
DKK4	positive	rectal	Male
DKKL1	positive	rectal	Male
DNAJB1	negative	rectal	Male
DNER	negative	rectal	Male
DNMBP	positive	rectal	Male
DOK2	negative	rectal	Male
DPEP1	positive	rectal	Male
DPP4	negative	rectal	Male
DPT	NA	rectal	Male
DPY30	NA	rectal	Male
DRAXIN	negative	rectal	Male
DRG2	negative	rectal	Male
DSG3	negative	rectal	Male
DSG4	negative	rectal	Male
DTX3	positive	rectal	Male
DUSP3	NA	rectal	Male
ECE1	positive	rectal	Male
EDAR	positive	rectal	Male
EDIL3	NA	rectal	Male
EFEMP1	negative	rectal	Male
EGF	negative	rectal	Male
EGLN1	negative	rectal	Male
ELOA	NA	rectal	Male
ENG	negative	rectal	Male
ENO1	negative	rectal	Male
ENO2	negative	rectal	Male
ENPP2	negative	rectal	Male
ENPP5	negative	rectal	Male
ENPP7	positive	rectal	Male
ENTPD2	NA	rectal	Male
ENTPD5	negative	rectal	Male
EPHA1	negative	rectal	Male
EPHB4	negative	rectal	Male
EPHB6	positive	rectal	Male
EPS8L2	negative	rectal	Male
ERBIN	NA	rectal	Male
ESAM	negative	rectal	Male
F11R	negative	rectal	Male
F3	negative	rectal	Male
F7	negative	rectal	Male
F9	NA	rectal	Male
FABP1	NA	rectal	Male
FABP2	negative	rectal	Male
FABP5	NA	rectal	Male
FABP6	NA	rectal	Male
FADD	positive	rectal	Male
FAM3B	positive	rectal	Male
FAS	negative	rectal	Male
FASLG	negative	rectal	Male
FCAR	positive	rectal	Male
FCN2	positive	rectal	Male
FCRL2	negative	rectal	Male
FCRL6	positive	rectal	Male
FCRLB	negative	rectal	Male
FETUB	negative	rectal	Male
FGF19	negative	rectal	Male
FGF2	negative	rectal	Male
FGF21	negative	rectal	Male
FGF23	positive	rectal	Male
FGF5	NA	rectal	Male
FGFR2	positive	rectal	Male
FHIT	NA	rectal	Male
FIS1	positive	rectal	Male
FKBP1B	negative	rectal	Male
FKBP5	negative	rectal	Male
FLI1	negative	rectal	Male
FLRT2	positive	rectal	Male
FLT1	negative	rectal	Male
FOLR1	positive	rectal	Male
FOXO1	positive	rectal	Male
FRZB	NA	rectal	Male
FSTL3	NA	rectal	Male
FUCA1	negative	rectal	Male
FURIN	negative	rectal	Male
FUS	NA	rectal	Male
FUT3_FUT5	negative	rectal	Male
FUT8	negative	rectal	Male
FXN	negative	rectal	Male
FXYD5	NA	rectal	Male
FYB1	NA	rectal	Male
GAL	positive	rectal	Male
GALNT2	positive	rectal	Male
GAS6	negative	rectal	Male
GDF2	negative	rectal	Male
GFRA2	negative	rectal	Male
GFRA3	positive	rectal	Male
GGH	negative	rectal	Male
GGT1	negative	rectal	Male
GGT5	positive	rectal	Male
GHRL	negative	rectal	Male
GKN1	negative	rectal	Male
GLOD4	NA	rectal	Male
GLRX	NA	rectal	Male
GNLY	positive	rectal	Male
GOLM2	positive	rectal	Male
GOPC	NA	rectal	Male
GP1BA	negative	rectal	Male
GP6	negative	rectal	Male
GPA33	positive	rectal	Male
GPC1	positive	rectal	Male
GPC5	negative	rectal	Male
GPNMB	positive	rectal	Male
GPR37	negative	rectal	Male
GRN	positive	rectal	Male
GUCA2A	negative	rectal	Male
GYS1	negative	rectal	Male
HAO1	positive	rectal	Male
HARS1	NA	rectal	Male
HAVCR2	positive	rectal	Male
HBQ1	NA	rectal	Male
HCLS1	positive	rectal	Male
HDGF	NA	rectal	Male
HGF	positive	rectal	Male
HLA-DRA	positive	rectal	Male
HMOX1	positive	rectal	Male
HMOX2	positive	rectal	Male
HNMT	positive	rectal	Male
HS3ST3B1	positive	rectal	Male
HS6ST1	positive	rectal	Male
HSD11B1	negative	rectal	Male
HSPG2	negative	rectal	Male
HYAL1	negative	rectal	Male
ICA1	NA	rectal	Male
ICAM5	negative	rectal	Male
ICOSLG	positive	rectal	Male
IFNG	NA	rectal	Male
IFNGR1	negative	rectal	Male
IFNGR2	negative	rectal	Male
IFNLR1	NA	rectal	Male
IGF2R	positive	rectal	Male
IGFBP1	NA	rectal	Male
IGFBP3	negative	rectal	Male
IGFBP4	negative	rectal	Male
IGFBP6	negative	rectal	Male
IGFBP7	negative	rectal	Male
IGFBPL1	NA	rectal	Male
IGSF8	positive	rectal	Male
IL10RB	negative	rectal	Male
IL13RA1	NA	rectal	Male
IL15	positive	rectal	Male
IL17C	NA	rectal	Male
IL17D	NA	rectal	Male
IL17RA	positive	rectal	Male
IL17RB	positive	rectal	Male
IL18R1	negative	rectal	Male
IL18RAP	negative	rectal	Male
IL1B	NA	rectal	Male
IL1R2	positive	rectal	Male
IL1RAP	positive	rectal	Male
IL1RN	NA	rectal	Male
IL22RA1	NA	rectal	Male
IL2RA	negative	rectal	Male
IL32	positive	rectal	Male
IL3RA	positive	rectal	Male
IL4R	positive	rectal	Male
IL5RA	negative	rectal	Male
IL6ST	positive	rectal	Male
IL7	negative	rectal	Male
INHBC	negative	rectal	Male
IPCEF1	NA	rectal	Male
IRAG2	NA	rectal	Male
ISLR2	negative	rectal	Male
ISM1	NA	rectal	Male
ITGA6	positive	rectal	Male
KAZALD1	negative	rectal	Male
KDR	positive	rectal	Male
KIFBP	NA	rectal	Male
KIR3DL1	NA	rectal	Male
KLB	negative	rectal	Male
KLK1	positive	rectal	Male
KLK11	positive	rectal	Male
KLK12	negative	rectal	Male
KLK4	negative	rectal	Male
KLK6	NA	rectal	Male
KLK8	negative	rectal	Male
KLRB1	negative	rectal	Male
KRT18	negative	rectal	Male
KRT19	negative	rectal	Male
KYAT1	negative	rectal	Male
L1CAM	positive	rectal	Male
LACTB2	negative	rectal	Male
LAIR2	positive	rectal	Male
LAMP2	NA	rectal	Male
LAT	negative	rectal	Male
LBP	NA	rectal	Male
LBR	negative	rectal	Male
LEPR	negative	rectal	Male
LGALS1	NA	rectal	Male
LGALS3	positive	rectal	Male
LGALS7_LGALS7B	negative	rectal	Male
