exposure	direction_group	outcome	group
AARSD1	positive	overall	Sex-combined
ACAA1	positive	overall	Sex-combined
ACAN	positive	overall	Sex-combined
ACE2	negative	overall	Sex-combined
ACP5	negative	overall	Sex-combined
ACP6	NA	overall	Sex-combined
ACY1	negative	overall	Sex-combined
ADA2	negative	overall	Sex-combined
ADAM22	positive	overall	Sex-combined
ADAM23	negative	overall	Sex-combined
ADAM8	positive	overall	Sex-combined
ADAMTS13	negative	overall	Sex-combined
ADAMTS8	negative	overall	Sex-combined
ADGRG2	positive	overall	Sex-combined
AFP	positive	overall	Sex-combined
AGER	positive	overall	Sex-combined
AGR2	negative	overall	Sex-combined
AGR3	NA	overall	Sex-combined
AHSP	positive	overall	Sex-combined
AKR1B1	positive	overall	Sex-combined
AKT1S1	NA	overall	Sex-combined
ALCAM	positive	overall	Sex-combined
ALDH1A1	negative	overall	Sex-combined
ALPP	negative	overall	Sex-combined
AMBP	positive	overall	Sex-combined
AMN	positive	overall	Sex-combined
AMY2A	negative	overall	Sex-combined
AMY2B	negative	overall	Sex-combined
ANGPT2	positive	overall	Sex-combined
ANGPTL1	negative	overall	Sex-combined
ANGPTL2	negative	overall	Sex-combined
ANGPTL3	positive	overall	Sex-combined
ANGPTL7	negative	overall	Sex-combined
ANPEP	positive	overall	Sex-combined
ANXA11	NA	overall	Sex-combined
ANXA3	positive	overall	Sex-combined
ANXA4	NA	overall	Sex-combined
APBB1IP	positive	overall	Sex-combined
APOM	negative	overall	Sex-combined
APP	negative	overall	Sex-combined
APRT	positive	overall	Sex-combined
ARG1	negative	overall	Sex-combined
ARHGAP1	NA	overall	Sex-combined
ARHGAP25	NA	overall	Sex-combined
ASAH2	negative	overall	Sex-combined
ATP5IF1	positive	overall	Sex-combined
ATXN10	negative	overall	Sex-combined
AXIN1	positive	overall	Sex-combined
AXL	positive	overall	Sex-combined
B4GALT1	positive	overall	Sex-combined
B4GAT1	negative	overall	Sex-combined
BACH1	NA	overall	Sex-combined
BANK1	NA	overall	Sex-combined
BAX	NA	overall	Sex-combined
BCAN	positive	overall	Sex-combined
BCL2L11	positive	overall	Sex-combined
BID	NA	overall	Sex-combined
BIN2	NA	overall	Sex-combined
BIRC2	negative	overall	Sex-combined
BLMH	positive	overall	Sex-combined
BLVRB	NA	overall	Sex-combined
BMP4	positive	overall	Sex-combined
BMP6	negative	overall	Sex-combined
BOC	positive	overall	Sex-combined
BPIFB1	negative	overall	Sex-combined
BSG	negative	overall	Sex-combined
BST1	negative	overall	Sex-combined
BTC	negative	overall	Sex-combined
BTN2A1	positive	overall	Sex-combined
BTN3A2	negative	overall	Sex-combined
C19orf12	positive	overall	Sex-combined
C1QTNF1	positive	overall	Sex-combined
C2	NA	overall	Sex-combined
CA1	negative	overall	Sex-combined
CA11	NA	overall	Sex-combined
CA13	negative	overall	Sex-combined
CA14	NA	overall	Sex-combined
CA2	NA	overall	Sex-combined
CA4	negative	overall	Sex-combined
CA5A	negative	overall	Sex-combined
CA9	negative	overall	Sex-combined
CAMKK1	negative	overall	Sex-combined
CANT1	positive	overall	Sex-combined
CAPG	NA	overall	Sex-combined
CASP2	NA	overall	Sex-combined
CASP3	NA	overall	Sex-combined
CBLIF	negative	overall	Sex-combined
CBLN4	negative	overall	Sex-combined
CC2D1A	NA	overall	Sex-combined
CCDC80	negative	overall	Sex-combined
CCL11	positive	overall	Sex-combined
CCL14	positive	overall	Sex-combined
CCL16	positive	overall	Sex-combined
CCL17	positive	overall	Sex-combined
CCL18	negative	overall	Sex-combined
CCL19	negative	overall	Sex-combined
CCL21	negative	overall	Sex-combined
CCL23	positive	overall	Sex-combined
CCL24	positive	overall	Sex-combined
CCL25	negative	overall	Sex-combined
CCL26	positive	overall	Sex-combined
CCL27	negative	overall	Sex-combined
CCL28	negative	overall	Sex-combined
CCL3	negative	overall	Sex-combined
CCL5	negative	overall	Sex-combined
CCN1	positive	overall	Sex-combined
CCN3	positive	overall	Sex-combined
CCN4	positive	overall	Sex-combined
CD14	positive	overall	Sex-combined
CD164	positive	overall	Sex-combined
CD1C	negative	overall	Sex-combined
CD207	negative	overall	Sex-combined
CD209	positive	overall	Sex-combined
CD22	positive	overall	Sex-combined
CD244	negative	overall	Sex-combined
CD274	negative	overall	Sex-combined
CD276	negative	overall	Sex-combined
CD28	negative	overall	Sex-combined
CD300C	negative	overall	Sex-combined
CD300LF	positive	overall	Sex-combined
CD300LG	negative	overall	Sex-combined
CD33	negative	overall	Sex-combined
CD34	negative	overall	Sex-combined
CD38	NA	overall	Sex-combined
CD4	negative	overall	Sex-combined
CD5	negative	overall	Sex-combined
CD55	negative	overall	Sex-combined
CD59	negative	overall	Sex-combined
CD63	positive	overall	Sex-combined
CD69	positive	overall	Sex-combined
CD84	negative	overall	Sex-combined
CD93	positive	overall	Sex-combined
CDC27	NA	overall	Sex-combined
CDC37	NA	overall	Sex-combined
CDCP1	positive	overall	Sex-combined
CDH1	negative	overall	Sex-combined
CDH15	NA	overall	Sex-combined
CDH17	negative	overall	Sex-combined
CDH6	positive	overall	Sex-combined
CDHR1	positive	overall	Sex-combined
CDHR2	negative	overall	Sex-combined
CDKN2D	positive	overall	Sex-combined
CDON	positive	overall	Sex-combined
CEACAM21	NA	overall	Sex-combined
CEACAM3	NA	overall	Sex-combined
CEACAM5	positive	overall	Sex-combined
CEACAM8	positive	overall	Sex-combined
CEBPB	positive	overall	Sex-combined
CEP43	positive	overall	Sex-combined
CERT	positive	overall	Sex-combined
CES1	negative	overall	Sex-combined
CES2	NA	overall	Sex-combined
CES3	negative	overall	Sex-combined
CETN2	positive	overall	Sex-combined
CGREF1	negative	overall	Sex-combined
CHAC2	NA	overall	Sex-combined
CHGB	positive	overall	Sex-combined
CHI3L1	positive	overall	Sex-combined
CHIT1	negative	overall	Sex-combined
CHMP1A	positive	overall	Sex-combined
CHRDL1	positive	overall	Sex-combined
CHRDL2	positive	overall	Sex-combined
CKMT1A_CKMT1B	negative	overall	Sex-combined
CLC	positive	overall	Sex-combined
CLEC10A	positive	overall	Sex-combined
CLEC11A	positive	overall	Sex-combined
CLEC14A	negative	overall	Sex-combined
CLEC1A	negative	overall	Sex-combined
CLEC1B	negative	overall	Sex-combined
CLEC4A	negative	overall	Sex-combined
CLEC4C	negative	overall	Sex-combined
CLEC4D	positive	overall	Sex-combined
CLEC4G	positive	overall	Sex-combined
CLEC5A	positive	overall	Sex-combined
CLEC7A	positive	overall	Sex-combined
CLIP2	NA	overall	Sex-combined
CLMP	positive	overall	Sex-combined
CLPS	positive	overall	Sex-combined
CLSTN2	positive	overall	Sex-combined
CNPY4	NA	overall	Sex-combined
CNTN1	positive	overall	Sex-combined
CNTN2	positive	overall	Sex-combined
CNTN3	positive	overall	Sex-combined
CNTN4	positive	overall	Sex-combined
CNTN5	negative	overall	Sex-combined
CNTNAP2	negative	overall	Sex-combined
COL18A1	positive	overall	Sex-combined
COL4A1	positive	overall	Sex-combined
COL6A3	positive	overall	Sex-combined
COL9A1	negative	overall	Sex-combined
COLEC12	negative	overall	Sex-combined
COMP	positive	overall	Sex-combined
COMT	NA	overall	Sex-combined
CORO1A	positive	overall	Sex-combined
COX5B	positive	overall	Sex-combined
CPA1	positive	overall	Sex-combined
CPA2	negative	overall	Sex-combined
CPE	negative	overall	Sex-combined
CPM	negative	overall	Sex-combined
CPVL	negative	overall	Sex-combined
CRADD	negative	overall	Sex-combined
CREG1	positive	overall	Sex-combined
CRH	positive	overall	Sex-combined
CRHBP	negative	overall	Sex-combined
CRIM1	negative	overall	Sex-combined
CRNN	negative	overall	Sex-combined
CRTAC1	NA	overall	Sex-combined
CRTAM	positive	overall	Sex-combined
CST5	positive	overall	Sex-combined
CST6	negative	overall	Sex-combined
CST7	negative	overall	Sex-combined
CTF1	NA	overall	Sex-combined
CTRB1	negative	overall	Sex-combined
CTSB	negative	overall	Sex-combined
CTSC	positive	overall	Sex-combined
CTSD	positive	overall	Sex-combined
CTSF	positive	overall	Sex-combined
CTSL	negative	overall	Sex-combined
CTSO	negative	overall	Sex-combined
CTSV	negative	overall	Sex-combined
CTSZ	positive	overall	Sex-combined
CX3CL1	negative	overall	Sex-combined
CXADR	negative	overall	Sex-combined
CXCL1	negative	overall	Sex-combined
CXCL10	negative	overall	Sex-combined
CXCL12	negative	overall	Sex-combined
CXCL14	NA	overall	Sex-combined
CXCL3	negative	overall	Sex-combined
CXCL6	negative	overall	Sex-combined
CXCL8	positive	overall	Sex-combined
DAB2	NA	overall	Sex-combined
DAPP1	NA	overall	Sex-combined
DARS1	positive	overall	Sex-combined
DBI	positive	overall	Sex-combined
DCTPP1	positive	overall	Sex-combined
DCXR	positive	overall	Sex-combined
DDAH1	positive	overall	Sex-combined
DDC	positive	overall	Sex-combined
DECR1	positive	overall	Sex-combined
DEFB4A_DEFB4B	positive	overall	Sex-combined
DFFA	NA	overall	Sex-combined
DKK4	positive	overall	Sex-combined
DLK1	positive	overall	Sex-combined
DPEP1	positive	overall	Sex-combined
DPP4	positive	overall	Sex-combined
DPP6	negative	overall	Sex-combined
DPT	NA	overall	Sex-combined
DPY30	NA	overall	Sex-combined
DSC2	positive	overall	Sex-combined
DSG2	positive	overall	Sex-combined
DSG4	negative	overall	Sex-combined
DUSP3	NA	overall	Sex-combined
EBAG9	positive	overall	Sex-combined
EBI3_IL27	positive	overall	Sex-combined
EDA2R	positive	overall	Sex-combined
EDAR	positive	overall	Sex-combined
EDIL3	NA	overall	Sex-combined
EFNA1	positive	overall	Sex-combined
EGFL7	positive	overall	Sex-combined
EGLN1	positive	overall	Sex-combined
EIF4B	positive	overall	Sex-combined
EIF4G1	positive	overall	Sex-combined
ELOA	NA	overall	Sex-combined
ENG	negative	overall	Sex-combined
ENO1	negative	overall	Sex-combined
ENO2	negative	overall	Sex-combined
ENPP2	negative	overall	Sex-combined
ENPP7	negative	overall	Sex-combined
ENTPD2	NA	overall	Sex-combined
EPCAM	negative	overall	Sex-combined
EPHA2	negative	overall	Sex-combined
EPHB4	negative	overall	Sex-combined
EPHB6	positive	overall	Sex-combined
EPO	positive	overall	Sex-combined
ERBB3	positive	overall	Sex-combined
ERBIN	NA	overall	Sex-combined
F3	negative	overall	Sex-combined
F7	positive	overall	Sex-combined
F9	NA	overall	Sex-combined
FABP1	NA	overall	Sex-combined
FABP2	positive	overall	Sex-combined
FABP5	NA	overall	Sex-combined
FABP6	NA	overall	Sex-combined
FABP9	negative	overall	Sex-combined
FAM3B	positive	overall	Sex-combined
FAP	positive	overall	Sex-combined
FAS	negative	overall	Sex-combined
FASLG	negative	overall	Sex-combined
FBP1	negative	overall	Sex-combined
FCAR	negative	overall	Sex-combined
