sequence_id	direction_group	outcome	group
10000_28	negative	rectal	Male
10008_43	positive	rectal	Male
10012_5	negative	rectal	Male
10014_31	negative	rectal	Male
10015_119	NA	rectal	Male
10024_44	negative	rectal	Male
10036_201	positive	rectal	Male
10037_98	positive	rectal	Male
10041_3	positive	rectal	Male
10042_8	NA	rectal	Male
10044_12	negative	rectal	Male
10046_55	negative	rectal	Male
10047_12	negative	rectal	Male
10053_5	NA	rectal	Male
10056_5	positive	rectal	Male
10063_10	NA	rectal	Male
10070_22	positive	rectal	Male
10074_128	NA	rectal	Male
10078_5	NA	rectal	Male
10080_9	NA	rectal	Male
10082_251	negative	rectal	Male
10085_25	positive	rectal	Male
10088_37	positive	rectal	Male
10089_7	negative	rectal	Male
10339_48	positive	rectal	Male
10342_55	NA	rectal	Male
10344_334	negative	rectal	Male
10346_5	negative	rectal	Male
10356_21	negative	rectal	Male
10361_25	NA	rectal	Male
10362_35	NA	rectal	Male
10363_13	negative	rectal	Male
10364_6	NA	rectal	Male
10366_11	negative	rectal	Male
10372_18	positive	rectal	Male
10390_21	negative	rectal	Male
10418_36	positive	rectal	Male
10425_3	NA	rectal	Male
10426_21	negative	rectal	Male
10430_31	negative	rectal	Male
10435_2	positive	rectal	Male
10438_19	positive	rectal	Male
10442_1	negative	rectal	Male
10445_20	positive	rectal	Male
10447_18	NA	rectal	Male
10449_31	negative	rectal	Male
10451_11	positive	rectal	Male
10453_7	negative	rectal	Male
10454_99	NA	rectal	Male
10455_196	positive	rectal	Male
10462_14	NA	rectal	Male
10464_6	positive	rectal	Male
10490_3	NA	rectal	Male
10506_53	NA	rectal	Male
10507_166	negative	rectal	Male
10510_62	NA	rectal	Male
10511_10	negative	rectal	Male
10514_5	negative	rectal	Male
10527_22	negative	rectal	Male
10531_18	NA	rectal	Male
10534_40	NA	rectal	Male
10539_30	negative	rectal	Male
10546_2	negative	rectal	Male
10550_37	negative	rectal	Male
10551_7	negative	rectal	Male
10553_8	NA	rectal	Male
10560_1	negative	rectal	Male
10561_5	negative	rectal	Male
10562_42	NA	rectal	Male
10563_13	NA	rectal	Male
10565_19	positive	rectal	Male
10572_65	negative	rectal	Male
10574_10	negative	rectal	Male
10580_14	NA	rectal	Male
10582_36	negative	rectal	Male
10584_7	positive	rectal	Male
10603_1	positive	rectal	Male
10605_22	negative	rectal	Male
10606_34	negative	rectal	Male
10608_9	positive	rectal	Male
10613_33	positive	rectal	Male
10618_190	NA	rectal	Male
10623_19	NA	rectal	Male
10627_87	negative	rectal	Male
10630_5	negative	rectal	Male
10637_50	NA	rectal	Male
10638_1	NA	rectal	Male
10667_78	negative	rectal	Male
10668_5	NA	rectal	Male
10675_223	negative	rectal	Male
10693_43	negative	rectal	Male
10695_12	NA	rectal	Male
10700_10	NA	rectal	Male
10703_203	negative	rectal	Male
10704_91	NA	rectal	Male
10708_3	negative	rectal	Male
10710_23	NA	rectal	Male
10713_151	NA	rectal	Male
10716_35	negative	rectal	Male
10722_13	NA	rectal	Male
10734_339	negative	rectal	Male
10737_96	NA	rectal	Male
10748_216	negative	rectal	Male
10753_31	positive	rectal	Male
10754_113	negative	rectal	Male
10758_2	negative	rectal	Male
10761_5	NA	rectal	Male
10762_2	negative	rectal	Male
10767_52	negative	rectal	Male
10772_21	negative	rectal	Male
10781_19	negative	rectal	Male
10785_8	NA	rectal	Male
10798_4	NA	rectal	Male
10809_14	negative	rectal	Male
10814_7	negative	rectal	Male
10816_150	negative	rectal	Male
10817_26	negative	rectal	Male
10818_36	negative	rectal	Male
10833_64	positive	rectal	Male
10835_25	positive	rectal	Male
10842_7	negative	rectal	Male
10847_1	negative	rectal	Male
10851_77	negative	rectal	Male
10852_114	negative	rectal	Male
10866_60	negative	rectal	Male
10889_2	negative	rectal	Male
10890_135	negative	rectal	Male
10892_8	negative	rectal	Male
10895_28	negative	rectal	Male
10900_272	negative	rectal	Male
10902_53	negative	rectal	Male
10903_50	positive	rectal	Male
10910_6	negative	rectal	Male
10916_44	positive	rectal	Male
10933_107	negative	rectal	Male
10938_13	negative	rectal	Male
10939_16	negative	rectal	Male
10940_25	positive	rectal	Male
10945_11	negative	rectal	Male
10948_14	positive	rectal	Male
10953_14	negative	rectal	Male
10955_4	negative	rectal	Male
10956_82	NA	rectal	Male
10959_125	negative	rectal	Male
10961_15	negative	rectal	Male
10974_20	positive	rectal	Male
10975_59	negative	rectal	Male
10977_55	positive	rectal	Male
10981_56	NA	rectal	Male
11067_13	NA	rectal	Male
11071_1	NA	rectal	Male
11098_1	positive	rectal	Male
11107_25	NA	rectal	Male
11109_56	negative	rectal	Male
11110_4	negative	rectal	Male
11112_18	NA	rectal	Male
11116_16	positive	rectal	Male
11118_107	negative	rectal	Male
11120_49	negative	rectal	Male
11122_97	NA	rectal	Male
11126_102	NA	rectal	Male
11128_29	positive	rectal	Male
11129_66	negative	rectal	Male
11130_158	negative	rectal	Male
11135_5	NA	rectal	Male
11137_43	negative	rectal	Male
11140_56	positive	rectal	Male
11143_32	negative	rectal	Male
11144_10	NA	rectal	Male
11145_72	positive	rectal	Male
11146_4	NA	rectal	Male
11147_17	NA	rectal	Male
11149_3	NA	rectal	Male
11152_46	negative	rectal	Male
11154_3	NA	rectal	Male
11155_16	NA	rectal	Male
11163_7	NA	rectal	Male
11164_7	negative	rectal	Male
11167_6	negative	rectal	Male
11168_3	NA	rectal	Male
11173_29	positive	rectal	Male
11174_8	NA	rectal	Male
11177_16	negative	rectal	Male
11178_21	negative	rectal	Male
11179_7	NA	rectal	Male
11180_17	negative	rectal	Male
11185_145	negative	rectal	Male
11192_168	positive	rectal	Male
11196_31	positive	rectal	Male
11198_37	negative	rectal	Male
11201_19	NA	rectal	Male
11202_70	negative	rectal	Male
11205_10	NA	rectal	Male
11208_15	negative	rectal	Male
11212_7	positive	rectal	Male
11214_40	negative	rectal	Male
11218_84	negative	rectal	Male
11228_37	negative	rectal	Male
11237_49	positive	rectal	Male
11239_49	positive	rectal	Male
11241_8	negative	rectal	Male
11242_33	NA	rectal	Male
11243_90	positive	rectal	Male
11252_30	negative	rectal	Male
11254_13	negative	rectal	Male
11257_1	positive	rectal	Male
11258_41	positive	rectal	Male
11260_47	negative	rectal	Male
11263_57	negative	rectal	Male
11265_8	NA	rectal	Male
11270_17	NA	rectal	Male
11273_176	negative	rectal	Male
11275_94	negative	rectal	Male
11278_4	negative	rectal	Male
11280_6	NA	rectal	Male
11281_6	negative	rectal	Male
11283_13	negative	rectal	Male
11284_24	NA	rectal	Male
11287_14	positive	rectal	Male
11288_26	negative	rectal	Male
11289_31	NA	rectal	Male
11293_14	positive	rectal	Male
11308_8	positive	rectal	Male
11311_79	negative	rectal	Male
11312_40	negative	rectal	Male
11315_148	negative	rectal	Male
11319_106	NA	rectal	Male
11320_29	negative	rectal	Male
11325_8	negative	rectal	Male
11330_15	negative	rectal	Male
11333_82	negative	rectal	Male
11336_9	NA	rectal	Male
11347_9	negative	rectal	Male
11350_30	NA	rectal	Male
11351_233	negative	rectal	Male
11352_42	NA	rectal	Male
11354_21	NA	rectal	Male
11355_10	negative	rectal	Male
11360_39	negative	rectal	Male
11361_73	NA	rectal	Male
11370_20	negative	rectal	Male
11372_2	negative	rectal	Male
11378_37	NA	rectal	Male
11380_84	negative	rectal	Male
11387_3	negative	rectal	Male
11388_75	positive	rectal	Male
11396_39	negative	rectal	Male
11401_181	negative	rectal	Male
11402_17	NA	rectal	Male
11406_82	negative	rectal	Male
11407_57	NA	rectal	Male
11421_10	negative	rectal	Male
11422_2	NA	rectal	Male
11424_4	positive	rectal	Male
11425_31	negative	rectal	Male
11429_80	negative	rectal	Male
11431_235	positive	rectal	Male
11439_88	negative	rectal	Male
11440_58	negative	rectal	Male
11441_11	positive	rectal	Male
11444_49	NA	rectal	Male
11448_34	negative	rectal	Male
11454_87	positive	rectal	Male
11456_2	negative	rectal	Male
11457_53	negative	rectal	Male
11459_81	negative	rectal	Male
11464_9	negative	rectal	Male
11465_4	negative	rectal	Male
11468_15	negative	rectal	Male
11476_43	NA	rectal	Male
11486_26	NA	rectal	Male
11490_42	NA	rectal	Male
11510_31	positive	rectal	Male
11513_92	negative	rectal	Male
11514_196	negative	rectal	Male
11530_37	negative	rectal	Male
11534_6	positive	rectal	Male
11537_12	positive	rectal	Male
11539_4	negative	rectal	Male
11542_11	negative	rectal	Male
11543_84	negative	rectal	Male
11546_7	NA	rectal	Male
11549_6	negative	rectal	Male
11563_51	negative	rectal	Male
11565_58	NA	rectal	Male
11567_23	NA	rectal	Male
11568_2	positive	rectal	Male
11570_94	negative	rectal	Male
11571_75	positive	rectal	Male
11572_4	NA	rectal	Male
11573_3	NA	rectal	Male
11587_5	negative	rectal	Male
11591_43	NA	rectal	Male
11592_1	negative	rectal	Male
11593_21	NA	rectal	Male
11617_1	NA	rectal	Male
11633_89	negative	rectal	Male
11636_33	NA	rectal	Male
11638_42	negative	rectal	Male
11643_73	negative	rectal	Male
11646_4	negative	rectal	Male
11647_6	negative	rectal	Male
11654_77	NA	rectal	Male
11657_86	NA	rectal	Male
11664_32	NA	rectal	Male
11666_72	negative	rectal	Male
11667_29	NA	rectal	Male
11671_19	NA	rectal	Male
11672_17	negative	rectal	Male
11678_105	negative	rectal	Male
11681_8	positive	rectal	Male
11682_7	negative	rectal	Male
11683_19	NA	rectal	Male
11692_21	negative	rectal	Male
11696_7	positive	rectal	Male
11708_2	positive	rectal	Male
11709_29	negative	rectal	Male
11716_28	NA	rectal	Male
11837_7	NA	rectal	Male
11838_130	negative	rectal	Male
11872_9	negative	rectal	Male
11910_27	negative	rectal	Male
11926_23	negative	rectal	Male
11967_23	negative	rectal	Male
12001_7	negative	rectal	Male
12008_3	positive	rectal	Male
12014_19	negative	rectal	Male
12020_39	NA	rectal	Male
12022_12	negative	rectal	Male
12030_82	negative	rectal	Male
12034_28	NA	rectal	Male
12041_33	negative	rectal	Male
12046_51	negative	rectal	Male
12329_21	negative	rectal	Male
12332_7	negative	rectal	Male
12333_87	negative	rectal	Male
12334_25	negative	rectal	Male
12340_17	NA	rectal	Male
12341_8	negative	rectal	Male
12343_14	NA	rectal	Male
12345_4	negative	rectal	Male
12350_86	negative	rectal	Male
12357_41	NA	rectal	Male
12361_102	negative	rectal	Male
12363_70	negative	rectal	Male
12382_2	negative	rectal	Male
12384_92	positive	rectal	Male
12385_4	positive	rectal	Male
12389_4	negative	rectal	Male
12391_27	negative	rectal	Male
12392_30	negative	rectal	Male
12396_19	positive	rectal	Male
12399_194	negative	rectal	Male
12400_25	NA	rectal	Male
12401_3	negative	rectal	Male
