sequence_id	direction_group	outcome	group
11149_3	NA	overall	Sex-combined
11152_46	positive	overall	Sex-combined
11154_3	NA	overall	Sex-combined
11155_16	NA	overall	Sex-combined
11158_40	negative	overall	Sex-combined
11161_5	negative	overall	Sex-combined
11163_7	NA	overall	Sex-combined
11164_7	negative	overall	Sex-combined
11168_3	NA	overall	Sex-combined
11174_8	NA	overall	Sex-combined
11177_16	negative	overall	Sex-combined
11178_21	negative	overall	Sex-combined
11179_7	NA	overall	Sex-combined
11180_17	negative	overall	Sex-combined
11185_145	negative	overall	Sex-combined
11192_168	positive	overall	Sex-combined
11198_37	negative	overall	Sex-combined
11201_19	NA	overall	Sex-combined
11205_10	NA	overall	Sex-combined
11208_15	negative	overall	Sex-combined
11212_7	negative	overall	Sex-combined
11214_40	negative	overall	Sex-combined
11215_6	positive	overall	Sex-combined
11218_84	negative	overall	Sex-combined
11219_95	negative	overall	Sex-combined
11226_16	positive	overall	Sex-combined
11228_37	negative	overall	Sex-combined
11229_16	negative	overall	Sex-combined
11237_49	positive	overall	Sex-combined
11239_49	positive	overall	Sex-combined
11241_8	negative	overall	Sex-combined
11242_33	NA	overall	Sex-combined
11248_43	negative	overall	Sex-combined
11252_30	negative	overall	Sex-combined
11257_1	positive	overall	Sex-combined
11258_41	negative	overall	Sex-combined
11260_47	negative	overall	Sex-combined
11262_39	positive	overall	Sex-combined
11265_8	NA	overall	Sex-combined
11270_17	NA	overall	Sex-combined
11273_176	negative	overall	Sex-combined
11275_94	negative	overall	Sex-combined
11280_6	NA	overall	Sex-combined
11281_6	negative	overall	Sex-combined
11284_24	NA	overall	Sex-combined
11286_78	positive	overall	Sex-combined
11287_14	positive	overall	Sex-combined
11288_26	negative	overall	Sex-combined
11289_31	NA	overall	Sex-combined
11293_14	negative	overall	Sex-combined
11300_32	positive	overall	Sex-combined
11302_237	negative	overall	Sex-combined
11303_7	positive	overall	Sex-combined
11307_33	positive	overall	Sex-combined
11308_8	positive	overall	Sex-combined
11312_40	negative	overall	Sex-combined
11313_100	positive	overall	Sex-combined
11315_148	negative	overall	Sex-combined
11319_106	NA	overall	Sex-combined
11320_29	negative	overall	Sex-combined
11330_15	negative	overall	Sex-combined
11333_82	positive	overall	Sex-combined
11336_9	NA	overall	Sex-combined
11347_9	negative	overall	Sex-combined
11348_132	negative	overall	Sex-combined
11350_30	NA	overall	Sex-combined
11351_233	negative	overall	Sex-combined
11352_42	NA	overall	Sex-combined
11354_21	NA	overall	Sex-combined
11355_10	negative	overall	Sex-combined
11358_15	positive	overall	Sex-combined
11360_39	negative	overall	Sex-combined
11361_73	NA	overall	Sex-combined
11370_20	negative	overall	Sex-combined
11372_2	negative	overall	Sex-combined
11377_19	negative	overall	Sex-combined
11378_37	NA	overall	Sex-combined
11380_84	negative	overall	Sex-combined
11390_24	positive	overall	Sex-combined
11401_181	negative	overall	Sex-combined
11402_17	NA	overall	Sex-combined
11406_82	negative	overall	Sex-combined
11407_57	NA	overall	Sex-combined
11416_23	negative	overall	Sex-combined
11421_10	positive	overall	Sex-combined
11422_2	NA	overall	Sex-combined
11424_4	positive	overall	Sex-combined
11425_31	negative	overall	Sex-combined
11429_80	negative	overall	Sex-combined
11431_235	positive	overall	Sex-combined
11441_11	positive	overall	Sex-combined
11444_49	NA	overall	Sex-combined
11448_34	negative	overall	Sex-combined
11454_87	positive	overall	Sex-combined
11459_81	negative	overall	Sex-combined
11464_9	negative	overall	Sex-combined
11465_4	negative	overall	Sex-combined
11468_15	positive	overall	Sex-combined
11476_43	NA	overall	Sex-combined
11486_26	NA	overall	Sex-combined
11490_42	NA	overall	Sex-combined
11510_31	negative	overall	Sex-combined
11513_92	negative	overall	Sex-combined
11514_196	negative	overall	Sex-combined
11531_24	negative	overall	Sex-combined
11539_4	negative	overall	Sex-combined
11542_11	positive	overall	Sex-combined
11546_7	NA	overall	Sex-combined
11549_6	negative	overall	Sex-combined
11556_19	positive	overall	Sex-combined
11557_3	positive	overall	Sex-combined
11563_51	negative	overall	Sex-combined
11565_58	NA	overall	Sex-combined
11567_23	NA	overall	Sex-combined
11568_2	positive	overall	Sex-combined
11570_94	negative	overall	Sex-combined
11571_75	negative	overall	Sex-combined
11572_4	NA	overall	Sex-combined
11573_3	NA	overall	Sex-combined
11587_5	negative	overall	Sex-combined
11591_43	NA	overall	Sex-combined
11592_1	positive	overall	Sex-combined
11593_21	NA	overall	Sex-combined
11601_26	negative	overall	Sex-combined
11608_5	positive	overall	Sex-combined
11615_16	negative	overall	Sex-combined
11617_1	NA	overall	Sex-combined
11636_33	NA	overall	Sex-combined
11638_42	negative	overall	Sex-combined
11643_73	positive	overall	Sex-combined
11646_4	negative	overall	Sex-combined
11647_6	negative	overall	Sex-combined
11649_3	negative	overall	Sex-combined
11654_77	NA	overall	Sex-combined
11656_110	negative	overall	Sex-combined
11657_86	NA	overall	Sex-combined
11659_31	positive	overall	Sex-combined
11664_32	NA	overall	Sex-combined
11667_29	NA	overall	Sex-combined
11671_19	NA	overall	Sex-combined
11678_105	negative	overall	Sex-combined
11683_19	NA	overall	Sex-combined
11692_21	negative	overall	Sex-combined
11696_7	positive	overall	Sex-combined
11709_29	negative	overall	Sex-combined
11716_28	NA	overall	Sex-combined
11837_7	NA	overall	Sex-combined
11872_9	negative	overall	Sex-combined
11910_27	negative	overall	Sex-combined
11926_23	negative	overall	Sex-combined
11952_1	negative	overall	Sex-combined
11967_23	negative	overall	Sex-combined
11969_5	negative	overall	Sex-combined
11988_24	negative	overall	Sex-combined
11989_35	negative	overall	Sex-combined
12001_7	negative	overall	Sex-combined
12014_19	negative	overall	Sex-combined
12020_39	NA	overall	Sex-combined
12033_3	positive	overall	Sex-combined
12034_28	NA	overall	Sex-combined
12041_33	negative	overall	Sex-combined
12046_51	negative	overall	Sex-combined
12329_21	negative	overall	Sex-combined
12332_7	negative	overall	Sex-combined
12333_87	negative	overall	Sex-combined
12334_25	negative	overall	Sex-combined
12338_27	negative	overall	Sex-combined
12340_17	NA	overall	Sex-combined
12341_8	negative	overall	Sex-combined
12343_14	NA	overall	Sex-combined
12345_4	negative	overall	Sex-combined
12350_86	negative	overall	Sex-combined
12357_41	NA	overall	Sex-combined
12361_102	negative	overall	Sex-combined
12363_70	negative	overall	Sex-combined
12366_16	positive	overall	Sex-combined
12382_2	positive	overall	Sex-combined
12384_92	positive	overall	Sex-combined
12389_4	negative	overall	Sex-combined
12391_27	negative	overall	Sex-combined
12392_30	negative	overall	Sex-combined
12396_19	positive	overall	Sex-combined
12400_25	NA	overall	Sex-combined
12401_3	positive	overall	Sex-combined
12403_30	negative	overall	Sex-combined
12411_60	positive	overall	Sex-combined
12417_46	negative	overall	Sex-combined
12420_10	negative	overall	Sex-combined
12423_38	NA	overall	Sex-combined
12425_104	negative	overall	Sex-combined
12427_8	negative	overall	Sex-combined
12428_2	NA	overall	Sex-combined
12430_78	NA	overall	Sex-combined
12431_13	positive	overall	Sex-combined
12432_23	positive	overall	Sex-combined
12433_8	positive	overall	Sex-combined
12436_84	positive	overall	Sex-combined
