sequence_id	direction_group	outcome	group
10000_28	positive	distal	Male
10003_15	positive	distal	Male
10008_43	positive	distal	Male
10011_65	positive	distal	Male
10012_5	positive	distal	Male
10014_31	positive	distal	Male
10015_119	NA	distal	Male
10023_32	positive	distal	Male
10024_44	positive	distal	Male
10035_6	negative	distal	Male
10036_201	positive	distal	Male
10041_3	positive	distal	Male
10042_8	NA	distal	Male
10044_12	positive	distal	Male
10046_55	negative	distal	Male
10047_12	negative	distal	Male
10053_5	NA	distal	Male
10063_10	NA	distal	Male
10064_12	negative	distal	Male
10074_128	NA	distal	Male
10075_75	positive	distal	Male
10078_5	NA	distal	Male
10080_9	NA	distal	Male
10081_17	positive	distal	Male
10082_251	positive	distal	Male
10085_25	positive	distal	Male
10088_37	negative	distal	Male
10342_55	NA	distal	Male
10344_334	positive	distal	Male
10346_5	negative	distal	Male
10356_21	positive	distal	Male
10361_25	NA	distal	Male
10362_35	NA	distal	Male
10363_13	negative	distal	Male
10364_6	NA	distal	Male
10391_1	negative	distal	Male
10418_36	negative	distal	Male
10425_3	NA	distal	Male
10426_21	positive	distal	Male
10428_1	negative	distal	Male
10430_31	positive	distal	Male
10438_19	positive	distal	Male
10442_1	negative	distal	Male
10447_18	NA	distal	Male
10449_31	positive	distal	Male
10453_7	positive	distal	Male
10454_99	NA	distal	Male
10455_196	positive	distal	Male
10462_14	NA	distal	Male
10464_6	positive	distal	Male
10490_3	NA	distal	Male
10499_1	negative	distal	Male
10506_53	NA	distal	Male
10507_166	positive	distal	Male
10510_62	NA	distal	Male
10511_10	positive	distal	Male
10512_13	negative	distal	Male
10514_5	negative	distal	Male
10527_22	positive	distal	Male
10530_8	positive	distal	Male
10531_18	NA	distal	Male
10534_40	NA	distal	Male
10535_25	positive	distal	Male
10539_30	positive	distal	Male
10546_2	positive	distal	Male
10550_37	positive	distal	Male
10553_8	NA	distal	Male
10557_6	positive	distal	Male
10558_26	positive	distal	Male
10560_1	positive	distal	Male
10561_5	positive	distal	Male
10562_42	NA	distal	Male
10563_13	NA	distal	Male
10565_19	negative	distal	Male
10571_14	positive	distal	Male
10572_65	positive	distal	Male
10580_14	NA	distal	Male
10582_36	positive	distal	Male
10603_1	positive	distal	Male
10606_34	negative	distal	Male
10608_9	positive	distal	Male
10612_18	negative	distal	Male
10613_33	positive	distal	Male
10615_18	negative	distal	Male
10618_190	NA	distal	Male
10620_21	negative	distal	Male
10621_26	negative	distal	Male
10623_19	NA	distal	Male
10627_87	positive	distal	Male
10630_5	negative	distal	Male
10637_50	NA	distal	Male
10638_1	NA	distal	Male
10643_16	positive	distal	Male
10647_18	positive	distal	Male
10666_7	positive	distal	Male
10667_78	positive	distal	Male
10668_5	NA	distal	Male
10675_223	positive	distal	Male
10677_9	positive	distal	Male
10695_12	NA	distal	Male
10700_10	NA	distal	Male
10703_203	positive	distal	Male
10704_91	NA	distal	Male
10708_3	negative	distal	Male
10710_23	NA	distal	Male
10713_151	NA	distal	Male
10714_7	negative	distal	Male
10716_35	positive	distal	Male
10722_13	NA	distal	Male
10734_339	positive	distal	Male
10737_96	NA	distal	Male
10748_216	positive	distal	Male
10754_113	negative	distal	Male
10758_2	negative	distal	Male
10760_107	positive	distal	Male
10761_5	NA	distal	Male
10762_2	negative	distal	Male
10772_21	positive	distal	Male
10781_19	negative	distal	Male
10785_8	NA	distal	Male
10798_4	NA	distal	Male
10809_14	positive	distal	Male
10814_7	positive	distal	Male
10815_2	positive	distal	Male
10816_150	negative	distal	Male
10817_26	positive	distal	Male
10818_36	negative	distal	Male
10825_12	negative	distal	Male
10832_24	negative	distal	Male
10833_64	positive	distal	Male
10847_1	positive	distal	Male
10851_77	negative	distal	Male
10882_12	positive	distal	Male
10885_36	positive	distal	Male
10889_2	negative	distal	Male
10890_135	positive	distal	Male
10892_8	positive	distal	Male
10895_28	positive	distal	Male
10902_53	positive	distal	Male
10903_50	negative	distal	Male
10907_116	negative	distal	Male
10910_6	positive	distal	Male
10916_44	positive	distal	Male
10924_258	negative	distal	Male
10933_107	positive	distal	Male
10938_13	negative	distal	Male
10940_25	positive	distal	Male
10945_11	positive	distal	Male
10953_14	negative	distal	Male
10956_82	NA	distal	Male
10959_125	positive	distal	Male
10961_15	negative	distal	Male
10974_20	negative	distal	Male
10975_59	positive	distal	Male
10981_56	NA	distal	Male
11067_13	NA	distal	Male
11071_1	NA	distal	Male
11103_24	negative	distal	Male
11107_25	NA	distal	Male
11109_56	positive	distal	Male
11110_4	positive	distal	Male
11112_18	NA	distal	Male
11116_16	positive	distal	Male
11118_107	positive	distal	Male
11122_97	NA	distal	Male
11126_102	NA	distal	Male
11128_29	positive	distal	Male
11129_66	positive	distal	Male
11130_158	negative	distal	Male
11134_30	positive	distal	Male
11135_5	NA	distal	Male
11137_43	positive	distal	Male
11140_56	positive	distal	Male
11142_11	negative	distal	Male
11143_32	positive	distal	Male
11144_10	NA	distal	Male
11145_72	negative	distal	Male
11146_4	NA	distal	Male
11147_17	NA	distal	Male
11149_3	NA	distal	Male
11152_46	negative	distal	Male
11154_3	NA	distal	Male
11155_16	NA	distal	Male
11158_40	positive	distal	Male
11160_56	negative	distal	Male
11163_7	NA	distal	Male
11164_7	positive	distal	Male
11167_6	positive	distal	Male
11168_3	NA	distal	Male
11174_8	NA	distal	Male
11177_16	negative	distal	Male
11178_21	positive	distal	Male
11179_7	NA	distal	Male
11180_17	positive	distal	Male
11185_145	positive	distal	Male
11192_168	positive	distal	Male
11198_37	positive	distal	Male
11201_19	NA	distal	Male
11205_10	NA	distal	Male
11207_3	positive	distal	Male
11208_15	negative	distal	Male
11212_7	negative	distal	Male
11214_40	negative	distal	Male
11215_6	negative	distal	Male
11218_84	negative	distal	Male
11219_95	positive	distal	Male
11229_16	negative	distal	Male
11241_8	negative	distal	Male
11242_33	NA	distal	Male
11247_20	positive	distal	Male
11252_30	positive	distal	Male
11254_13	positive	distal	Male
11257_1	positive	distal	Male
11260_47	positive	distal	Male
11265_8	NA	distal	Male
11266_8	positive	distal	Male
11270_17	NA	distal	Male
11273_176	negative	distal	Male
11278_4	positive	distal	Male
11280_6	NA	distal	Male
11281_6	positive	distal	Male
11283_13	positive	distal	Male
11284_24	NA	distal	Male
11286_78	positive	distal	Male
11287_14	positive	distal	Male
11288_26	negative	distal	Male
11289_31	NA	distal	Male
11292_13	positive	distal	Male
11293_14	negative	distal	Male
11300_32	positive	distal	Male
11303_7	positive	distal	Male
11308_8	positive	distal	Male
11311_79	negative	distal	Male
11312_40	positive	distal	Male
11313_100	negative	distal	Male
11315_148	positive	distal	Male
11319_106	NA	distal	Male
11320_29	negative	distal	Male
11327_56	positive	distal	Male
11333_82	positive	distal	Male
11336_9	NA	distal	Male
11347_9	negative	distal	Male
11348_132	negative	distal	Male
11350_30	NA	distal	Male
11351_233	negative	distal	Male
11352_42	NA	distal	Male
11354_21	NA	distal	Male
11360_39	negative	distal	Male
11361_73	NA	distal	Male
11372_2	positive	distal	Male
11377_19	negative	distal	Male
11378_37	NA	distal	Male
11380_84	positive	distal	Male
11383_41	positive	distal	Male
11390_24	positive	distal	Male
11396_39	positive	distal	Male
11402_17	NA	distal	Male
11405_150	positive	distal	Male
11407_57	NA	distal	Male
11421_10	positive	distal	Male
11422_2	NA	distal	Male
11424_4	positive	distal	Male
11425_31	positive	distal	Male
11429_80	positive	distal	Male
11430_49	positive	distal	Male
11431_235	positive	distal	Male
11432_11	positive	distal	Male
11439_88	positive	distal	Male
11440_58	negative	distal	Male
11444_49	NA	distal	Male
11448_34	negative	distal	Male
11454_87	positive	distal	Male
11456_2	positive	distal	Male
11459_81	positive	distal	Male
11464_9	positive	distal	Male
11465_4	positive	distal	Male
11468_15	positive	distal	Male
11476_43	NA	distal	Male
11486_26	NA	distal	Male
11490_42	NA	distal	Male
11510_31	negative	distal	Male
11513_92	positive	distal	Male
11514_196	positive	distal	Male
11534_6	positive	distal	Male
11536_9	negative	distal	Male
11537_12	positive	distal	Male
11539_4	positive	distal	Male
11540_37	negative	distal	Male
11542_11	positive	distal	Male
11546_7	NA	distal	Male
11547_84	positive	distal	Male
11551_16	positive	distal	Male
11557_3	negative	distal	Male
11560_76	positive	distal	Male
11563_51	positive	distal	Male
11565_58	NA	distal	Male
11567_23	NA	distal	Male
11568_2	negative	distal	Male
11570_94	positive	distal	Male
11571_75	positive	distal	Male
11572_4	NA	distal	Male
11573_3	NA	distal	Male
11591_43	NA	distal	Male
11592_1	positive	distal	Male
11593_21	NA	distal	Male
11601_26	negative	distal	Male
11608_5	positive	distal	Male
11617_1	NA	distal	Male
11633_89	positive	distal	Male
11636_33	NA	distal	Male
11646_4	negative	distal	Male
11647_6	positive	distal	Male
11654_77	NA	distal	Male
11656_110	positive	distal	Male
11657_86	NA	distal	Male
11659_31	negative	distal	Male
11664_32	NA	distal	Male
11666_72	positive	distal	Male
11667_29	NA	distal	Male
11671_19	NA	distal	Male
11672_17	positive	distal	Male
11681_8	positive	distal	Male
11682_7	positive	distal	Male
11683_19	NA	distal	Male
11696_7	negative	distal	Male
11709_29	negative	distal	Male
11716_28	NA	distal	Male
11825_27	positive	distal	Male
11837_7	NA	distal	Male
11838_130	positive	distal	Male
11872_9	negative	distal	Male
11952_1	positive	distal	Male
11967_23	positive	distal	Male
11988_24	positive	distal	Male
11989_35	positive	distal	Male
12001_7	positive	distal	Male
12008_3	negative	distal	Male
12014_19	positive	distal	Male
12020_39	NA	distal	Male
12022_12	negative	distal	Male
12030_82	positive	distal	Male
12033_3	positive	distal	Male
12034_28	NA	distal	Male
12046_51	positive	distal	Male
12329_21	positive	distal	Male
12332_7	negative	distal	Male
12333_87	negative	distal	Male
12338_27	negative	distal	Male
12340_17	NA	distal	Male
12341_8	negative	distal	Male
12343_14	NA	distal	Male
12345_4	positive	distal	Male
12357_41	NA	distal	Male
12361_102	positive	distal	Male
12363_70	positive	distal	Male
12381_26	positive	distal	Male
12382_2	positive	distal	Male
12384_92	positive	distal	Male
12385_4	positive	distal	Male
12386_11	negative	distal	Male
12389_4	positive	distal	Male
12391_27	positive	distal	Male
12396_19	positive	distal	Male
12400_25	NA	distal	Male
12401_3	positive	distal	Male
12403_30	positive	distal	Male
12411_60	positive	distal	Male
12415_122	positive	distal	Male
12417_46	negative	distal	Male
12420_10	positive	distal	Male
12423_38	NA	distal	Male
12427_8	positive	distal	Male
12428_2	NA	distal	Male
12430_78	NA	distal	Male
12437_18	positive	distal	Male
12438_127	NA	distal	Male
12439_67	NA	distal	Male
12444_39	NA	distal	Male
12445_50	positive	distal	Male
12449_16	NA	distal	Male
12450_42	positive	distal	Male
12451_62	positive	distal	Male
12452_32	positive	distal	Male
12456_5	positive	distal	Male
12457_10	negative	distal	Male
12459_13	negative	distal	Male
12462_20	NA	distal	Male
12463_7	positive	distal	Male
12469_19	positive	distal	Male
12473_48	positive	distal	Male
12475_48	positive	distal	Male
12478_15	NA	distal	Male
12480_9	positive	distal	Male
12482_5	positive	distal	Male
12484_67	positive	distal	Male
12486_8	positive	distal	Male
12488_9	positive	distal	Male
12493_42	positive	distal	Male
12494_99	positive	distal	Male
12497_29	NA	distal	Male
12499_108	negative	distal	Male
12503_5	negative	distal	Male
12504_26	positive	distal	Male
12508_9	positive	distal	Male
12511_83	positive	distal	Male
12513_8	NA	distal	Male
12515_45	negative	distal	Male
12516_13	positive	distal	Male
12521_3	positive	distal	Male
12524_18	positive	distal	Male
12527_50	positive	distal	Male
12528_40	positive	distal	Male
12530_14	positive	distal	Male
12531_5	positive	distal	Male
12533_135	positive	distal	Male
12538_19	NA	distal	Male
12546_1	positive	distal	Male
12549_33	positive	distal	Male
12553_5	NA	distal	Male
12554_10	negative	distal	Male
12556_7	NA	distal	Male
12560_9	negative	distal	Male
12562_1	negative	distal	Male
12563_2	NA	distal	Male
12569_25	NA	distal	Male
12571_14	negative	distal	Male
12575_30	positive	distal	Male
12577_100	NA	distal	Male
12583_77	NA	distal	Male
12585_39	positive	distal	Male
12591_27	NA	distal	Male
12594_5	negative	distal	Male
12604_16	positive	distal	Male
12605_1	positive	distal	Male
12612_37	negative	distal	Male
12621_55	negative	distal	Male
12630_8	positive	distal	Male
12632_14	positive	distal	Male
12633_3	positive	distal	Male
12634_79	positive	distal	Male
12635_9	positive	distal	Male
12636_113	NA	distal	Male
12637_7	NA	distal	Male
12641_3	negative	distal	Male
12647_52	NA	distal	Male
12650_43	negative	distal	Male
12651_21	positive	distal	Male
12652_37	NA	distal	Male
12653_13	negative	distal	Male
12655_30	positive	distal	Male
12658_72	negative	distal	Male
12659_13	NA	distal	Male
12661_44	NA	distal	Male
12662_82	NA	distal	Male
12663_1	negative	distal	Male
12664_19	NA	distal	Male
12668_7	positive	distal	Male
12669_30	NA	distal	Male
12671_35	positive	distal	Male
12675_14	positive	distal	Male
12676_1	positive	distal	Male
12677_164	negative	distal	Male
12681_63	positive	distal	Male
12682_5	positive	distal	Male
12683_156	NA	distal	Male
12684_5	NA	distal	Male
12686_15	NA	distal	Male
12689_56	NA	distal	Male
12690_33	positive	distal	Male
12692_56	NA	distal	Male
12693_2	positive	distal	Male
12696_166	NA	distal	Male
12698_72	NA	distal	Male
12700_9	NA	distal	Male
12702_13	positive	distal	Male
12704_26	positive	distal	Male
12705_9	NA	distal	Male
12706_2	negative	distal	Male
12708_91	negative	distal	Male
12709_63	negative	distal	Male
12711_19	NA	distal	Male
12712_9	NA	distal	Male
12713_365	positive	distal	Male
12715_30	negative	distal	Male
12716_3	positive	distal	Male
12717_65	positive	distal	Male
12718_43	NA	distal	Male
12721_4	NA	distal	Male
12729_12	NA	distal	Male
12730_3	negative	distal	Male
12732_13	positive	distal	Male
12734_112	NA	distal	Male
12735_39	NA	distal	Male
12738_43	positive	distal	Male
12743_18	NA	distal	Male
12746_4	negative	distal	Male
12748_6	positive	distal	Male
12750_9	positive	distal	Male
12754_14	positive	distal	Male
12756_3	positive	distal	Male
12760_34	positive	distal	Male
12761_12	NA	distal	Male
12764_3	negative	distal	Male
12779_30	NA	distal	Male
12781_2	NA	distal	Male
12784_10	NA	distal	Male
12786_61	positive	distal	Male
12790_10	positive	distal	Male
12793_4	NA	distal	Male
12794_6	positive	distal	Male
12795_2	NA	distal	Male
12798_46	NA	distal	Male
12799_65	NA	distal	Male
12801_33	NA	distal	Male
12807_89	NA	distal	Male
12808_103	NA	distal	Male
12811_55	NA	distal	Male
12813_18	positive	distal	Male
12817_1	positive	distal	Male
12818_159	negative	distal	Male
12821_6	NA	distal	Male
12826_5	positive	distal	Male
12827_37	positive	distal	Male
12831_21	negative	distal	Male
12842_43	NA	distal	Male
12844_10	NA	distal	Male
12845_18	positive	distal	Male
12848_9	NA	distal	Male
12851_5	negative	distal	Male
12855_16	positive	distal	Male
12859_33	positive	distal	Male
12862_14	positive	distal	Male
12864_9	positive	distal	Male
12867_40	NA	distal	Male
12873_11	NA	distal	Male
12891_1	positive	distal	Male
12892_10	positive	distal	Male
12894_3	positive	distal	Male
12904_180	NA	distal	Male
12923_51	positive	distal	Male
12925_105	positive	distal	Male
12931_16	NA	distal	Male
12933_17	positive	distal	Male
12939_1	positive	distal	Male
12940_35	positive	distal	Male
12945_33	positive	distal	Male
12957_62	NA	distal	Male
12960_9	negative	distal	Male
12968_2	positive	distal	Male
12970_35	positive	distal	Male
12975_11	positive	distal	Male
12976_49	positive	distal	Male
12986_12	positive	distal	Male
12990_39	NA	distal	Male
12991_49	positive	distal	Male
12993_21	negative	distal	Male
13007_66	positive	distal	Male
13011_20	positive	distal	Male
13013_41	positive	distal	Male
13025_4	positive	distal	Male
13027_20	NA	distal	Male
13032_1	positive	distal	Male
13039_1	negative	distal	Male
13041_47	NA	distal	Male
13056_18	positive	distal	Male
13059_33	positive	distal	Male
13062_4	NA	distal	Male
13066_42	negative	distal	Male
13068_139	positive	distal	Male
13083_18	positive	distal	Male
13085_18	NA	distal	Male
13090_17	negative	distal	Male
13093_6	negative	distal	Male
13094_75	positive	distal	Male
13095_51	positive	distal	Male
13097_11	positive	distal	Male
13098_93	negative	distal	Male
13101_60	NA	distal	Male
13105_7	negative	distal	Male
13109_82	positive	distal	Male
13111_79	positive	distal	Male
13112_179	positive	distal	Male
13113_7	positive	distal	Male
13122_19	positive	distal	Male
13123_3	negative	distal	Male
13124_20	negative	distal	Male
13125_45	positive	distal	Male
13126_52	positive	distal	Male
13130_150	NA	distal	Male
13131_5	positive	distal	Male
13132_14	negative	distal	Male
13242_134	positive	distal	Male
13268_45	negative	distal	Male
13377_3	positive	distal	Male
13378_80	positive	distal	Male
13381_49	positive	distal	Male
13384_110	NA	distal	Male
13386_248	positive	distal	Male
13387_55	positive	distal	Male
13388_57	negative	distal	Male
13392_13	negative	distal	Male
13399_33	positive	distal	Male
13405_61	positive	distal	Male
13412_5	NA	distal	Male
13416_8	positive	distal	Male
13427_66	negative	distal	Male
13429_3	positive	distal	Male
13430_50	NA	distal	Male
13431_74	NA	distal	Male
13434_172	NA	distal	Male
13436_54	NA	distal	Male
13439_6	positive	distal	Male
13441_30	negative	distal	Male
13447_42	negative	distal	Male
13449_25	NA	distal	Male
13450_49	negative	distal	Male
13451_2	NA	distal	Male
13453_2	negative	distal	Male
13460_4	positive	distal	Male
13463_1	negative	distal	Male
13464_8	negative	distal	Male
13465_5	positive	distal	Male
13468_5	NA	distal	Male
13470_43	positive	distal	Male
13473_55	positive	distal	Male
13474_40	NA	distal	Male
13476_16	NA	distal	Male
13479_8	positive	distal	Male
13481_24	NA	distal	Male
