sequence_id	direction_group	outcome	group
10001_7	positive	distal	Sex-combined
10008_43	positive	distal	Sex-combined
10011_65	negative	distal	Sex-combined
10012_5	negative	distal	Sex-combined
10014_31	negative	distal	Sex-combined
10015_119	NA	distal	Sex-combined
10023_32	negative	distal	Sex-combined
10024_44	negative	distal	Sex-combined
10036_201	positive	distal	Sex-combined
10037_98	negative	distal	Sex-combined
10041_3	positive	distal	Sex-combined
10042_8	NA	distal	Sex-combined
10044_12	negative	distal	Sex-combined
10046_55	negative	distal	Sex-combined
10047_12	negative	distal	Sex-combined
10048_7	negative	distal	Sex-combined
10053_5	NA	distal	Sex-combined
10063_10	NA	distal	Sex-combined
10070_22	positive	distal	Sex-combined
10073_22	negative	distal	Sex-combined
10074_128	NA	distal	Sex-combined
10075_75	positive	distal	Sex-combined
10078_5	NA	distal	Sex-combined
10080_9	NA	distal	Sex-combined
10082_251	positive	distal	Sex-combined
10088_37	negative	distal	Sex-combined
10089_7	positive	distal	Sex-combined
10342_55	NA	distal	Sex-combined
10346_5	negative	distal	Sex-combined
10361_25	NA	distal	Sex-combined
10362_35	NA	distal	Sex-combined
10363_13	negative	distal	Sex-combined
10364_6	NA	distal	Sex-combined
10372_18	positive	distal	Sex-combined
10391_1	negative	distal	Sex-combined
10424_31	positive	distal	Sex-combined
10425_3	NA	distal	Sex-combined
10442_1	negative	distal	Sex-combined
10445_20	negative	distal	Sex-combined
10447_18	NA	distal	Sex-combined
10451_11	negative	distal	Sex-combined
10453_7	negative	distal	Sex-combined
10454_99	NA	distal	Sex-combined
10462_14	NA	distal	Sex-combined
10464_6	positive	distal	Sex-combined
10490_3	NA	distal	Sex-combined
10499_1	negative	distal	Sex-combined
10506_53	NA	distal	Sex-combined
10507_166	negative	distal	Sex-combined
10510_62	NA	distal	Sex-combined
10511_10	positive	distal	Sex-combined
10512_13	negative	distal	Sex-combined
10514_5	negative	distal	Sex-combined
10530_8	negative	distal	Sex-combined
10531_18	NA	distal	Sex-combined
10534_40	NA	distal	Sex-combined
10539_30	negative	distal	Sex-combined
10546_2	negative	distal	Sex-combined
10550_37	negative	distal	Sex-combined
10551_7	positive	distal	Sex-combined
10552_88	positive	distal	Sex-combined
10553_8	NA	distal	Sex-combined
10558_26	positive	distal	Sex-combined
10562_42	NA	distal	Sex-combined
10563_13	NA	distal	Sex-combined
10565_19	negative	distal	Sex-combined
10572_65	positive	distal	Sex-combined
10574_10	negative	distal	Sex-combined
10580_14	NA	distal	Sex-combined
10603_1	positive	distal	Sex-combined
10605_22	negative	distal	Sex-combined
10606_34	negative	distal	Sex-combined
10608_9	positive	distal	Sex-combined
10612_18	negative	distal	Sex-combined
10613_33	positive	distal	Sex-combined
10615_18	negative	distal	Sex-combined
10618_190	NA	distal	Sex-combined
10620_21	negative	distal	Sex-combined
10621_26	negative	distal	Sex-combined
10623_19	NA	distal	Sex-combined
10627_87	positive	distal	Sex-combined
10637_50	NA	distal	Sex-combined
10638_1	NA	distal	Sex-combined
10666_7	positive	distal	Sex-combined
10668_5	NA	distal	Sex-combined
10693_43	positive	distal	Sex-combined
10695_12	NA	distal	Sex-combined
10700_10	NA	distal	Sex-combined
10704_91	NA	distal	Sex-combined
10708_3	negative	distal	Sex-combined
10710_23	NA	distal	Sex-combined
10713_151	NA	distal	Sex-combined
10714_7	negative	distal	Sex-combined
10722_13	NA	distal	Sex-combined
10734_339	negative	distal	Sex-combined
10737_96	NA	distal	Sex-combined
10752_8	negative	distal	Sex-combined
10753_31	negative	distal	Sex-combined
10754_113	negative	distal	Sex-combined
10758_2	negative	distal	Sex-combined
10760_107	positive	distal	Sex-combined
10761_5	NA	distal	Sex-combined
10762_2	positive	distal	Sex-combined
10767_52	negative	distal	Sex-combined
10772_21	negative	distal	Sex-combined
10781_19	negative	distal	Sex-combined
10785_8	NA	distal	Sex-combined
10798_4	NA	distal	Sex-combined
10809_14	positive	distal	Sex-combined
10815_2	positive	distal	Sex-combined
10816_150	negative	distal	Sex-combined
10825_12	negative	distal	Sex-combined
10832_24	positive	distal	Sex-combined
10833_64	positive	distal	Sex-combined
10851_77	negative	distal	Sex-combined
10852_114	positive	distal	Sex-combined
10882_12	negative	distal	Sex-combined
10889_2	negative	distal	Sex-combined
10890_135	negative	distal	Sex-combined
10892_8	negative	distal	Sex-combined
10902_53	positive	distal	Sex-combined
10908_2	positive	distal	Sex-combined
10910_6	negative	distal	Sex-combined
10916_44	positive	distal	Sex-combined
10939_16	negative	distal	Sex-combined
10940_25	positive	distal	Sex-combined
10953_14	negative	distal	Sex-combined
10955_4	negative	distal	Sex-combined
10956_82	NA	distal	Sex-combined
10961_15	negative	distal	Sex-combined
10974_20	negative	distal	Sex-combined
10975_59	negative	distal	Sex-combined
10981_56	NA	distal	Sex-combined
10990_21	negative	distal	Sex-combined
11067_13	NA	distal	Sex-combined
11071_1	NA	distal	Sex-combined
11094_104	negative	distal	Sex-combined
11096_57	positive	distal	Sex-combined
11103_24	negative	distal	Sex-combined
11107_25	NA	distal	Sex-combined
11109_56	positive	distal	Sex-combined
11110_4	negative	distal	Sex-combined
11112_18	NA	distal	Sex-combined
11120_49	negative	distal	Sex-combined
11122_97	NA	distal	Sex-combined
11126_102	NA	distal	Sex-combined
11129_66	negative	distal	Sex-combined
11130_158	negative	distal	Sex-combined
11135_5	NA	distal	Sex-combined
11137_43	negative	distal	Sex-combined
11142_11	negative	distal	Sex-combined
11144_10	NA	distal	Sex-combined
11145_72	negative	distal	Sex-combined
11146_4	NA	distal	Sex-combined
11147_17	NA	distal	Sex-combined
11149_3	NA	distal	Sex-combined
11154_3	NA	distal	Sex-combined
11155_16	NA	distal	Sex-combined
11158_40	negative	distal	Sex-combined
11163_7	NA	distal	Sex-combined
11164_7	negative	distal	Sex-combined
11168_3	NA	distal	Sex-combined
11174_8	NA	distal	Sex-combined
11177_16	negative	distal	Sex-combined
11178_21	positive	distal	Sex-combined
11179_7	NA	distal	Sex-combined
11180_17	negative	distal	Sex-combined
11185_145	negative	distal	Sex-combined
11192_168	positive	distal	Sex-combined
11196_31	positive	distal	Sex-combined
11198_37	negative	distal	Sex-combined
11201_19	NA	distal	Sex-combined
11205_10	NA	distal	Sex-combined
11207_3	negative	distal	Sex-combined
11208_15	negative	distal	Sex-combined
11211_7	negative	distal	Sex-combined
11212_7	negative	distal	Sex-combined
11214_40	negative	distal	Sex-combined
11215_6	positive	distal	Sex-combined
11218_84	negative	distal	Sex-combined
11219_95	positive	distal	Sex-combined
11228_37	negative	distal	Sex-combined
11229_16	negative	distal	Sex-combined
11241_8	negative	distal	Sex-combined
11242_33	NA	distal	Sex-combined
11243_90	negative	distal	Sex-combined
11248_43	positive	distal	Sex-combined
11252_30	negative	distal	Sex-combined
11257_1	positive	distal	Sex-combined
11258_41	negative	distal	Sex-combined
11262_39	positive	distal	Sex-combined
11265_8	NA	distal	Sex-combined
11270_17	NA	distal	Sex-combined
11273_176	negative	distal	Sex-combined
11277_23	positive	distal	Sex-combined
11278_4	positive	distal	Sex-combined
11280_6	NA	distal	Sex-combined
11284_24	NA	distal	Sex-combined
11286_78	positive	distal	Sex-combined
11287_14	positive	distal	Sex-combined
11289_31	NA	distal	Sex-combined
11293_14	negative	distal	Sex-combined
11300_32	positive	distal	Sex-combined
11308_8	positive	distal	Sex-combined
11311_79	negative	distal	Sex-combined
11312_40	negative	distal	Sex-combined
11315_148	negative	distal	Sex-combined
11319_106	NA	distal	Sex-combined
11320_29	negative	distal	Sex-combined
11330_15	negative	distal	Sex-combined
11336_9	NA	distal	Sex-combined
11347_9	negative	distal	Sex-combined
11348_132	negative	distal	Sex-combined
11350_30	NA	distal	Sex-combined
11352_42	NA	distal	Sex-combined
11354_21	NA	distal	Sex-combined
11358_15	positive	distal	Sex-combined
11360_39	negative	distal	Sex-combined
11361_73	NA	distal	Sex-combined
11370_20	negative	distal	Sex-combined
11377_19	negative	distal	Sex-combined
11378_37	NA	distal	Sex-combined
11380_84	negative	distal	Sex-combined
11390_24	positive	distal	Sex-combined
11401_181	negative	distal	Sex-combined
11402_17	NA	distal	Sex-combined
11405_150	negative	distal	Sex-combined
11407_57	NA	distal	Sex-combined
11416_23	negative	distal	Sex-combined
11421_10	positive	distal	Sex-combined
11422_2	NA	distal	Sex-combined
11424_4	positive	distal	Sex-combined
11425_31	negative	distal	Sex-combined
11431_235	positive	distal	Sex-combined
11444_49	NA	distal	Sex-combined
11448_34	negative	distal	Sex-combined
11454_87	positive	distal	Sex-combined
11459_81	negative	distal	Sex-combined
11464_9	negative	distal	Sex-combined
11465_4	negative	distal	Sex-combined
11468_15	positive	distal	Sex-combined
11476_43	NA	distal	Sex-combined
11486_26	NA	distal	Sex-combined
11490_42	NA	distal	Sex-combined
11510_31	negative	distal	Sex-combined
11513_92	negative	distal	Sex-combined
11537_12	negative	distal	Sex-combined
11539_4	negative	distal	Sex-combined
11540_37	negative	distal	Sex-combined
11542_11	positive	distal	Sex-combined
11546_7	NA	distal	Sex-combined
11551_16	positive	distal	Sex-combined
11556_19	positive	distal	Sex-combined
11557_3	positive	distal	Sex-combined
11565_58	NA	distal	Sex-combined
11567_23	NA	distal	Sex-combined
11571_75	positive	distal	Sex-combined
11572_4	NA	distal	Sex-combined
11573_3	NA	distal	Sex-combined
11587_5	negative	distal	Sex-combined
11591_43	NA	distal	Sex-combined
11593_21	NA	distal	Sex-combined
11601_26	negative	distal	Sex-combined
11608_5	positive	distal	Sex-combined
11617_1	NA	distal	Sex-combined
11633_89	negative	distal	Sex-combined
11636_33	NA	distal	Sex-combined
11649_3	negative	distal	Sex-combined
11654_77	NA	distal	Sex-combined
11657_86	NA	distal	Sex-combined
11664_32	NA	distal	Sex-combined
11667_29	NA	distal	Sex-combined
11671_19	NA	distal	Sex-combined
11678_105	negative	distal	Sex-combined
11681_8	positive	distal	Sex-combined
11683_19	NA	distal	Sex-combined
11692_21	negative	distal	Sex-combined
11696_7	negative	distal	Sex-combined
11708_2	positive	distal	Sex-combined
11709_29	negative	distal	Sex-combined
11716_28	NA	distal	Sex-combined
11837_7	NA	distal	Sex-combined
11872_9	negative	distal	Sex-combined
11926_23	negative	distal	Sex-combined
11952_1	negative	distal	Sex-combined
11988_24	negative	distal	Sex-combined
11989_35	negative	distal	Sex-combined
12001_7	negative	distal	Sex-combined
12008_3	negative	distal	Sex-combined
12014_19	negative	distal	Sex-combined
12020_39	NA	distal	Sex-combined
12022_12	negative	distal	Sex-combined
12034_28	NA	distal	Sex-combined
12041_33	negative	distal	Sex-combined
12046_51	negative	distal	Sex-combined
12332_7	negative	distal	Sex-combined
12333_87	negative	distal	Sex-combined
12334_25	negative	distal	Sex-combined
12338_27	negative	distal	Sex-combined
12340_17	NA	distal	Sex-combined
12341_8	negative	distal	Sex-combined
12343_14	NA	distal	Sex-combined
12350_86	negative	distal	Sex-combined
12357_41	NA	distal	Sex-combined
12361_102	positive	distal	Sex-combined
12366_16	positive	distal	Sex-combined
12376_85	positive	distal	Sex-combined
12378_71	positive	distal	Sex-combined
12381_26	positive	distal	Sex-combined
12382_2	positive	distal	Sex-combined
12385_4	positive	distal	Sex-combined
12386_11	negative	distal	Sex-combined
12391_27	negative	distal	Sex-combined
12392_30	positive	distal	Sex-combined
12396_19	positive	distal	Sex-combined
12399_194	negative	distal	Sex-combined
12400_25	NA	distal	Sex-combined
12401_3	positive	distal	Sex-combined
12411_60	positive	distal	Sex-combined
12417_46	negative	distal	Sex-combined
12423_38	NA	distal	Sex-combined
12425_104	negative	distal	Sex-combined
12427_8	negative	distal	Sex-combined
12428_2	NA	distal	Sex-combined
12430_78	NA	distal	Sex-combined
12431_13	positive	distal	Sex-combined
12432_23	negative	distal	Sex-combined
12436_84	positive	distal	Sex-combined
12437_18	positive	distal	Sex-combined
12438_127	NA	distal	Sex-combined
12439_67	NA	distal	Sex-combined
12444_39	NA	distal	Sex-combined
12449_16	NA	distal	Sex-combined
12456_5	negative	distal	Sex-combined
12457_10	positive	distal	Sex-combined
12459_13	negative	distal	Sex-combined
12461_8	negative	distal	Sex-combined
12462_20	NA	distal	Sex-combined
12469_19	positive	distal	Sex-combined
12471_47	positive	distal	Sex-combined
12475_48	positive	distal	Sex-combined
12478_15	NA	distal	Sex-combined
12482_5	negative	distal	Sex-combined
12488_9	positive	distal	Sex-combined
12493_42	negative	distal	Sex-combined
12494_99	positive	distal	Sex-combined
12497_29	NA	distal	Sex-combined
12499_108	negative	distal	Sex-combined
12503_5	negative	distal	Sex-combined
