sequence_id	direction_group	outcome	group
10000_28	negative	proximal	Male
10001_7	negative	proximal	Male
10008_43	positive	proximal	Male
10012_5	negative	proximal	Male
10014_31	negative	proximal	Male
10015_119	NA	proximal	Male
10023_32	negative	proximal	Male
10024_44	negative	proximal	Male
10035_6	negative	proximal	Male
10036_201	positive	proximal	Male
10037_98	positive	proximal	Male
10041_3	positive	proximal	Male
10042_8	NA	proximal	Male
10046_55	positive	proximal	Male
10047_12	negative	proximal	Male
10053_5	NA	proximal	Male
10056_5	positive	proximal	Male
10063_10	NA	proximal	Male
10070_22	negative	proximal	Male
10073_22	negative	proximal	Male
10074_128	NA	proximal	Male
10075_75	negative	proximal	Male
10078_5	NA	proximal	Male
10080_9	NA	proximal	Male
10081_17	negative	proximal	Male
10082_251	positive	proximal	Male
10085_25	positive	proximal	Male
10342_55	NA	proximal	Male
10346_5	negative	proximal	Male
10356_21	negative	proximal	Male
10361_25	NA	proximal	Male
10362_35	NA	proximal	Male
10363_13	negative	proximal	Male
10364_6	NA	proximal	Male
10366_11	negative	proximal	Male
10390_21	negative	proximal	Male
10391_1	negative	proximal	Male
10419_1	negative	proximal	Male
10425_3	NA	proximal	Male
10426_21	negative	proximal	Male
10435_2	positive	proximal	Male
10442_1	positive	proximal	Male
10447_18	NA	proximal	Male
10449_31	negative	proximal	Male
10453_7	negative	proximal	Male
10454_99	NA	proximal	Male
10455_196	positive	proximal	Male
10462_14	NA	proximal	Male
10464_6	positive	proximal	Male
10490_3	NA	proximal	Male
10499_1	negative	proximal	Male
10506_53	NA	proximal	Male
10507_166	negative	proximal	Male
10510_62	NA	proximal	Male
10511_10	negative	proximal	Male
10512_13	negative	proximal	Male
10514_5	negative	proximal	Male
10530_8	negative	proximal	Male
10531_18	NA	proximal	Male
10534_40	NA	proximal	Male
10539_30	negative	proximal	Male
10546_2	negative	proximal	Male
10550_37	negative	proximal	Male
10552_88	negative	proximal	Male
10553_8	NA	proximal	Male
10557_6	positive	proximal	Male
10558_26	positive	proximal	Male
10562_42	NA	proximal	Male
10563_13	NA	proximal	Male
10569_28	negative	proximal	Male
10571_14	positive	proximal	Male
10572_65	negative	proximal	Male
10574_10	negative	proximal	Male
10575_31	positive	proximal	Male
10580_14	NA	proximal	Male
10582_36	negative	proximal	Male
10584_7	positive	proximal	Male
10600_24	negative	proximal	Male
10605_22	positive	proximal	Male
10608_9	positive	proximal	Male
10615_18	positive	proximal	Male
10618_190	NA	proximal	Male
10623_19	NA	proximal	Male
10627_87	negative	proximal	Male
10630_5	negative	proximal	Male
10637_50	NA	proximal	Male
10638_1	NA	proximal	Male
10643_16	negative	proximal	Male
10647_18	negative	proximal	Male
10667_78	negative	proximal	Male
10668_5	NA	proximal	Male
10675_223	negative	proximal	Male
10677_9	positive	proximal	Male
