sequence_id	direction_group	outcome	group
10000_28	positive	colon	Male
10001_7	negative	colon	Male
10003_15	positive	colon	Male
10008_43	positive	colon	Male
10011_65	positive	colon	Male
10015_119	NA	colon	Male
10023_32	positive	colon	Male
10036_201	positive	colon	Male
10041_3	positive	colon	Male
10042_8	NA	colon	Male
10044_12	positive	colon	Male
10047_12	negative	colon	Male
10053_5	NA	colon	Male
10056_5	positive	colon	Male
10063_10	NA	colon	Male
10070_22	positive	colon	Male
10074_128	NA	colon	Male
10075_75	negative	colon	Male
10078_5	NA	colon	Male
10080_9	NA	colon	Male
10082_251	positive	colon	Male
10085_25	positive	colon	Male
10088_37	negative	colon	Male
10339_48	negative	colon	Male
10342_55	NA	colon	Male
10344_334	positive	colon	Male
10346_5	negative	colon	Male
10361_25	NA	colon	Male
10362_35	NA	colon	Male
10363_13	negative	colon	Male
10364_6	NA	colon	Male
10366_11	negative	colon	Male
10390_21	negative	colon	Male
10391_1	negative	colon	Male
10418_36	negative	colon	Male
10424_31	positive	colon	Male
10425_3	NA	colon	Male
10426_21	positive	colon	Male
10430_31	positive	colon	Male
10435_2	positive	colon	Male
10438_19	positive	colon	Male
10447_18	NA	colon	Male
10449_31	positive	colon	Male
10454_99	NA	colon	Male
10455_196	positive	colon	Male
10462_14	NA	colon	Male
10464_6	positive	colon	Male
10490_3	NA	colon	Male
10499_1	negative	colon	Male
10506_53	NA	colon	Male
10510_62	NA	colon	Male
10512_13	negative	colon	Male
10514_5	negative	colon	Male
10527_22	positive	colon	Male
10531_18	NA	colon	Male
10534_40	NA	colon	Male
10553_8	NA	colon	Male
10554_23	positive	colon	Male
10557_6	positive	colon	Male
10558_26	positive	colon	Male
10562_42	NA	colon	Male
10563_13	NA	colon	Male
10571_14	positive	colon	Male
10580_14	NA	colon	Male
10582_36	positive	colon	Male
10584_7	positive	colon	Male
10600_24	negative	colon	Male
10605_22	positive	colon	Male
10606_34	negative	colon	Male
10608_9	positive	colon	Male
10613_33	positive	colon	Male
10618_190	NA	colon	Male
10620_21	negative	colon	Male
10623_19	NA	colon	Male
10627_87	positive	colon	Male
10630_5	negative	colon	Male
10637_50	NA	colon	Male
10638_1	NA	colon	Male
10643_16	positive	colon	Male
10668_5	NA	colon	Male
10672_75	positive	colon	Male
10675_223	positive	colon	Male
10677_9	positive	colon	Male
10693_43	negative	colon	Male
10695_12	NA	colon	Male
10700_10	NA	colon	Male
10704_91	NA	colon	Male
10708_3	negative	colon	Male
10710_23	NA	colon	Male
10713_151	NA	colon	Male
10714_7	negative	colon	Male
10716_35	positive	colon	Male
10722_13	NA	colon	Male
10734_339	positive	colon	Male
10737_96	NA	colon	Male
10752_8	positive	colon	Male
10753_31	positive	colon	Male
10754_113	negative	colon	Male
10760_107	positive	colon	Male
10761_5	NA	colon	Male
10767_52	negative	colon	Male
10772_21	negative	colon	Male
10781_19	negative	colon	Male
10785_8	NA	colon	Male
10798_4	NA	colon	Male
10809_14	positive	colon	Male
10814_7	positive	colon	Male
10815_2	positive	colon	Male
10816_150	negative	colon	Male
10817_26	positive	colon	Male
10825_12	negative	colon	Male
10832_24	negative	colon	Male
10833_64	positive	colon	Male
10835_25	positive	colon	Male
10842_7	positive	colon	Male
10847_1	positive	colon	Male
10851_77	negative	colon	Male
10866_60	negative	colon	Male
10885_36	positive	colon	Male
10889_2	negative	colon	Male
10890_135	negative	colon	Male
10902_53	positive	colon	Male
10903_50	negative	colon	Male
10907_116	negative	colon	Male
10908_2	negative	colon	Male
10916_44	positive	colon	Male
10924_258	negative	colon	Male
10938_13	negative	colon	Male
10940_25	positive	colon	Male
10948_14	negative	colon	Male
10953_14	negative	colon	Male
10956_82	NA	colon	Male
10961_15	negative	colon	Male
10977_55	positive	colon	Male
10981_56	NA	colon	Male
11067_13	NA	colon	Male
11071_1	NA	colon	Male
11098_1	positive	colon	Male
11103_24	negative	colon	Male
11104_13	positive	colon	Male
11107_25	NA	colon	Male
11112_18	NA	colon	Male
11122_97	NA	colon	Male
11126_102	NA	colon	Male
11128_29	positive	colon	Male
11130_158	negative	colon	Male
11134_30	positive	colon	Male
11135_5	NA	colon	Male
11140_56	positive	colon	Male
11143_32	positive	colon	Male
11144_10	NA	colon	Male
11145_72	negative	colon	Male
11146_4	NA	colon	Male
11147_17	NA	colon	Male
11149_3	NA	colon	Male
11152_46	negative	colon	Male
11154_3	NA	colon	Male
11155_16	NA	colon	Male
11161_5	negative	colon	Male
11163_7	NA	colon	Male
11164_7	positive	colon	Male
11167_6	positive	colon	Male
11168_3	NA	colon	Male
11174_8	NA	colon	Male
11177_16	negative	colon	Male
11179_7	NA	colon	Male
11180_17	positive	colon	Male
11187_11	positive	colon	Male
11192_168	positive	colon	Male
11198_37	positive	colon	Male
11201_19	NA	colon	Male
11205_10	NA	colon	Male
11207_3	positive	colon	Male
11208_15	negative	colon	Male
11211_7	positive	colon	Male
11212_7	negative	colon	Male
11218_84	negative	colon	Male
11219_95	negative	colon	Male
11226_16	negative	colon	Male
11228_37	negative	colon	Male
11229_16	negative	colon	Male
11241_8	negative	colon	Male
11242_33	NA	colon	Male
11243_90	positive	colon	Male
11248_43	negative	colon	Male
11257_1	positive	colon	Male
11260_47	negative	colon	Male
11262_39	positive	colon	Male
11264_33	negative	colon	Male
11265_8	NA	colon	Male
11266_8	positive	colon	Male
11270_17	NA	colon	Male
11273_176	positive	colon	Male
11278_4	positive	colon	Male
11280_6	NA	colon	Male
11283_13	positive	colon	Male
11284_24	NA	colon	Male
11286_78	positive	colon	Male
11287_14	positive	colon	Male
11289_31	NA	colon	Male
11293_14	negative	colon	Male
11300_32	positive	colon	Male
11303_7	positive	colon	Male
11307_33	negative	colon	Male
11308_8	positive	colon	Male
11311_79	negative	colon	Male
11319_106	NA	colon	Male
11320_29	negative	colon	Male
11327_56	positive	colon	Male
11336_9	NA	colon	Male
11348_132	negative	colon	Male
11350_30	NA	colon	Male
11352_42	NA	colon	Male
11354_21	NA	colon	Male
11355_10	negative	colon	Male
11360_39	negative	colon	Male
11361_73	NA	colon	Male
11370_20	negative	colon	Male
11377_19	negative	colon	Male
11378_37	NA	colon	Male
11383_41	positive	colon	Male
11388_75	positive	colon	Male
11390_24	positive	colon	Male
11396_39	positive	colon	Male
11402_17	NA	colon	Male
11407_57	NA	colon	Male
11421_10	positive	colon	Male
11422_2	NA	colon	Male
11424_4	positive	colon	Male
11430_49	positive	colon	Male
11431_235	positive	colon	Male
11439_88	positive	colon	Male
11440_58	negative	colon	Male
11444_49	NA	colon	Male
11448_34	negative	colon	Male
11456_2	positive	colon	Male
11457_53	positive	colon	Male
11468_15	positive	colon	Male
11476_43	NA	colon	Male
11486_26	NA	colon	Male
11490_42	NA	colon	Male
11510_31	negative	colon	Male
11514_196	negative	colon	Male
11534_6	positive	colon	Male
11536_9	negative	colon	Male
11539_4	positive	colon	Male
11540_37	positive	colon	Male
11542_11	positive	colon	Male
11546_7	NA	colon	Male
11547_84	positive	colon	Male
11556_19	positive	colon	Male
11557_3	negative	colon	Male
